Date,Value
1949-01-01,
1950-01-01,
1951-01-01,
1952-01-01,
1953-01-01,
1954-01-01,
1955-01-01,
1956-01-01,
1957-01-01,
1958-01-01,
1959-01-01,
1960-01-01,
1961-01-01,
1962-01-01,
1963-01-01,
1964-01-01,
1965-01-01,
1966-01-01,
1967-01-01,
1968-01-01,
1969-01-01,
1970-01-01,
1971-01-01,
1972-01-01,
1973-01-01,84.0
1974-01-01,94.0
1975-01-01,106.0
1976-01-01,129.0
1977-01-01,167.0
1978-01-01,185.0
1979-01-01,207.0
1980-01-01,231.0
1981-01-01,256.0
1982-01-01,243.0
1983-01-01,199.0
1984-01-01,213.0
1985-01-01,206.0
1986-01-01,99.0
1987-01-01,95.0
1988-01-01,123.0
1989-01-01,105.0
1990-01-01,108.0
1991-01-01,81.0
1992-01-01,52.0
1993-01-01,82.0
1994-01-01,102.0
1995-01-01,101.0
1996-01-01,108.0
1997-01-01,122.0
1998-01-01,123.0
1999-01-01,106.0
2000-01-01,140.0
2001-01-01,153.0
2002-01-01,113.0
2003-01-01,108.0
2004-01-01,97.0
2005-01-01,94.0
2006-01-01,90.0
2007-01-01,72.0
2008-01-01,65.0
2009-01-01,44.0
2010-01-01,31.0
2011-01-01,32.0
2012-01-01,47.0
2013-01-01,56.0
2014-01-01,57.0
2015-01-01,35.0
2016-01-01,23.0
2017-01-01,20.0
2018-01-01,19.0
2019-01-01,23.0
2020-01-01,15.0
2021-01-01,14.0
2022-01-01,15.0
2023-01-01,19.0
2024-01-01,19.0
2025-01-01,14.0
