Date,Value
1949-01-01,28254.0
1950-01-01,31744.0
1951-01-01,31887.0
1952-01-01,32138.0
1953-01-01,34427.0
1954-01-01,38009.0
1955-01-01,40208.0
1956-01-01,40963.0
1957-01-01,37281.0
1958-01-01,33742.0
1959-01-01,34372.0
1960-01-01,33915.0
1961-01-01,33262.0
1962-01-01,33361.0
1963-01-01,30803.0
1964-01-01,31566.0
1965-01-01,29307.0
1966-01-01,26071.0
1967-01-01,23356.0
1968-01-01,21720.0
1969-01-01,22486.0
1970-01-01,20614.0
1971-01-01,19052.0
1972-01-01,20234.0
1973-01-01,19759.0
1974-01-01,24019.0
1975-01-01,29362.0
1976-01-01,31651.0
1977-01-01,35857.0
1978-01-01,39238.0
1979-01-01,41539.0
1980-01-01,58248.0
1981-01-01,74517.0
1982-01-01,69037.0
1983-01-01,62564.0
1984-01-01,71070.0
1985-01-01,58962.0
1986-01-01,33163.0
1987-01-01,28739.0
1988-01-01,26030.0
1989-01-01,22741.0
1990-01-01,26917.0
1991-01-01,24993.0
1992-01-01,20133.0
1993-01-01,21892.0
1994-01-01,18471.0
1995-01-01,18189.0
1996-01-01,20553.0
1997-01-01,24431.0
1998-01-01,20466.0
1999-01-01,17097.0
2000-01-01,27001.0
2001-01-01,32416.0
2002-01-01,25487.0
2003-01-01,30189.0
2004-01-01,33653.0
2005-01-01,39880.0
2006-01-01,46780.0
2007-01-01,45887.0
2008-01-01,49345.0
2009-01-01,29937.0
2010-01-01,33771.0
2011-01-01,
2012-01-01,
