Date,Value
1949-01-01,9058.0
1950-01-01,10306.0
1951-01-01,11756.0
1952-01-01,12425.0
1953-01-01,13313.0
1954-01-01,13100.0
1955-01-01,14942.0
1956-01-01,16207.0
1957-01-01,14714.0
1958-01-01,13199.0
1959-01-01,13191.0
1960-01-01,11704.0
1961-01-01,10992.0
1962-01-01,10797.0
1963-01-01,10664.0
1964-01-01,10727.0
1965-01-01,9466.0
1966-01-01,10313.0
1967-01-01,8878.0
1968-01-01,8879.0
1969-01-01,9701.0
1970-01-01,7396.0
1971-01-01,7081.0
1972-01-01,7475.0
1973-01-01,7661.0
1974-01-01,8882.0
1975-01-01,9359.0
1976-01-01,9204.0
1977-01-01,9995.0
1978-01-01,10907.0
1979-01-01,10665.0
1980-01-01,12957.0
1981-01-01,17573.0
1982-01-01,15877.0
1983-01-01,13841.0
1984-01-01,15058.0
1985-01-01,11834.0
1986-01-01,7448.0
1987-01-01,6734.0
1988-01-01,6313.0
1989-01-01,5247.0
1990-01-01,5150.0
1991-01-01,4535.0
1992-01-01,3475.0
1993-01-01,3559.0
1994-01-01,3784.0
1995-01-01,3411.0
1996-01-01,3333.0
1997-01-01,3155.0
1998-01-01,2445.0
1999-01-01,1842.0
2000-01-01,2286.0
2001-01-01,3142.0
2002-01-01,2384.0
2003-01-01,2644.0
2004-01-01,3404.0
2005-01-01,4142.0
2006-01-01,4649.0
2007-01-01,5184.0
2008-01-01,4957.0
2009-01-01,2866.0
2010-01-01,2840.0
2011-01-01,
2012-01-01,
