Date,Value
1949-01-01,3635
1950-01-01,3742
1951-01-01,3944
1952-01-01,4132
1953-01-01,4069
1954-01-01,4070
1955-01-01,4101
1956-01-01,4080
1957-01-01,4174
1958-01-01,4118
1959-01-01,4220
1960-01-01,4213
1961-01-01,4285
1962-01-01,4408
1963-01-01,4405
1964-01-01,4431
1965-01-01,4510
1966-01-01,4478
1967-01-01,4385
1968-01-01,4738
1969-01-01,4881
1970-01-01,4943
1971-01-01,4858
1972-01-01,4974
1973-01-01,5041
1974-01-01,4662
1975-01-01,4661
1976-01-01,4577
1977-01-01,4708
1978-01-01,4760
1979-01-01,4689
1980-01-01,4451
1981-01-01,4511
1982-01-01,4482
1983-01-01,4191
1984-01-01,4342
1985-01-01,4441
1986-01-01,4502
1987-01-01,4582
1988-01-01,4839
1989-01-01,4804
1990-01-01,4881
1991-01-01,4920
1992-01-01,5202
1993-01-01,5442
1994-01-01,5795
1995-01-01,5636
1996-01-01,5617
1997-01-01,5691
1998-01-01,5755
1999-01-01,5090
2000-01-01,4961
2001-01-01,5087
2002-01-01,5232
2003-01-01,5426
2004-01-01,5547
2005-01-01,5508
2006-01-01,5613
2007-01-01,6064
2008-01-01,5964
