Date,Value
1949-01-01,5369.0
1950-01-01,6507.0
1951-01-01,7487.0
1952-01-01,7669.0
1953-01-01,7816.0
1954-01-01,8541.0
1955-01-01,8620.0
1956-01-01,8993.0
1957-01-01,8252.0
1958-01-01,7530.0
1959-01-01,8012.0
1960-01-01,8697.0
1961-01-01,8309.0
1962-01-01,8263.0
1963-01-01,8076.0
1964-01-01,8743.0
1965-01-01,8221.0
1966-01-01,6808.0
1967-01-01,5886.0
1968-01-01,5373.0
1969-01-01,5735.0
1970-01-01,4869.0
1971-01-01,4357.0
1972-01-01,4757.0
1973-01-01,4368.0
1974-01-01,5283.0
1975-01-01,6517.0
1976-01-01,6986.0
1977-01-01,7702.0
1978-01-01,8586.0
1979-01-01,8662.0
1980-01-01,11704.0
1981-01-01,15553.0
1982-01-01,15072.0
1983-01-01,14149.0
1984-01-01,14563.0
1985-01-01,12257.0
1986-01-01,7232.0
1987-01-01,6115.0
1988-01-01,5408.0
1989-01-01,4302.0
1990-01-01,4703.0
1991-01-01,4492.0
1992-01-01,3734.0
1993-01-01,4004.0
1994-01-01,3050.0
1995-01-01,3040.0
1996-01-01,3341.0
1997-01-01,3777.0
1998-01-01,3156.0
1999-01-01,2337.0
2000-01-01,2805.0
2001-01-01,2865.0
2002-01-01,2472.0
2003-01-01,2685.0
2004-01-01,2732.0
2005-01-01,3191.0
2006-01-01,3659.0
2007-01-01,3399.0
2008-01-01,3708.0
2009-01-01,2470.0
2010-01-01,3096.0
2011-01-01,
2012-01-01,
