Date,Value
1949-01-01,7228.0
1950-01-01,8292.0
1951-01-01,9539.0
1952-01-01,10090.0
1953-01-01,10633.0
1954-01-01,10389.0
1955-01-01,11832.0
1956-01-01,13118.0
1957-01-01,11904.0
1958-01-01,10632.0
1959-01-01,10577.0
1960-01-01,9515.0
1961-01-01,9022.0
1962-01-01,8815.0
1963-01-01,8686.0
1964-01-01,8951.0
1965-01-01,8005.0
1966-01-01,8419.0
1967-01-01,7360.0
1968-01-01,7439.0
1969-01-01,8001.0
1970-01-01,6162.0
1971-01-01,5952.0
1972-01-01,6134.0
1973-01-01,5952.0
1974-01-01,6833.0
1975-01-01,7129.0
1976-01-01,6772.0
1977-01-01,7283.0
1978-01-01,7965.0
1979-01-01,7437.0
1980-01-01,9081.0
1981-01-01,12400.0
1982-01-01,11307.0
1983-01-01,10206.0
1984-01-01,11321.0
1985-01-01,8954.0
1986-01-01,5567.0
1987-01-01,5052.0
1988-01-01,4711.0
1989-01-01,3934.0
1990-01-01,3793.0
1991-01-01,3390.0
1992-01-01,2550.0
1993-01-01,2509.0
1994-01-01,2465.0
1995-01-01,2279.0
1996-01-01,2246.0
1997-01-01,2178.0
1998-01-01,1649.0
1999-01-01,1167.0
2000-01-01,1341.0
2001-01-01,1733.0
2002-01-01,1282.0
2003-01-01,1297.0
2004-01-01,1350.0
2005-01-01,1462.0
2006-01-01,1547.0
2007-01-01,1582.0
2008-01-01,1715.0
2009-01-01,1055.0
2010-01-01,1066.0
2011-01-01,
2012-01-01,
