Date,Value
1949-01-01,3658
1950-01-01,3733
1951-01-01,4059
1952-01-01,4334
1953-01-01,4447
1954-01-01,4408
1955-01-01,4498
1956-01-01,4425
1957-01-01,4488
1958-01-01,4449
1959-01-01,4602
1960-01-01,4575
1961-01-01,4799
1962-01-01,4790
1963-01-01,4933
1964-01-01,4980
1965-01-01,5007
1966-01-01,5117
1967-01-01,5188
1968-01-01,5589
1969-01-01,5739
1970-01-01,5700
1971-01-01,5796
1972-01-01,5882
1973-01-01,5808
1974-01-01,5649
1975-01-01,5674
1976-01-01,5607
1977-01-01,5605
1978-01-01,5812
1979-01-01,5716
1980-01-01,5533
1981-01-01,5582
1982-01-01,5367
1983-01-01,4800
1984-01-01,5178
1985-01-01,5317
1986-01-01,5447
1987-01-01,5294
1988-01-01,5748
1989-01-01,5579
1990-01-01,5685
1991-01-01,5658
1992-01-01,5480
1993-01-01,5784
1994-01-01,5932
1995-01-01,5893
1996-01-01,6207
1997-01-01,6395
1998-01-01,6807
1999-01-01,6636
2000-01-01,6866
2001-01-01,6640
2002-01-01,6795
2003-01-01,6809
2004-01-01,6924
2005-01-01,6437
2006-01-01,6340
2007-01-01,6307
2008-01-01,6232
