Date,Value
1949-01-01,73478
1950-01-01,85833
1951-01-01,86981
1952-01-01,89657
1953-01-01,92704
1954-01-01,103953
1955-01-01,110374
1956-01-01,109241
1957-01-01,100249
1958-01-01,84393
1959-01-01,86066
1960-01-01,79739
1961-01-01,79726
1962-01-01,82226
1963-01-01,75400
1964-01-01,73748
1965-01-01,67956
1966-01-01,60523
1967-01-01,52956
1968-01-01,53875
1969-01-01,55019
1970-01-01,52130
1971-01-01,45323
1972-01-01,45241
1973-01-01,40408
1974-01-01,46996
1975-01-01,61013
1976-01-01,62365
1977-01-01,68581
1978-01-01,69936
1979-01-01,74747
1980-01-01,115085
1981-01-01,156652
1982-01-01,136261
1983-01-01,126412
1984-01-01,150359
1985-01-01,127874
1986-01-01,70246
1987-01-01,60706
1988-01-01,53353
1989-01-01,39607
1990-01-01,50623
1991-01-01,50899
1992-01-01,41077
1993-01-01,40285
1994-01-01,34330
1995-01-01,36734
1996-01-01,38460
1997-01-01,52188
1998-01-01,35731
1999-01-01,20473
2000-01-01,34607
2001-01-01,40514
2002-01-01,29104
2003-01-01,36042
2004-01-01,38892
2005-01-01,47249
2006-01-01,58651
2007-01-01,60256
2008-01-01,80993
