Date,Value
1967-01-01,69542
1968-01-01,75824
1969-01-01,83815
1970-01-01,86473
1971-01-01,84197
1972-01-01,85881
1973-01-01,80233
1974-01-01,76129
1975-01-01,79156
1976-01-01,96351
1977-01-01,94646
1978-01-01,84436
1979-01-01,77438
1980-01-01,74235
1981-01-01,70538
1982-01-01,67590
1983-01-01,63049
1984-01-01,66895
1985-01-01,60086
1986-01-01,59372
1987-01-01,59094
1988-01-01,64027
1989-01-01,65086
1990-01-01,56064
1991-01-01,59465
1992-01-01,61911
1993-01-01,66909
1994-01-01,62533
1995-01-01,66149
1996-01-01,70232
1997-01-01,66033
1998-01-01,55545
1999-01-01,59220
2000-01-01,64662
2001-01-01,56947
2002-01-01,59104
2003-01-01,61886
2004-01-01,56443
2005-01-01,56142
2006-01-01,47379
2007-01-01,51534
2008-01-01,55025
2009-01-01,51821
2010-01-01,54391
2011-01-01,50696
2012-01-01,43065
2013-01-01,54208
2014-01-01,57590
2015-01-01,49426
2016-01-01,45502
2017-01-01,43253
2018-01-01,51476
2019-01-01,48777
2020-01-01,45961
2021-01-01,46920
2022-01-01,49821
2023-01-01,40946
2024-01-01,41760
2025-01-01,49283
