Date,Value
1989-01-01,5.03
1989-02-01,5.02
1989-03-01,5.02
1989-04-01,5.13
1989-05-01,5.48
1989-06-01,6.37
1989-07-01,6.86
1989-08-01,7.15
1989-09-01,6.6
1989-10-01,5.51
1989-11-01,4.94
1989-12-01,4.68
1990-01-01,4.69
1990-02-01,4.75
1990-03-01,4.79
1990-04-01,4.89
1990-05-01,5.29
1990-06-01,5.91
1990-07-01,6.69
1990-08-01,6.6
1990-09-01,6.28
1990-10-01,5.42
1990-11-01,4.97
1990-12-01,4.77
1991-01-01,4.83
1991-02-01,4.85
1991-03-01,4.88
1991-04-01,5.01
1991-05-01,5.42
1991-06-01,6.19
1991-07-01,6.76
1991-08-01,7.14
1991-09-01,6.29
1991-10-01,5.41
1991-11-01,4.87
1991-12-01,4.69
1992-01-01,4.8
1992-02-01,4.82
1992-03-01,4.83
1992-04-01,4.89
1992-05-01,5.28
1992-06-01,6.02
1992-07-01,6.58
1992-08-01,6.71
1992-09-01,6.45
1992-10-01,5.39
1992-11-01,4.98
1992-12-01,4.73
1993-01-01,4.6
1993-02-01,4.59
1993-03-01,4.63
1993-04-01,4.85
1993-05-01,5.58
1993-06-01,6.34
1993-07-01,6.95
1993-08-01,7.49
1993-09-01,6.6
1993-10-01,5.54
1993-11-01,5.14
1993-12-01,4.85
1994-01-01,4.66
1994-02-01,4.66
1994-03-01,4.79
1994-04-01,4.94
1994-05-01,5.36
1994-06-01,6.32
1994-07-01,7.19
1994-08-01,7.13
1994-09-01,6.64
1994-10-01,5.4
1994-11-01,4.9
1994-12-01,4.64
1995-01-01,4.42
1995-02-01,4.36
1995-03-01,4.43
1995-04-01,4.53
1995-05-01,5.06
1995-06-01,6.04
1995-07-01,6.69
1995-08-01,7.08
1995-09-01,6.16
1995-10-01,5.23
1995-11-01,4.64
1995-12-01,4.49
1996-01-01,4.52
1996-02-01,4.6
1996-03-01,4.44
1996-04-01,4.79
1996-05-01,5.2
1996-06-01,6.55
1996-07-01,7.18
1996-08-01,7.32
1996-09-01,6.55
1996-10-01,5.58
1996-11-01,5.01
1996-12-01,5.07
1997-01-01,5.09
1997-02-01,4.99
1997-03-01,4.87
1997-04-01,4.97
1997-05-01,5.15
1997-06-01,6.21
1997-07-01,6.95
1997-08-01,7.33
1997-09-01,6.88
1997-10-01,5.8
1997-11-01,5.13
1997-12-01,4.98
1998-01-01,4.9
1998-02-01,4.97
1998-03-01,4.74
1998-04-01,5.16
1998-05-01,5.91
1998-06-01,6.29
1998-07-01,7.19
1998-08-01,7.42
1998-09-01,7.03
1998-10-01,5.43
1998-11-01,4.85
1998-12-01,4.87
1999-01-01,4.69
1999-02-01,4.77
1999-03-01,4.79
1999-04-01,5.11
1999-05-01,5.73
1999-06-01,6.47
1999-07-01,7.7
1999-08-01,7.77
1999-09-01,7.16
1999-10-01,5.6
1999-11-01,5.14
1999-12-01,4.86
2000-01-01,4.71
2000-02-01,4.73
2000-03-01,4.88
2000-04-01,5.05
2000-05-01,5.56
2000-06-01,6.63
2000-07-01,7.22
2000-08-01,7.3
2000-09-01,6.79
2000-10-01,5.7
2000-11-01,5.11
2000-12-01,4.76
2001-01-01,5.03
2001-02-01,5.08
2001-03-01,5.09
2001-04-01,5.58
2001-05-01,7.4
2001-06-01,7.94
2001-07-01,8.87
2001-08-01,9.12
2001-09-01,7.83
2001-10-01,6.34
2001-11-01,5.97
2001-12-01,5.93
2002-01-01,5.78
2002-02-01,6.07
2002-03-01,6.11
2002-04-01,6.14
2002-05-01,6.52
2002-06-01,7.18
2002-07-01,8.65
2002-08-01,9.2
2002-09-01,8.85
2002-10-01,7.02
2002-11-01,6.25
2002-12-01,6.04
2003-01-01,6.17
2003-02-01,6.25
2003-03-01,6.66
2003-04-01,7.32
2003-05-01,8.0
2003-06-01,9.43
2003-07-01,10.5
2003-08-01,11.16
2003-09-01,10.57
2003-10-01,8.71
2003-11-01,7.91
2003-12-01,7.71
2004-01-01,7.57
2004-02-01,7.76
2004-03-01,7.7
2004-04-01,8.27
2004-05-01,9.0
2004-06-01,10.6
2004-07-01,11.47
2004-08-01,11.83
2004-09-01,11.32
2004-10-01,9.74
2004-11-01,9.28
2004-12-01,8.94
2005-01-01,8.71
2005-02-01,8.54
2005-03-01,8.93
2005-04-01,10.21
2005-05-01,10.8
2005-06-01,12.56
2005-07-01,13.67
2005-08-01,14.82
2005-09-01,14.75
2005-10-01,14.22
2005-11-01,13.16
2005-12-01,12.58
2006-01-01,12.59
2006-02-01,11.74
2006-03-01,11.58
2006-04-01,12.17
2006-05-01,12.98
2006-06-01,14.2
2006-07-01,14.85
2006-08-01,15.3
2006-09-01,14.08
2006-10-01,11.43
2006-11-01,10.85
2006-12-01,10.72
2007-01-01,10.37
2007-02-01,10.08
2007-03-01,10.74
2007-04-01,11.36
2007-05-01,12.61
2007-06-01,14.61
2007-07-01,15.06
2007-08-01,15.01
2007-09-01,14.16
2007-10-01,12.74
2007-11-01,10.93
2007-12-01,10.42
2008-01-01,10.25
2008-02-01,10.63
2008-03-01,11.39
2008-04-01,12.81
2008-05-01,13.86
2008-06-01,15.56
2008-07-01,16.68
2008-08-01,17.49
2008-09-01,17.1
2008-10-01,13.78
2008-11-01,12.07
2008-12-01,11.24
2009-01-01,10.93
2009-02-01,10.98
2009-03-01,11.07
2009-04-01,10.78
2009-05-01,11.76
2009-06-01,13.54
2009-07-01,14.84
2009-08-01,15.0
2009-09-01,14.17
2009-10-01,11.49
2009-11-01,11.12
2009-12-01,10.59
2010-01-01,10.98
2010-02-01,11.05
2010-03-01,11.21
2010-04-01,11.4
2010-05-01,12.11
2010-06-01,14.0
2010-07-01,15.32
2010-08-01,15.95
2010-09-01,14.68
2010-10-01,12.69
2010-11-01,10.6
2010-12-01,10.01
2011-01-01,10.08
2011-02-01,10.04
2011-03-01,9.94
2011-04-01,10.2
2011-05-01,11.08
2011-06-01,13.2
2011-07-01,14.75
2011-08-01,15.67
2011-09-01,13.91
2011-10-01,11.47
2011-11-01,10.17
2011-12-01,9.52
2012-01-01,9.45
2012-02-01,9.48
2012-03-01,10.19
2012-04-01,9.75
2012-05-01,12.78
2012-06-01,13.14
2012-07-01,14.65
2012-08-01,14.81
2012-09-01,12.52
2012-10-01,9.89
2012-11-01,9.16
2012-12-01,8.86
2013-01-01,8.68
2013-02-01,8.76
2013-03-01,8.58
2013-04-01,9.28
2013-05-01,11.66
2013-06-01,12.71
2013-07-01,13.71
2013-08-01,13.97
2013-09-01,12.12
2013-10-01,9.52
2013-11-01,8.28
2013-12-01,8.23
2014-01-01,8.17
2014-02-01,8.64
2014-03-01,9.15
2014-04-01,9.9
2014-05-01,11.14
2014-06-01,13.03
2014-07-01,14.08
2014-08-01,14.65
2014-09-01,12.54
2014-10-01,10.09
2014-11-01,8.89
2014-12-01,9.03
2015-01-01,8.61
2015-02-01,8.39
2015-03-01,8.37
2015-04-01,8.89
2015-05-01,10.54
2015-06-01,12.54
2015-07-01,13.69
2015-08-01,13.57
2015-09-01,13.26
2015-10-01,8.96
2015-11-01,7.91
2015-12-01,7.57
2016-01-01,7.29
2016-02-01,7.61
2016-03-01,7.82
2016-04-01,7.84
2016-05-01,9.65
2016-06-01,13.02
2016-07-01,13.5
2016-08-01,14.65
2016-09-01,12.85
2016-10-01,9.38
2016-11-01,7.98
2016-12-01,7.35
