Date,Value
1989-01-01,4.68
1989-02-01,4.5
1989-03-01,4.31
1989-04-01,4.32
1989-05-01,4.64
1989-06-01,5.08
1989-07-01,5.34
1989-08-01,5.4
1989-09-01,5.19
1989-10-01,4.69
1989-11-01,4.45
1989-12-01,4.56
1990-01-01,4.98
1990-02-01,4.57
1990-03-01,4.23
1990-04-01,4.12
1990-05-01,4.4
1990-06-01,4.77
1990-07-01,5.07
1990-08-01,4.63
1990-09-01,4.55
1990-10-01,4.56
1990-11-01,4.75
1990-12-01,4.85
1991-01-01,4.59
1991-02-01,3.97
1991-03-01,4.13
1991-04-01,4.24
1991-05-01,4.49
1991-06-01,5.05
1991-07-01,5.14
1991-08-01,5.25
1991-09-01,5.06
1991-10-01,4.97
1991-11-01,4.71
1991-12-01,4.7
1992-01-01,4.58
1992-02-01,4.15
1992-03-01,4.17
1992-04-01,4.34
1992-05-01,4.85
1992-06-01,5.51
1992-07-01,5.56
1992-08-01,5.98
1992-09-01,5.93
1992-10-01,6.04
1992-11-01,5.43
1992-12-01,5.19
1993-01-01,5.13
1993-02-01,4.95
1993-03-01,5.03
1993-04-01,5.36
1993-05-01,6.11
1993-06-01,6.14
1993-07-01,6.3
1993-08-01,7.37
1993-09-01,6.47
1993-10-01,5.67
1993-11-01,5.02
1993-12-01,5.14
1994-01-01,4.97
1994-02-01,5.02
1994-03-01,5.16
1994-04-01,5.11
1994-05-01,5.65
1994-06-01,6.55
1994-07-01,6.82
1994-08-01,6.79
1994-09-01,6.44
1994-10-01,5.42
1994-11-01,4.96
1994-12-01,4.84
1995-01-01,4.7
1995-02-01,4.49
1995-03-01,4.48
1995-04-01,4.46
1995-05-01,5.11
1995-06-01,6.0
1995-07-01,4.54
1995-08-01,6.57
1995-09-01,6.07
1995-10-01,5.28
1995-11-01,4.82
1995-12-01,4.8
1996-01-01,4.95
1996-02-01,4.88
1996-03-01,4.97
1996-04-01,5.38
1996-05-01,5.77
1996-06-01,6.71
1996-07-01,7.5
1996-08-01,7.67
1996-09-01,6.67
1996-10-01,5.48
1996-11-01,5.47
1996-12-01,6.18
1997-01-01,6.35
1997-02-01,5.7
1997-03-01,4.73
1997-04-01,4.63
1997-05-01,5.39
1997-06-01,6.78
1997-07-01,7.76
1997-08-01,7.94
1997-09-01,8.31
1997-10-01,6.67
1997-11-01,6.04
1997-12-01,5.09
1998-01-01,5.05
1998-02-01,5.12
1998-03-01,5.19
1998-04-01,5.63
1998-05-01,6.57
1998-06-01,7.16
1998-07-01,7.58
1998-08-01,7.33
1998-09-01,7.05
1998-10-01,6.02
1998-11-01,5.31
1998-12-01,5.22
1999-01-01,4.95
1999-02-01,5.05
1999-03-01,5.07
1999-04-01,5.2
1999-05-01,6.24
1999-06-01,7.17
1999-07-01,8.02
1999-08-01,7.89
1999-09-01,7.45
1999-10-01,6.23
1999-11-01,6.38
1999-12-01,5.34
2000-01-01,5.39
2000-02-01,5.73
2000-03-01,5.84
2000-04-01,6.09
2000-05-01,7.02
2000-06-01,8.9
2000-07-01,9.6
2000-08-01,9.08
2000-09-01,9.4
2000-10-01,9.11
2000-11-01,7.83
2000-12-01,8.85
2001-01-01,12.6
2001-02-01,9.37
2001-03-01,8.36
2001-04-01,8.65
2001-05-01,9.28
2001-06-01,8.74
2001-07-01,8.8
2001-08-01,8.7
2001-09-01,7.3
2001-10-01,5.51
2001-11-01,6.91
2001-12-01,5.81
2002-01-01,6.01
2002-02-01,5.78
2002-03-01,5.88
2002-04-01,6.83
2002-05-01,6.65
2002-06-01,7.88
2002-07-01,8.42
2002-08-01,8.16
2002-09-01,7.89
2002-10-01,6.63
2002-11-01,7.22
2002-12-01,7.08
2003-01-01,7.29
2003-02-01,7.89
2003-03-01,10.95
2003-04-01,7.95
2003-05-01,8.87
2003-06-01,11.48
2003-07-01,10.58
2003-08-01,10.13
2003-09-01,10.07
2003-10-01,8.25
2003-11-01,8.13
2003-12-01,8.49
2004-01-01,8.76
2004-02-01,9.03
2004-03-01,8.2
2004-04-01,8.43
2004-05-01,10.09
2004-06-01,11.39
2004-07-01,11.3
2004-08-01,10.67
2004-09-01,10.81
2004-10-01,8.97
2004-11-01,11.41
2004-12-01,10.32
2005-01-01,9.63
2005-02-01,9.74
2005-03-01,9.27
2005-04-01,10.87
2005-05-01,10.89
2005-06-01,9.53
2005-07-01,13.08
2005-08-01,12.54
2005-09-01,18.15
2005-10-01,15.79
2005-11-01,15.27
2005-12-01,11.44
2006-01-01,13.32
2006-02-01,11.87
2006-03-01,11.34
2006-04-01,11.02
2006-05-01,11.11
2006-06-01,12.05
2006-07-01,12.62
2006-08-01,14.03
2006-09-01,12.69
2006-10-01,8.07
2006-11-01,11.42
2006-12-01,11.63
