Date,Value
1989-01-01,3995
1989-02-01,4030
1989-03-01,4077
1989-04-01,2195
1989-05-01,1282
1989-06-01,929
1989-07-01,864
1989-08-01,829
1989-09-01,894
1989-10-01,1043
1989-11-01,1933
1989-12-01,4241
1990-01-01,6060
1990-02-01,3307
1990-03-01,2793
1990-04-01,2205
1990-05-01,1266
1990-06-01,922
1990-07-01,850
1990-08-01,809
1990-09-01,798
1990-10-01,948
1990-11-01,2070
1990-12-01,3018
1991-01-01,4628
1991-02-01,4348
1991-03-01,3390
1991-04-01,1903
1991-05-01,1117
1991-06-01,882
1991-07-01,846
1991-08-01,811
1991-09-01,824
1991-10-01,1024
1991-11-01,2357
1991-12-01,3625
1992-01-01,4724
1992-02-01,4551
1992-03-01,2850
1992-04-01,2440
1992-05-01,1287
1992-06-01,963
1992-07-01,896
1992-08-01,817
1992-09-01,856
1992-10-01,979
1992-11-01,1927
1992-12-01,4198
1993-01-01,4474
1993-02-01,4388
1993-03-01,4396
1993-04-01,2961
1993-05-01,1465
1993-06-01,947
1993-07-01,830
1993-08-01,788
1993-09-01,815
1993-10-01,933
1993-11-01,2518
1993-12-01,3832
1994-01-01,6163
1994-02-01,5192
1994-03-01,3481
1994-04-01,2254
1994-05-01,1088
1994-06-01,883
1994-07-01,845
1994-08-01,784
1994-09-01,834
1994-10-01,921
1994-11-01,1542
1994-12-01,3098
1995-01-01,5027
1995-02-01,4997
1995-03-01,3800
1995-04-01,1770
1995-05-01,1178
1995-06-01,892
1995-07-01,841
1995-08-01,811
1995-09-01,476
1995-10-01,631
1995-11-01,2326
1995-12-01,4212
1996-01-01,6151
1996-02-01,5900
1996-03-01,3851
1996-04-01,3174
1996-05-01,1366
1996-06-01,839
1996-07-01,816
1996-08-01,771
1996-09-01,804
1996-10-01,929
1996-11-01,1880
1996-12-01,3676
1997-01-01,5082
1997-02-01,4999
1997-03-01,3058
1997-04-01,1916
1997-05-01,1472
1997-06-01,926
1997-07-01,815
1997-08-01,761
1997-09-01,778
1997-10-01,902
1997-11-01,2561
1997-12-01,4355
1998-01-01,5066
1998-02-01,4516
1998-03-01,3861
1998-04-01,2283
1998-05-01,1253
1998-06-01,812
1998-07-01,729
1998-08-01,718
1998-09-01,725
1998-10-01,805
1998-11-01,1524
1998-12-01,2556
1999-01-01,5727
1999-02-01,3162
1999-03-01,3458
1999-04-01,2264
1999-05-01,1040
1999-06-01,798
1999-07-01,772
1999-08-01,705
1999-09-01,733
1999-10-01,903
1999-11-01,1685
1999-12-01,3314
2000-01-01,4956
2000-02-01,5185
2000-03-01,2585
2000-04-01,1885
2000-05-01,1195
2000-06-01,832
2000-07-01,764
2000-08-01,703
2000-09-01,717
2000-10-01,1078
2000-11-01,1749
2000-12-01,5383
2001-01-01,7897
2001-02-01,5056
2001-03-01,3262
2001-04-01,1993
2001-05-01,1156
2001-06-01,783
2001-07-01,744
2001-08-01,656
2001-09-01,722
2001-10-01,921
2001-11-01,1904
2001-12-01,2828
2002-01-01,5411
2002-02-01,4732
2002-03-01,4097
2002-04-01,2176
2002-05-01,832
2002-06-01,738
2002-07-01,721
2002-08-01,686
2002-09-01,687
2002-10-01,773
2002-11-01,1527
2002-12-01,4076
2003-01-01,5577
2003-02-01,5740
2003-03-01,3853
2003-04-01,1830
2003-05-01,1050
2003-06-01,773
2003-07-01,703
2003-08-01,687
2003-09-01,677
2003-10-01,849
2003-11-01,1216
2003-12-01,3635
2004-01-01,5124
2004-02-01,4868
2004-03-01,3338
2004-04-01,1335
2004-05-01,934
2004-06-01,679
2004-07-01,675
2004-08-01,644
2004-09-01,641
2004-10-01,771
2004-11-01,1458
2004-12-01,3669
2005-01-01,4666
2005-02-01,3932
2005-03-01,3030
2005-04-01,1608
2005-05-01,1092
2005-06-01,769
2005-07-01,716
2005-08-01,665
2005-09-01,630
2005-10-01,984
2005-11-01,1944
2005-12-01,4429
2006-01-01,3932
2006-02-01,3676
2006-03-01,2886
2006-04-01,1514
2006-05-01,411
2006-06-01,577
2006-07-01,579
2006-08-01,572
2006-09-01,619
2006-10-01,764
2006-11-01,2414
2006-12-01,3536
2007-01-01,5002
2007-02-01,3850
2007-03-01,2793
2007-04-01,1168
2007-05-01,1057
2007-06-01,409
2007-07-01,860
2007-08-01,603
2007-09-01,594
2007-10-01,912
2007-11-01,1666
2007-12-01,3313
2008-01-01,4899
2008-02-01,3823
2008-03-01,2910
2008-04-01,1251
2008-05-01,919
2008-06-01,663
2008-07-01,655
2008-08-01,577
2008-09-01,614
2008-10-01,818
2008-11-01,2201
2008-12-01,4514
2009-01-01,4599
2009-02-01,3827
2009-03-01,2798
2009-04-01,1207
2009-05-01,942
2009-06-01,652
2009-07-01,625
2009-08-01,619
2009-09-01,590
2009-10-01,1369
2009-11-01,1687
2009-12-01,4517
2010-01-01,5983
2010-02-01,5426
2010-03-01,4148
2010-04-01,1353
2010-05-01,657
2010-06-01,639
2010-07-01,584
2010-08-01,542
2010-09-01,580
2010-10-01,774
2010-11-01,1763
2010-12-01,4702
2011-01-01,5770
2011-02-01,4201
2011-03-01,3012
2011-04-01,1063
2011-05-01,858
2011-06-01,643
2011-07-01,571
2011-08-01,568
2011-09-01,612
2011-10-01,1202
2011-11-01,1873
2011-12-01,3930
2012-01-01,3902
2012-02-01,3013
2012-03-01,1760
2012-04-01,952
2012-05-01,648
2012-06-01,563
2012-07-01,580
2012-08-01,530
2012-09-01,572
2012-10-01,963
2012-11-01,2460
2012-12-01,3626
2013-01-01,4505
2013-02-01,3304
2013-03-01,3549
2013-04-01,1788
2013-05-01,1236
2013-06-01,694
2013-07-01,597
2013-08-01,562
2013-09-01,568
2013-10-01,978
2013-11-01,2275
2013-12-01,5130
2014-01-01,6617
2014-02-01,5290
2014-03-01,3748
2014-04-01,1823
2014-05-01,877
2014-06-01,627
2014-07-01,606
2014-08-01,589
2014-09-01,558
2014-10-01,987
2014-11-01,2811
2014-12-01,3730
2015-01-01,5799
2015-02-01,4909
2015-03-01,3058
2015-04-01,1060
2015-05-01,718
2015-06-01,652
2015-07-01,620
2015-08-01,589
2015-09-01,728
2015-10-01,833
2015-11-01,1833
2015-12-01,2448
2016-01-01,5167
2016-02-01,3312
2016-03-01,1733
2016-04-01,943
2016-05-01,817
2016-06-01,740
2016-07-01,595
2016-08-01,553
2016-09-01,572
2016-10-01,625
2016-11-01,1350
2016-12-01,3778
2017-01-01,3417
2017-02-01,2110
2017-03-01,2153
2017-04-01,807
2017-05-01,728
2017-06-01,526
2017-07-01,518
2017-08-01,553
2017-09-01,622
2017-10-01,882
2017-11-01,1988
2017-12-01,4142
2018-01-01,7110
2018-02-01,2622
2018-03-01,2270
2018-04-01,1558
2018-05-01,672
2018-06-01,493
2018-07-01,505
2018-08-01,552
2018-09-01,495
2018-10-01,931
2018-11-01,3082
2018-12-01,4137
2019-01-01,4991
2019-02-01,3039
2019-03-01,3133
2019-04-01,1230
2019-05-01,617
2019-06-01,502
