Date,Value
1989-01-01,6.17
1989-02-01,6.3
1989-03-01,6.29
1989-04-01,6.8
1989-05-01,6.99
1989-06-01,8.02
1989-07-01,8.71
1989-08-01,8.97
1989-09-01,8.68
1989-10-01,7.44
1989-11-01,6.61
1989-12-01,5.99
1990-01-01,5.71
1990-02-01,5.79
1990-03-01,5.84
1990-04-01,5.86
1990-05-01,6.82
1990-06-01,7.93
1990-07-01,8.37
1990-08-01,8.44
1990-09-01,8.42
1990-10-01,7.48
1990-11-01,6.17
1990-12-01,5.98
1991-01-01,5.77
1991-02-01,5.58
1991-03-01,5.64
1991-04-01,6.05
1991-05-01,7.08
1991-06-01,8.24
1991-07-01,8.79
1991-08-01,9.13
1991-09-01,8.89
1991-10-01,7.02
1991-11-01,6.06
1991-12-01,6.57
1992-01-01,6.3
1992-02-01,5.91
1992-03-01,6.03
1992-04-01,5.54
1992-05-01,6.74
1992-06-01,8.24
1992-07-01,9.89
1992-08-01,10.51
1992-09-01,10.03
1992-10-01,7.72
1992-11-01,7.12
1992-12-01,6.66
1993-01-01,6.74
1993-02-01,6.56
1993-03-01,6.07
1993-04-01,6.32
1993-05-01,7.69
1993-06-01,9.55
1993-07-01,10.47
1993-08-01,10.88
1993-09-01,10.52
1993-10-01,8.54
1993-11-01,7.09
1993-12-01,7.13
1994-01-01,6.49
1994-02-01,6.65
1994-03-01,7.03
1994-04-01,7.41
1994-05-01,8.31
1994-06-01,9.22
1994-07-01,10.5
1994-08-01,10.91
1994-09-01,10.31
1994-10-01,8.57
1994-11-01,7.55
1994-12-01,7.47
1995-01-01,6.69
1995-02-01,6.13
1995-03-01,6.65
1995-04-01,7.12
1995-05-01,8.0
1995-06-01,9.89
1995-07-01,10.54
1995-08-01,11.61
1995-09-01,10.65
1995-10-01,8.94
1995-11-01,6.5
1995-12-01,6.21
1996-01-01,6.15
1996-02-01,6.83
1996-03-01,7.54
1996-04-01,7.31
1996-05-01,9.07
1996-06-01,11.48
1996-07-01,11.13
1996-08-01,12.81
1996-09-01,12.45
1996-10-01,9.93
1996-11-01,8.21
1996-12-01,7.9
1997-01-01,8.75
1997-02-01,8.74
1997-03-01,9.57
1997-04-01,8.66
1997-05-01,8.56
1997-06-01,10.28
1997-07-01,12.39
1997-08-01,13.12
1997-09-01,13.08
1997-10-01,11.17
1997-11-01,8.21
1997-12-01,8.03
1998-01-01,8.31
1998-02-01,7.91
1998-03-01,7.75
1998-04-01,7.89
1998-05-01,9.26
1998-06-01,11.78
1998-07-01,12.02
1998-08-01,13.25
1998-09-01,12.53
1998-10-01,11.7
1998-11-01,8.31
1998-12-01,9.45
1999-01-01,7.56
1999-02-01,8.4
1999-03-01,6.2
1999-04-01,7.92
1999-05-01,8.76
1999-06-01,12.99
1999-07-01,12.34
1999-08-01,13.2
1999-09-01,11.71
1999-10-01,10.77
1999-11-01,8.95
1999-12-01,8.95
2000-01-01,8.31
2000-02-01,7.62
2000-03-01,9.11
2000-04-01,8.51
2000-05-01,11.0
2000-06-01,12.59
2000-07-01,14.87
2000-08-01,15.29
2000-09-01,15.24
2000-10-01,12.63
2000-11-01,10.9
2000-12-01,9.97
2001-01-01,11.38
2001-02-01,13.13
2001-03-01,12.87
2001-04-01,13.38
2001-05-01,13.96
2001-06-01,16.67
2001-07-01,16.49
2001-08-01,16.94
2001-09-01,15.33
2001-10-01,11.81
2001-11-01,10.19
2001-12-01,10.48
2002-01-01,8.34
2002-02-01,8.6
2002-03-01,8.03
2002-04-01,8.8
2002-05-01,11.07
2002-06-01,12.86
2002-07-01,15.22
2002-08-01,16.06
2002-09-01,14.87
2002-10-01,11.54
2002-11-01,9.54
2002-12-01,9.41
2003-01-01,9.33
2003-02-01,9.34
2003-03-01,11.01
2003-04-01,12.08
2003-05-01,14.0
2003-06-01,16.59
2003-07-01,18.14
2003-08-01,19.06
2003-09-01,18.04
2003-10-01,14.42
2003-11-01,14.45
2003-12-01,11.48
2004-01-01,11.3
2004-02-01,10.96
2004-03-01,11.51
2004-04-01,12.86
2004-05-01,13.9
2004-06-01,16.7
2004-07-01,17.67
2004-08-01,18.52
2004-09-01,19.54
2004-10-01,16.52
2004-11-01,14.46
2004-12-01,14.08
2005-01-01,13.69
2005-02-01,12.75
2005-03-01,12.34
2005-04-01,13.3
2005-05-01,14.27
2005-06-01,18.11
2005-07-01,19.33
2005-08-01,21.09
2005-09-01,20.95
2005-10-01,20.69
2005-11-01,19.66
2005-12-01,19.62
2006-01-01,18.86
2006-02-01,16.22
2006-03-01,15.01
2006-04-01,15.09
2006-05-01,18.4
2006-06-01,20.37
2006-07-01,21.6
2006-08-01,23.14
2006-09-01,21.66
2006-10-01,17.35
2006-11-01,15.71
2006-12-01,15.83
2007-01-01,14.78
2007-02-01,13.87
2007-03-01,14.92
2007-04-01,15.35
2007-05-01,17.39
2007-06-01,20.9
2007-07-01,22.35
2007-08-01,23.77
2007-09-01,23.06
2007-10-01,21.3
2007-11-01,15.81
2007-12-01,15.55
2008-01-01,15.06
2008-02-01,15.23
2008-03-01,15.59
2008-04-01,17.2
2008-05-01,21.3
2008-06-01,25.11
2008-07-01,26.85
2008-08-01,27.18
2008-09-01,24.35
2008-10-01,18.67
2008-11-01,15.39
2008-12-01,15.96
2009-01-01,14.28
2009-02-01,13.42
2009-03-01,13.28
2009-04-01,15.81
2009-05-01,20.64
2009-06-01,27.12
2009-07-01,23.24
2009-08-01,23.27
2009-09-01,21.61
2009-10-01,16.71
2009-11-01,13.58
2009-12-01,11.8
2010-01-01,11.54
2010-02-01,11.59
2010-03-01,12.89
2010-04-01,19.11
2010-05-01,20.95
2010-06-01,23.12
2010-07-01,25.87
2010-08-01,23.64
2010-09-01,23.71
2010-10-01,18.79
2010-11-01,12.02
2010-12-01,9.94
2011-01-01,10.45
2011-02-01,12.01
2011-03-01,11.86
2011-04-01,14.62
2011-05-01,19.02
2011-06-01,21.94
2011-07-01,22.85
2011-08-01,22.26
2011-09-01,21.11
2011-10-01,14.95
2011-11-01,11.73
2011-12-01,11.74
2012-01-01,10.95
2012-02-01,10.44
2012-03-01,13.92
2012-04-01,15.21
2012-05-01,16.87
2012-06-01,18.85
2012-07-01,21.56
2012-08-01,21.41
2012-09-01,20.48
2012-10-01,14.26
2012-11-01,10.32
2012-12-01,10.84
2013-01-01,10.89
2013-02-01,10.03
2013-03-01,10.6
2013-04-01,12.39
2013-05-01,17.15
2013-06-01,22.72
2013-07-01,21.61
2013-08-01,22.05
2013-09-01,21.37
2013-10-01,16.72
2013-11-01,11.03
2013-12-01,11.22
