Date,Value
1989-01-01,1660
1989-02-01,1590
1989-03-01,1476
1989-04-01,1040
1989-05-01,506
1989-06-01,309
1989-07-01,213
1989-08-01,166
1989-09-01,240
1989-10-01,398
1989-11-01,816
1989-12-01,1411
1990-01-01,1661
1990-02-01,1440
1990-03-01,1175
1990-04-01,949
1990-05-01,581
1990-06-01,337
1990-07-01,191
1990-08-01,167
1990-09-01,220
1990-10-01,398
1990-11-01,828
1990-12-01,1235
1991-01-01,2019
1991-02-01,1528
1991-03-01,1254
1991-04-01,859
1991-05-01,671
1991-06-01,277
1991-07-01,196
1991-08-01,193
1991-09-01,224
1991-10-01,441
1991-11-01,1187
1991-12-01,1489
1992-01-01,1500
1992-02-01,1456
1992-03-01,1128
1992-04-01,1002
1992-05-01,616
1992-06-01,311
1992-07-01,260
1992-08-01,214
1992-09-01,285
1992-10-01,458
1992-11-01,990
1992-12-01,1472
1993-01-01,2059
1993-02-01,1522
1993-03-01,1462
1993-04-01,1082
1993-05-01,568
1993-06-01,350
1993-07-01,268
1993-08-01,210
1993-09-01,271
1993-10-01,505
1993-11-01,964
1993-12-01,1457
1994-01-01,2042
1994-02-01,2019
1994-03-01,1448
1994-04-01,1031
1994-05-01,582
1994-06-01,263
1994-07-01,220
1994-08-01,183
1994-09-01,235
1994-10-01,385
1994-11-01,807
1994-12-01,1446
1995-01-01,1811
1995-02-01,1711
1995-03-01,1518
1995-04-01,1190
1995-05-01,706
1995-06-01,390
1995-07-01,235
1995-08-01,183
1995-09-01,252
1995-10-01,424
1995-11-01,1095
1995-12-01,1695
1996-01-01,1955
1996-02-01,2079
1996-03-01,1764
1996-04-01,1320
1996-05-01,736
1996-06-01,356
1996-07-01,212
1996-08-01,209
1996-09-01,256
1996-10-01,554
1996-11-01,1256
1996-12-01,1894
1997-01-01,2258
1997-02-01,1931
1997-03-01,1527
1997-04-01,1133
1997-05-01,688
1997-06-01,295
1997-07-01,190
1997-08-01,168
1997-09-01,191
1997-10-01,434
1997-11-01,1133
1997-12-01,1423
1998-01-01,1874
1998-02-01,1531
1998-03-01,1436
1998-04-01,935
1998-05-01,480
1998-06-01,286
1998-07-01,230
1998-08-01,204
1998-09-01,198
1998-10-01,475
1998-11-01,1016
1998-12-01,1427
1999-01-01,2285
1999-02-01,1538
1999-03-01,1292
1999-04-01,965
1999-05-01,615
1999-06-01,259
1999-07-01,225
1999-08-01,191
1999-09-01,296
1999-10-01,657
1999-11-01,869
1999-12-01,1380
2000-01-01,1950
2000-02-01,1675
2000-03-01,1305
2000-04-01,916
2000-05-01,496
2000-06-01,329
2000-07-01,210
2000-08-01,223
2000-09-01,251
2000-10-01,585
2000-11-01,1120
2000-12-01,1904
2001-01-01,1763
2001-02-01,1914
2001-03-01,1238
2001-04-01,809
2001-05-01,363
2001-06-01,243
2001-07-01,213
2001-08-01,279
2001-09-01,263
2001-10-01,771
2001-11-01,999
2001-12-01,1714
2002-01-01,1837
2002-02-01,1455
2002-03-01,1761
2002-04-01,1028
2002-05-01,641
2002-06-01,248
2002-07-01,195
2002-08-01,253
2002-09-01,282
2002-10-01,1046
2002-11-01,1287
2002-12-01,1692
2003-01-01,2122
2003-02-01,1970
2003-03-01,1663
2003-04-01,825
2003-05-01,462
2003-06-01,227
2003-07-01,201
2003-08-01,228
2003-09-01,317
2003-10-01,634
2003-11-01,1522
2003-12-01,1708
2004-01-01,2269
2004-02-01,1709
2004-03-01,1308
2004-04-01,784
2004-05-01,526
2004-06-01,270
2004-07-01,201
2004-08-01,230
2004-09-01,286
2004-10-01,710
2004-11-01,1085
2004-12-01,1753
2005-01-01,2201
2005-02-01,1583
2005-03-01,1377
2005-04-01,640
2005-05-01,561
2005-06-01,279
2005-07-01,185
2005-08-01,202
2005-09-01,222
2005-10-01,601
2005-11-01,1135
2005-12-01,1707
2006-01-01,1425
2006-02-01,1686
2006-03-01,1353
2006-04-01,565
2006-05-01,365
2006-06-01,211
2006-07-01,178
2006-08-01,170
2006-09-01,282
2006-10-01,800
2006-11-01,1224
2006-12-01,1385
2007-01-01,1906
2007-02-01,1874
2007-03-01,1228
2007-04-01,835
2007-05-01,350
2007-06-01,208
2007-07-01,190
2007-08-01,163
2007-09-01,258
2007-10-01,575
2007-11-01,1193
2007-12-01,1917
2008-01-01,2034
2008-02-01,1839
2008-03-01,1382
2008-04-01,821
2008-05-01,474
2008-06-01,345
2008-07-01,192
2008-08-01,169
2008-09-01,240
2008-10-01,623
2008-11-01,1203
2008-12-01,2180
2009-01-01,2203
2009-02-01,1793
2009-03-01,1555
2009-04-01,874
2009-05-01,443
2009-06-01,275
2009-07-01,189
2009-08-01,167
2009-09-01,202
2009-10-01,824
2009-11-01,991
2009-12-01,2002
2010-01-01,2027
2010-02-01,1718
2010-03-01,1185
2010-04-01,564
2010-05-01,447
2010-06-01,217
2010-07-01,172
2010-08-01,199
2010-09-01,284
2010-10-01,539
2010-11-01,1265
2010-12-01,1920
2011-01-01,2143
2011-02-01,1790
2011-03-01,1643
2011-04-01,886
2011-05-01,465
2011-06-01,267
2011-07-01,180
2011-08-01,185
2011-09-01,249
2011-10-01,520
2011-11-01,1138
2011-12-01,1471
2012-01-01,1694
2012-02-01,1512
2012-03-01,832
2012-04-01,621
2012-05-01,357
2012-06-01,195
2012-07-01,171
2012-08-01,179
2012-09-01,221
2012-10-01,754
2012-11-01,1230
2012-12-01,1830
2013-01-01,2080
2013-02-01,1626
2013-03-01,1624
2013-04-01,1107
2013-05-01,438
2013-06-01,246
2013-07-01,186
2013-08-01,167
2013-09-01,243
2013-10-01,700
2013-11-01,1361
2013-12-01,2307
2014-01-01,2260
2014-02-01,2152
2014-03-01,1662
2014-04-01,1007
2014-05-01,506
2014-06-01,248
2014-07-01,183
2014-08-01,181
2014-09-01,273
2014-10-01,625
2014-11-01,1660
2014-12-01,1749
2015-01-01,2006
2015-02-01,2055
2015-03-01,1277
2015-04-01,720
2015-05-01,447
2015-06-01,205
2015-07-01,168
2015-08-01,209
2015-09-01,199
2015-10-01,509
2015-11-01,1060
2015-12-01,1698
2016-01-01,1956
2016-02-01,1509
2016-03-01,1076
2016-04-01,770
2016-05-01,375
2016-06-01,181
2016-07-01,162
2016-08-01,175
2016-09-01,218
2016-10-01,629
2016-11-01,867
2016-12-01,2140
2017-01-01,2126
2017-02-01,1577
2017-03-01,1475
2017-04-01,737
2017-05-01,347
2017-06-01,190
2017-07-01,155
2017-08-01,177
2017-09-01,235
2017-10-01,669
2017-11-01,1388
2017-12-01,1938
2018-01-01,2102
2018-02-01,1962
2018-03-01,1658
2018-04-01,1233
2018-05-01,598
2018-06-01,234
2018-07-01,156
2018-08-01,171
2018-09-01,194
2018-10-01,945
2018-11-01,1607
2018-12-01,1819
2019-01-01,2391
2019-02-01,2536
2019-03-01,1764
2019-04-01,917
2019-05-01,574
2019-06-01,234
2019-07-01,179
2019-08-01,186
2019-09-01,198
2019-10-01,600
2019-11-01,1542
2019-12-01,2004
2020-01-01,2276
2020-02-01,1869
2020-03-01,1463
2020-04-01,1043
2020-05-01,474
2020-06-01,216
2020-07-01,177
2020-08-01,194
2020-09-01,223
2020-10-01,934
2020-11-01,1329
2020-12-01,1768
2021-01-01,1968
2021-02-01,1930
2021-03-01,1617
2021-04-01,973
2021-05-01,490
2021-06-01,211
2021-07-01,160
2021-08-01,186
2021-09-01,209
2021-10-01,598
2021-11-01,1258
2021-12-01,1557
2022-01-01,2630
2022-02-01,2334
2022-03-01,2147
2022-04-01,1338
2022-05-01,875
2022-06-01,361
2022-07-01,142
2022-08-01,220
2022-09-01,193
2022-10-01,436
2022-11-01,1111
2022-12-01,2192
2023-01-01,2555
2023-02-01,2037
2023-03-01,2198
2023-04-01,1499
2023-05-01,747
2023-06-01,263
2023-07-01,179
2023-08-01,187
2023-09-01,187
2023-10-01,426
2023-11-01,1094
2023-12-01,1583
2024-01-01,2294
2024-02-01,1839
2024-03-01,1538
2024-04-01,1261
2024-05-01,611
2024-06-01,300
2024-07-01,202
2024-08-01,196
2024-09-01,190
2024-10-01,353
2024-11-01,887
2024-12-01,1954
2025-01-01,2585
2025-02-01,2396
2025-03-01,1854
2025-04-01,1146
2025-05-01,592
2025-06-01,353
2025-07-01,205
2025-08-01,180
2025-09-01,212
2025-10-01,381
2025-11-01,951
2025-12-01,1953
2026-01-01,2579
2026-02-01,2054
