Date,Value
1967-01-01,442360
1968-01-01,444964
1969-01-01,456414
1970-01-01,459972
1971-01-01,460820
1972-01-01,478331
1973-01-01,439212
1974-01-01,435800
1975-01-01,427817
1976-01-01,440190
1977-01-01,401928
1978-01-01,416721
1979-01-01,373631
1980-01-01,393759
1981-01-01,377134
1982-01-01,369437
1983-01-01,329647
1984-01-01,350296
1985-01-01,327591
1986-01-01,327300
1987-01-01,326480
1988-01-01,350612
1989-01-01,359148
1990-01-01,308321
1991-01-01,321724
1992-01-01,340628
1993-01-01,354110
1994-01-01,343331
1995-01-01,357754
1996-01-01,374824
1997-01-01,354543
1998-01-01,296576
1999-01-01,318214
2000-01-01,343920
2001-01-01,308534
2002-01-01,321317
2003-01-01,343037
2004-01-01,320823
2005-01-01,322697
2006-01-01,272261
2007-01-01,299577
2008-01-01,306529
2009-01-01,292429
2010-01-01,283703
2011-01-01,286132
2012-01-01,250871
2013-01-01,297361
2014-01-01,320568
2015-01-01,285306
2016-01-01,255826
2017-01-01,258699
2018-01-01,301232
2019-01-01,290080
2020-01-01,271863
2021-01-01,272676
2022-01-01,292734
2023-01-01,258335
2024-01-01,247246
2025-01-01,298791
