Date,Value
1967-01-01,67395.0
1968-01-01,74782.0
1969-01-01,75310.0
1970-01-01,77460.0
1971-01-01,75238.0
1972-01-01,77608.0
1973-01-01,73744.0
1974-01-01,72937.0
1975-01-01,79921.0
1976-01-01,82078.0
1977-01-01,86822.0
1978-01-01,84046.0
1979-01-01,85285.0
1980-01-01,76599.0
1981-01-01,69774.0
1982-01-01,79528.0
1983-01-01,79240.0
1984-01-01,81379.0
1985-01-01,76112.0
1986-01-01,66641.0
1987-01-01,64164.0
1988-01-01,71970.0
1989-01-01,71793.0
1990-01-01,65618.0
1991-01-01,69200.0
1992-01-01,65811.0
1993-01-01,78360.0
1994-01-01,69211.0
1995-01-01,68702.0
1996-01-01,76629.0
1997-01-01,71762.0
1998-01-01,66521.0
1999-01-01,61611.0
2000-01-01,66862.0
2001-01-01,64617.0
2002-01-01,67163.0
2003-01-01,65681.0
2004-01-01,59449.0
2005-01-01,59372.0
2006-01-01,52734.0
2007-01-01,59861.0
2008-01-01,66225.0
2009-01-01,62293.0
2010-01-01,65429.0
2011-01-01,61387.0
2012-01-01,49052.0
2013-01-01,66108.0
2014-01-01,69050.0
2015-01-01,59399.0
2016-01-01,50573.0
2017-01-01,51069.0
2018-01-01,67340.0
2019-01-01,67890.0
2020-01-01,60719.0
2021-01-01,63876.0
2022-01-01,61227.0
2023-01-01,59085.0
2024-01-01,53477.0
2025-01-01,
