Date,Value
1989-01-01,353
1989-02-01,314
1989-03-01,314
1989-04-01,227
1989-05-01,122
1989-06-01,61
1989-07-01,40
1989-08-01,37
1989-09-01,43
1989-10-01,97
1989-11-01,165
1989-12-01,353
1990-01-01,402
1990-02-01,327
1990-03-01,304
1990-04-01,219
1990-05-01,130
1990-06-01,82
1990-07-01,43
1990-08-01,40
1990-09-01,51
1990-10-01,95
1990-11-01,183
1990-12-01,273
1991-01-01,381
1991-02-01,366
1991-03-01,299
1991-04-01,225
1991-05-01,124
1991-06-01,64
1991-07-01,46
1991-08-01,40
1991-09-01,49
1991-10-01,110
1991-11-01,187
1991-12-01,314
1992-01-01,431
1992-02-01,426
1992-03-01,367
1992-04-01,284
1992-05-01,145
1992-06-01,72
1992-07-01,53
1992-08-01,49
1992-09-01,53
1992-10-01,129
1992-11-01,205
1992-12-01,308
1993-01-01,412
1993-02-01,446
1993-03-01,433
1993-04-01,271
1993-05-01,138
1993-06-01,84
1993-07-01,50
1993-08-01,45
1993-09-01,51
1993-10-01,127
1993-11-01,189
1993-12-01,285
1994-01-01,478
1994-02-01,456
1994-03-01,369
1994-04-01,261
1994-05-01,139
1994-06-01,84
1994-07-01,48
1994-08-01,45
1994-09-01,54
1994-10-01,93
1994-11-01,134
1994-12-01,277
1995-01-01,352
1995-02-01,372
1995-03-01,333
1995-04-01,266
1995-05-01,136
1995-06-01,79
1995-07-01,49
1995-08-01,42
1995-09-01,54
1995-10-01,86
1995-11-01,176
1995-12-01,353
1996-01-01,467
1996-02-01,418
1996-03-01,354
1996-04-01,268
1996-05-01,167
1996-06-01,85
1996-07-01,51
1996-08-01,47
1996-09-01,56
1996-10-01,100
1996-11-01,208
1996-12-01,302
1997-01-01,419
1997-02-01,416
1997-03-01,383
1997-04-01,283
1997-05-01,189
1997-06-01,97
1997-07-01,57
1997-08-01,52
1997-09-01,59
1997-10-01,118
1997-11-01,214
1997-12-01,345
1998-01-01,427
1998-02-01,397
1998-03-01,340
1998-04-01,266
1998-05-01,118
1998-06-01,77
1998-07-01,56
1998-08-01,57
1998-09-01,114
1998-10-01,102
1998-11-01,213
1998-12-01,289
1999-01-01,493
1999-02-01,384
1999-03-01,374
1999-04-01,282
1999-05-01,158
1999-06-01,77
1999-07-01,56
1999-08-01,56
1999-09-01,58
1999-10-01,123
1999-11-01,212
1999-12-01,293
2000-01-01,465
2000-02-01,510
2000-03-01,396
2000-04-01,268
2000-05-01,179
2000-06-01,110
2000-07-01,70
2000-08-01,62
2000-09-01,72
2000-10-01,124
2000-11-01,210
2000-12-01,376
2001-01-01,544
2001-02-01,446
2001-03-01,420
2001-04-01,316
2001-05-01,146
2001-06-01,96
2001-07-01,65
2001-08-01,54
2001-09-01,67
2001-10-01,91
2001-11-01,203
2001-12-01,270
2002-01-01,419
2002-02-01,441
2002-03-01,346
2002-04-01,312
2002-05-01,182
2002-06-01,119
2002-07-01,64
2002-08-01,58
2002-09-01,63
2002-10-01,98
2002-11-01,274
2002-12-01,385
2003-01-01,504
2003-02-01,580
2003-03-01,483
2003-04-01,332
2003-05-01,188
2003-06-01,95
2003-07-01,65
2003-08-01,60
2003-09-01,63
2003-10-01,119
2003-11-01,235
2003-12-01,394
2004-01-01,539
2004-02-01,581
2004-03-01,432
2004-04-01,331
2004-05-01,177
2004-06-01,98
2004-07-01,68
2004-08-01,64
2004-09-01,76
2004-10-01,110
2004-11-01,252
2004-12-01,385
2005-01-01,541
2005-02-01,537
2005-03-01,495
2005-04-01,302
2005-05-01,180
2005-06-01,116
2005-07-01,64
2005-08-01,61
2005-09-01,68
2005-10-01,98
2005-11-01,224
2005-12-01,402
2006-01-01,480
2006-02-01,445
2006-03-01,492
2006-04-01,288
2006-05-01,163
2006-06-01,113
2006-07-01,70
2006-08-01,62
2006-09-01,78
2006-10-01,122
2006-11-01,226
2006-12-01,335
2007-01-01,438
2007-02-01,589
2007-03-01,541
2007-04-01,367
2007-05-01,187
2007-06-01,102
2007-07-01,77
2007-08-01,66
2007-09-01,71
2007-10-01,94
2007-11-01,223
2007-12-01,454
2008-01-01,487
2008-02-01,503
2008-03-01,465
2008-04-01,365
2008-05-01,164
2008-06-01,104
2008-07-01,72
2008-08-01,65
2008-09-01,75
2008-10-01,119
2008-11-01,233
2008-12-01,421
2009-01-01,604
2009-02-01,575
2009-03-01,461
2009-04-01,326
2009-05-01,164
2009-06-01,114
2009-07-01,80
2009-08-01,70
2009-09-01,74
2009-10-01,140
2009-11-01,243
2009-12-01,333
2010-01-01,538
2010-02-01,494
2010-03-01,357
2010-04-01,270
2010-05-01,155
2010-06-01,95
2010-07-01,73
2010-08-01,64
2010-09-01,69
2010-10-01,173
2010-11-01,300
2010-12-01,489
2011-01-01,596
2011-02-01,512
2011-03-01,449
2011-04-01,368
2011-05-01,137
2011-06-01,86
2011-07-01,70
2011-08-01,70
2011-09-01,80
2011-10-01,151
2011-11-01,253
2011-12-01,441
2012-01-01,578
2012-02-01,475
2012-03-01,347
2012-04-01,258
2012-05-01,126
2012-06-01,79
2012-07-01,70
2012-08-01,68
2012-09-01,82
2012-10-01,149
2012-11-01,290
2012-12-01,491
2013-01-01,608
2013-02-01,554
2013-03-01,465
2013-04-01,285
2013-05-01,145
2013-06-01,99
2013-07-01,81
2013-08-01,74
2013-09-01,86
2013-10-01,143
2013-11-01,333
2013-12-01,544
2014-01-01,706
2014-02-01,608
2014-03-01,617
2014-04-01,354
2014-05-01,175
2014-06-01,96
2014-07-01,82
2014-08-01,79
2014-09-01,96
2014-10-01,158
2014-11-01,349
2014-12-01,507
2015-01-01,725
2015-02-01,760
2015-03-01,610
2015-04-01,367
2015-05-01,156
2015-06-01,107
2015-07-01,89
2015-08-01,74
2015-09-01,81
2015-10-01,168
2015-11-01,294
2015-12-01,402
2016-01-01,598
2016-02-01,562
2016-03-01,395
2016-04-01,362
2016-05-01,204
2016-06-01,113
2016-07-01,93
2016-08-01,77
2016-09-01,87
2016-10-01,149
2016-11-01,326
2016-12-01,555
2017-01-01,556
2017-02-01,507
2017-03-01,570
2017-04-01,311
2017-05-01,187
2017-06-01,131
2017-07-01,82
2017-08-01,78
2017-09-01,87
2017-10-01,111
2017-11-01,301
2017-12-01,587
2018-01-01,773
2018-02-01,582
2018-03-01,536
2018-04-01,439
2018-05-01,185
2018-06-01,113
2018-07-01,83
2018-08-01,75
2018-09-01,87
2018-10-01,182
2018-11-01,436
2018-12-01,592
2019-01-01,758
2019-02-01,680
2019-03-01,573
2019-04-01,383
2019-05-01,224
2019-06-01,128
2019-07-01,82
2019-08-01,81
2019-09-01,90
2019-10-01,140
2019-11-01,422
2019-12-01,578
2020-01-01,654
2020-02-01,639
2020-03-01,439
2020-04-01,385
2020-05-01,249
2020-06-01,128
2020-07-01,89
2020-08-01,82
2020-09-01,108
2020-10-01,156
2020-11-01,334
2020-12-01,546
2021-01-01,656
2021-02-01,639
2021-03-01,538
2021-04-01,332
2021-05-01,207
2021-06-01,107
2021-07-01,88
2021-08-01,81
2021-09-01,84
2021-10-01,132
2021-11-01,343
2021-12-01,525
2022-01-01,784
2022-02-01,675
2022-03-01,544
2022-04-01,373
2022-05-01,182
2022-06-01,106
2022-07-01,86
2022-08-01,76
2022-09-01,91
2022-10-01,178
2022-11-01,291
2022-12-01,527
2023-01-01,598
2023-02-01,606
2023-03-01,547
2023-04-01,327
2023-05-01,185
2023-06-01,115
2023-07-01,86
2023-08-01,78
2023-09-01,87
2023-10-01,142
2023-11-01,376
2023-12-01,501
2024-01-01,618
2024-02-01,577
2024-03-01,462
2024-04-01,339
2024-05-01,216
2024-06-01,96
2024-07-01,75
2024-08-01,76
2024-09-01,85
2024-10-01,144
2024-11-01,307
2024-12-01,545
2025-01-01,719
2025-02-01,667
2025-03-01,500
2025-04-01,348
2025-05-01,188
2025-06-01,117
2025-07-01,78
2025-08-01,76
2025-09-01,86
2025-10-01,148
2025-11-01,374
2025-12-01,639
2026-01-01,792
2026-02-01,684
