Date,Value
1967-01-01,50202
1968-01-01,54665
1969-01-01,56366
1970-01-01,57973
1971-01-01,55629
1972-01-01,59523
1973-01-01,55686
1974-01-01,53793
1975-01-01,51296
1976-01-01,51434
1977-01-01,51609
1978-01-01,53395
1979-01-01,47964
1980-01-01,48284
1981-01-01,47114
1982-01-01,43002
1983-01-01,39967
1984-01-01,39707
1985-01-01,36750
1986-01-01,36222
1987-01-01,35634
1988-01-01,37690
1989-01-01,37128
1990-01-01,32600
1991-01-01,32587
1992-01-01,35291
1993-01-01,35208
1994-01-01,35201
1995-01-01,35379
1996-01-01,37390
1997-01-01,35996
1998-01-01,29664
1999-01-01,31403
2000-01-01,31602
2001-01-01,31939
2002-01-01,30793
2003-01-01,32209
2004-01-01,30331
2005-01-01,29795
2006-01-01,26085
2007-01-01,26528
2008-01-01,27517
2009-01-01,26172
2010-01-01,27021
2011-01-01,25073
2012-01-01,22538
2013-01-01,26514
2014-01-01,28257
2015-01-01,24807
2016-01-01,23210
2017-01-01,22385
2018-01-01,26256
2019-01-01,23850
2020-01-01,22853
2021-01-01,23818
2022-01-01,25049
2023-01-01,21667
2024-01-01,20958
2025-01-01,25128
