Date,Value
1989-01-01,5838
1989-02-01,5621
1989-03-01,5179
1989-04-01,3608
1989-05-01,2263
1989-06-01,1001
1989-07-01,741
1989-08-01,695
1989-09-01,824
1989-10-01,1738
1989-11-01,3240
1989-12-01,6382
1990-01-01,6858
1990-02-01,4690
1990-03-01,4174
1990-04-01,3403
1990-05-01,1747
1990-06-01,1055
1990-07-01,724
1990-08-01,696
1990-09-01,800
1990-10-01,1353
1990-11-01,3031
1990-12-01,4069
1991-01-01,5561
1991-02-01,5527
1991-03-01,4858
1991-04-01,2876
1991-05-01,1372
1991-06-01,707
1991-07-01,629
1991-08-01,622
1991-09-01,765
1991-10-01,1738
1991-11-01,3210
1991-12-01,4722
1992-01-01,6183
1992-02-01,6231
1992-03-01,4328
1992-04-01,4038
1992-05-01,2076
1992-06-01,1105
1992-07-01,683
1992-08-01,661
1992-09-01,819
1992-10-01,1899
1992-11-01,3120
1992-12-01,4146
1993-01-01,5220
1993-02-01,5960
1993-03-01,5767
1993-04-01,3560
1993-05-01,1608
1993-06-01,962
1993-07-01,533
1993-08-01,620
1993-09-01,740
1993-10-01,1818
1993-11-01,3347
1993-12-01,5072
1994-01-01,7397
1994-02-01,6344
1994-03-01,5136
1994-04-01,3281
1994-05-01,1841
1994-06-01,926
1994-07-01,541
1994-08-01,625
1994-09-01,789
1994-10-01,1511
1994-11-01,2462
1994-12-01,4348
1995-01-01,5783
1995-02-01,6546
1995-03-01,4592
1995-04-01,3173
1995-05-01,1776
1995-06-01,702
1995-07-01,574
1995-08-01,560
1995-09-01,740
1995-10-01,1441
1995-11-01,3626
1995-12-01,5867
1996-01-01,6958
1996-02-01,6602
1996-03-01,5495
1996-04-01,3877
1996-05-01,1652
1996-06-01,817
1996-07-01,590
1996-08-01,537
1996-09-01,696
1996-10-01,1609
1996-11-01,3391
1996-12-01,5166
1997-01-01,5908
1997-02-01,5572
1997-03-01,4273
1997-04-01,3386
1997-05-01,2223
1997-06-01,952
1997-07-01,492
1997-08-01,598
1997-09-01,776
1997-10-01,1737
1997-11-01,4061
1997-12-01,6017
1998-01-01,5676
1998-02-01,4894
1998-03-01,4540
1998-04-01,2879
1998-05-01,1278
1998-06-01,670
1998-07-01,513
1998-08-01,526
1998-09-01,623
1998-10-01,1300
1998-11-01,2791
1998-12-01,3974
1999-01-01,6202
1999-02-01,4957
1999-03-01,5443
1999-04-01,2957
1999-05-01,1398
1999-06-01,657
1999-07-01,527
1999-08-01,505
1999-09-01,681
1999-10-01,1339
1999-11-01,2541
1999-12-01,4195
2000-01-01,5832
2000-02-01,6279
2000-03-01,3818
2000-04-01,2491
2000-05-01,1898
2000-06-01,747
2000-07-01,520
2000-08-01,535
2000-09-01,599
2000-10-01,1372
2000-11-01,2177
2000-12-01,5331
2001-01-01,6696
2001-02-01,5275
2001-03-01,4997
2001-04-01,3394
2001-05-01,963
2001-06-01,442
2001-07-01,386
2001-08-01,448
2001-09-01,752
2001-10-01,1527
2001-11-01,3089
2001-12-01,3970
2002-01-01,4915
2002-02-01,4814
2002-03-01,4528
2002-04-01,2641
2002-05-01,1609
2002-06-01,533
2002-07-01,537
2002-08-01,448
2002-09-01,549
2002-10-01,1556
2002-11-01,3357
2002-12-01,5306
2003-01-01,6785
2003-02-01,6223
2003-03-01,4385
2003-04-01,2285
2003-05-01,1171
2003-06-01,600
2003-07-01,477
2003-08-01,443
2003-09-01,680
2003-10-01,1816
2003-11-01,2379
2003-12-01,4964
2004-01-01,6178
2004-02-01,6569
2004-03-01,4455
2004-04-01,2958
2004-05-01,1262
2004-06-01,484
2004-07-01,486
2004-08-01,449
2004-09-01,491
2004-10-01,1065
2004-11-01,1959
2004-12-01,3974
2005-01-01,5162
2005-02-01,5469
2005-03-01,5157
2005-04-01,2534
2005-05-01,1660
2005-06-01,636
2005-07-01,399
2005-08-01,396
2005-09-01,419
2005-10-01,756
2005-11-01,2339
2005-12-01,4868
2006-01-01,4679
2006-02-01,4570
2006-03-01,4193
2006-04-01,2280
2006-05-01,1145
2006-06-01,618
2006-07-01,355
2006-08-01,365
2006-09-01,500
2006-10-01,1159
2006-11-01,2623
2006-12-01,3597
2007-01-01,4242
2007-02-01,5694
2007-03-01,4898
2007-04-01,2305
2007-05-01,736
2007-06-01,355
2007-07-01,363
2007-08-01,331
2007-09-01,343
2007-10-01,889
2007-11-01,2568
2007-12-01,3806
2008-01-01,5137
2008-02-01,4779
2008-03-01,3983
2008-04-01,1765
2008-05-01,993
2008-06-01,425
2008-07-01,364
2008-08-01,369
2008-09-01,440
2008-10-01,1519
2008-11-01,3186
2008-12-01,4557
2009-01-01,5706
2009-02-01,4672
2009-03-01,3336
2009-04-01,1937
2009-05-01,755
2009-06-01,340
2009-07-01,370
2009-08-01,348
2009-09-01,503
2009-10-01,1636
2009-11-01,2128
2009-12-01,4442
2010-01-01,5549
2010-02-01,5003
2010-03-01,2971
2010-04-01,1496
2010-05-01,807
2010-06-01,399
2010-07-01,350
2010-08-01,387
2010-09-01,436
2010-10-01,1239
2010-11-01,2796
2010-12-01,5587
2011-01-01,5695
2011-02-01,4049
2011-03-01,3538
2011-04-01,1740
2011-05-01,801
2011-06-01,523
2011-07-01,363
2011-08-01,333
2011-09-01,462
2011-10-01,1374
2011-11-01,2362
2011-12-01,3832
2012-01-01,4430
2012-02-01,4096
2012-03-01,1961
2012-04-01,1907
2012-05-01,458
2012-06-01,327
2012-07-01,233
2012-08-01,379
2012-09-01,631
2012-10-01,1363
2012-11-01,3300
2012-12-01,3454
2013-01-01,4530
2013-02-01,4486
2013-03-01,4560
2013-04-01,1982
2013-05-01,824
2013-06-01,467
2013-07-01,331
2013-08-01,362
2013-09-01,549
2013-10-01,1356
2013-11-01,3198
2013-12-01,3870
2014-01-01,5909
2014-02-01,4950
2014-03-01,4484
2014-04-01,1972
2014-05-01,913
2014-06-01,466
2014-07-01,360
2014-08-01,360
2014-09-01,517
2014-10-01,1147
2014-11-01,3249
2014-12-01,3929
2015-01-01,5121
2015-02-01,5640
2015-03-01,4563
2015-04-01,1631
2015-05-01,668
2015-06-01,416
2015-07-01,243
2015-08-01,337
2015-09-01,385
2015-10-01,1235
2015-11-01,2120
2015-12-01,2449
2016-01-01,5275
2016-02-01,4160
2016-03-01,2617
2016-04-01,1784
2016-05-01,726
2016-06-01,371
2016-07-01,363
2016-08-01,323
2016-09-01,360
2016-10-01,884
2016-11-01,2265
2016-12-01,4083
2017-01-01,4081
2017-02-01,3118
2017-03-01,3489
2017-04-01,1372
2017-05-01,758
2017-06-01,325
2017-07-01,356
2017-08-01,304
2017-09-01,485
2017-10-01,1014
2017-11-01,2610
2017-12-01,4473
2018-01-01,5522
2018-02-01,3644
2018-03-01,4242
2018-04-01,2439
2018-05-01,592
2018-06-01,385
2018-07-01,330
2018-08-01,297
2018-09-01,348
2018-10-01,1311
2018-11-01,3135
2018-12-01,4011
2019-01-01,5016
2019-02-01,3677
2019-03-01,3842
2019-04-01,1355
2019-05-01,654
2019-06-01,314
2019-07-01,331
2019-08-01,343
2019-09-01,297
2019-10-01,1089
2019-11-01,3172
2019-12-01,3758
2020-01-01,4261
2020-02-01,4023
2020-03-01,2684
2020-04-01,1948
2020-05-01,949
2020-06-01,675
2020-07-01,325
2020-08-01,318
2020-09-01,505
2020-10-01,1081
2020-11-01,2144
2020-12-01,3939
2021-01-01,4976
2021-02-01,4715
2021-03-01,2999
2021-04-01,1918
2021-05-01,1050
2021-06-01,314
2021-07-01,264
2021-08-01,301
2021-09-01,459
2021-10-01,830
2021-11-01,2811
2021-12-01,3180
2022-01-01,5182
2022-02-01,4340
2022-03-01,3165
2022-04-01,1972
2022-05-01,562
2022-06-01,319
2022-07-01,338
2022-08-01,276
2022-09-01,552
2022-10-01,1572
2022-11-01,2445
2022-12-01,4325
2023-01-01,4086
2023-02-01,3395
2023-03-01,3554
2023-04-01,1642
2023-05-01,718
2023-06-01,307
2023-07-01,312
2023-08-01,328
2023-09-01,433
2023-10-01,1063
2023-11-01,2403
2023-12-01,3426
2024-01-01,5022
2024-02-01,3509
2024-03-01,2496
2024-04-01,1486
2024-05-01,611
2024-06-01,333
2024-07-01,284
2024-08-01,304
2024-09-01,327
2024-10-01,922
2024-11-01,1899
2024-12-01,3764
2025-01-01,5700
2025-02-01,4567
2025-03-01,3020
2025-04-01,1761
2025-05-01,810
2025-06-01,404
2025-07-01,304
2025-08-01,344
2025-09-01,346
2025-10-01,1100
2025-11-01,2423
2025-12-01,4350
2026-01-01,5594
2026-02-01,4590
