Date,Value
1990-01-01,92.3
1991-01-01,91.5
1992-01-01,90.7
1993-01-01,91.8
1994-01-01,95.1
1995-01-01,96.0
1996-01-01,95.0
1997-01-01,94.2
1998-01-01,90.8
1999-01-01,89.3
2000-01-01,89.9
2001-01-01,87.0
2002-01-01,80.8
2003-01-01,81.9
2004-01-01,80.3
2005-01-01,74.1
2006-01-01,71.7
2007-01-01,70.4
2008-01-01,64.5
2009-01-01,59.4
2010-01-01,55.6
2011-01-01,51.5
2012-01-01,40.2
2013-01-01,43.7
2014-01-01,45.5
2015-01-01,42.5
2016-01-01,37.7
2017-01-01,36.0
2018-01-01,40.1
2019-01-01,39.2
2020-01-01,36.5
2021-01-01,38.3
2022-01-01,37.6
2023-01-01,37.2
2024-01-01,36.5
2025-01-01,38.9
