Date,Value
1989-01-01,4.59
1989-02-01,4.81
1989-03-01,4.75
1989-04-01,4.82
1989-05-01,4.99
1989-06-01,4.77
1989-07-01,4.77
1989-08-01,5.03
1989-09-01,4.74
1989-10-01,4.85
1989-11-01,4.6
1989-12-01,4.75
1990-01-01,4.83
1990-02-01,4.89
1990-03-01,4.78
1990-04-01,4.79
1990-05-01,4.67
1990-06-01,4.66
1990-07-01,4.73
1990-08-01,4.78
1990-09-01,4.79
1990-10-01,4.81
1990-11-01,4.79
1990-12-01,4.83
1991-01-01,4.99
1991-02-01,5.17
1991-03-01,4.8
1991-04-01,5.01
1991-05-01,5.04
1991-06-01,5.23
1991-07-01,5.15
1991-08-01,5.04
1991-09-01,5.19
1991-10-01,5.26
1991-11-01,5.16
1991-12-01,5.08
1992-01-01,5.09
1992-02-01,5.1
1992-03-01,5.22
1992-04-01,5.29
1992-05-01,5.74
1992-06-01,5.37
1992-07-01,5.08
1992-08-01,5.28
1992-09-01,4.87
1992-10-01,5.28
1992-11-01,5.22
1992-12-01,5.09
1993-01-01,5.03
1993-02-01,5.01
1993-03-01,5.07
1993-04-01,5.04
1993-05-01,5.04
1993-06-01,4.83
1993-07-01,4.87
1993-08-01,5.01
1993-09-01,5.17
1993-10-01,5.37
1993-11-01,5.31
1993-12-01,5.1
1994-01-01,5.05
1994-02-01,5.05
1994-03-01,5.14
1994-04-01,5.35
1994-05-01,5.4
1994-06-01,5.31
1994-07-01,5.36
1994-08-01,5.41
1994-09-01,5.45
1994-10-01,5.5
1994-11-01,5.43
1994-12-01,5.34
1995-01-01,5.34
1995-02-01,5.4
1995-03-01,5.42
1995-04-01,5.41
1995-05-01,5.37
1995-06-01,5.28
1995-07-01,5.26
1995-08-01,5.23
1995-09-01,5.04
1995-10-01,5.09
1995-11-01,5.1
1995-12-01,4.91
1996-01-01,4.94
1996-02-01,4.99
1996-03-01,4.98
1996-04-01,5.01
1996-05-01,4.96
1996-06-01,5.0
1996-07-01,5.1
1996-08-01,5.15
1996-09-01,5.19
1996-10-01,5.16
1996-11-01,5.02
1996-12-01,4.99
1997-01-01,5.0
1997-02-01,5.1
1997-03-01,5.26
1997-04-01,5.08
1997-05-01,5.18
1997-06-01,5.2
1997-07-01,5.21
1997-08-01,5.33
1997-09-01,5.81
1997-10-01,5.82
1997-11-01,5.82
1997-12-01,5.55
1998-01-01,5.7
1998-02-01,5.64
1998-03-01,5.55
1998-04-01,5.84
1998-05-01,6.2
1998-06-01,6.25
1998-07-01,6.31
1998-08-01,6.36
1998-09-01,5.83
1998-10-01,6.51
1998-11-01,6.44
1998-12-01,6.31
1999-01-01,6.12
1999-02-01,6.18
1999-03-01,6.12
1999-04-01,6.11
1999-05-01,6.06
1999-06-01,6.04
1999-07-01,6.12
1999-08-01,6.37
1999-09-01,6.26
1999-10-01,6.31
1999-11-01,6.33
1999-12-01,6.2
2000-01-01,5.93
2000-02-01,7.7
2000-03-01,6.02
2000-04-01,6.09
2000-05-01,6.37
2000-06-01,6.35
2000-07-01,6.93
2000-08-01,6.55
2000-09-01,6.72
2000-10-01,6.83
2000-11-01,7.88
2000-12-01,6.99
2001-01-01,7.2
2001-02-01,8.1
2001-03-01,7.3
2001-04-01,7.26
2001-05-01,7.82
2001-06-01,7.73
2001-07-01,7.93
2001-08-01,7.99
2001-09-01,7.94
2001-10-01,7.98
2001-11-01,8.46
2001-12-01,8.86
2002-01-01,9.38
2002-02-01,8.96
2002-03-01,9.0
2002-04-01,8.16
2002-05-01,8.04
2002-06-01,8.01
2002-07-01,7.97
2002-08-01,8.07
2002-09-01,8.07
2002-10-01,8.18
2002-11-01,7.99
2002-12-01,7.66
2003-01-01,7.68
2003-02-01,7.72
2003-03-01,7.8
2003-04-01,7.43
2003-05-01,7.65
2003-06-01,7.67
2003-07-01,7.65
2003-08-01,7.89
2003-09-01,7.97
2003-10-01,8.08
2003-11-01,8.33
2003-12-01,8.21
2004-01-01,8.31
2004-02-01,7.14
2004-03-01,8.64
2004-04-01,8.82
2004-05-01,8.92
2004-06-01,8.35
