Date,Value
1989-01-01,5.28
1989-02-01,5.25
1989-03-01,5.27
1989-04-01,5.16
1989-05-01,4.28
1989-06-01,4.07
1989-07-01,4.63
1989-08-01,4.57
1989-09-01,4.39
1989-10-01,4.35
1989-11-01,5.13
1989-12-01,5.49
1990-01-01,5.56
1990-02-01,5.64
1990-03-01,5.64
1990-04-01,5.29
1990-05-01,4.54
1990-06-01,4.37
1990-07-01,4.4
1990-08-01,4.64
1990-09-01,4.37
1990-10-01,5.03
1990-11-01,5.05
1990-12-01,5.58
1991-01-01,6.08
1991-02-01,6.29
1991-03-01,6.29
1991-04-01,5.6
1991-05-01,4.71
1991-06-01,5.17
1991-07-01,4.88
1991-08-01,5.42
1991-09-01,4.21
1991-10-01,4.09
1991-11-01,6.31
1991-12-01,5.92
1992-01-01,4.8
1992-02-01,8.65
1992-03-01,5.94
1992-04-01,5.93
1992-05-01,3.77
1992-06-01,3.91
1992-07-01,4.39
1992-08-01,4.4
1992-09-01,4.2
1992-10-01,4.53
1992-11-01,5.45
1992-12-01,5.73
1993-01-01,7.66
1993-02-01,6.0
1993-03-01,6.84
1993-04-01,6.08
1993-05-01,5.79
1993-06-01,6.44
1993-07-01,5.12
1993-08-01,6.58
1993-09-01,5.75
1993-10-01,4.92
1993-11-01,5.03
1993-12-01,5.69
1994-01-01,8.16
1994-02-01,8.7
1994-03-01,8.27
1994-04-01,8.28
1994-05-01,5.85
1994-06-01,7.77
1994-07-01,5.42
1994-08-01,7.45
1994-09-01,7.19
1994-10-01,5.68
1994-11-01,6.02
1994-12-01,6.83
1995-01-01,7.11
1995-02-01,6.74
1995-03-01,6.41
1995-04-01,5.98
1995-05-01,5.56
1995-06-01,5.98
1995-07-01,5.68
1995-08-01,6.2
1995-09-01,6.0
1995-10-01,6.04
1995-11-01,4.67
1995-12-01,7.01
1996-01-01,6.74
1996-02-01,6.19
1996-03-01,6.6
1996-04-01,5.99
1996-05-01,5.55
1996-06-01,5.42
1996-07-01,5.5
1996-08-01,5.25
1996-09-01,5.46
1996-10-01,5.68
1996-11-01,5.49
1996-12-01,6.36
1997-01-01,7.12
1997-02-01,6.92
1997-03-01,6.65
1997-04-01,6.04
1997-05-01,5.28
1997-06-01,6.26
1997-07-01,5.85
1997-08-01,4.95
1997-09-01,5.83
1997-10-01,6.64
1997-11-01,7.03
1997-12-01,6.98
1998-01-01,6.8
1998-02-01,6.86
1998-03-01,7.18
1998-04-01,6.76
1998-05-01,5.77
1998-06-01,6.01
1998-07-01,5.59
1998-08-01,5.98
1998-09-01,5.93
1998-10-01,5.73
1998-11-01,6.08
1998-12-01,6.38
1999-01-01,6.15
1999-02-01,6.64
1999-03-01,5.46
1999-04-01,5.88
1999-05-01,5.53
1999-06-01,5.74
1999-07-01,6.0
1999-08-01,6.42
1999-09-01,6.3
1999-10-01,6.69
1999-11-01,6.74
1999-12-01,6.76
2000-01-01,6.2
2000-02-01,6.73
2000-03-01,6.68
2000-04-01,6.29
2000-05-01,7.04
2000-06-01,6.69
2000-07-01,7.57
2000-08-01,7.29
2000-09-01,7.96
2000-10-01,8.52
2000-11-01,8.76
2000-12-01,10.41
2001-01-01,12.35
2001-02-01,14.26
2001-03-01,14.2
2001-04-01,11.58
2001-05-01,10.78
2001-06-01,9.65
2001-07-01,7.32
2001-08-01,6.69
2001-09-01,5.56
2001-10-01,4.67
2001-11-01,5.18
2001-12-01,5.35
2002-01-01,6.61
2002-02-01,5.91
2002-03-01,5.57
2002-04-01,6.14
2002-05-01,5.7
2002-06-01,5.42
2002-07-01,5.5
2002-08-01,5.35
2002-09-01,5.46
2002-10-01,5.84
2002-11-01,7.02
2002-12-01,7.44
2003-01-01,7.85
2003-02-01,7.99
2003-03-01,8.88
2003-04-01,8.88
2003-05-01,7.57
