Date,Value
1989-01-01,5.33
1989-02-01,5.27
1989-03-01,5.33
1989-04-01,5.43
1989-05-01,5.5
1989-06-01,5.61
1989-07-01,5.65
1989-08-01,5.46
1989-09-01,5.48
1989-10-01,5.56
1989-11-01,5.45
1989-12-01,5.35
1990-01-01,4.97
1990-02-01,5.01
1990-03-01,5.15
1990-04-01,5.08
1990-05-01,5.18
1990-06-01,5.24
1990-07-01,5.3
1990-08-01,5.06
1990-09-01,5.6
1990-10-01,5.41
1990-11-01,5.15
1990-12-01,5.11
1991-01-01,5.22
1991-02-01,4.3
1991-03-01,4.99
1991-04-01,4.84
1991-05-01,4.86
1991-06-01,4.99
1991-07-01,4.83
1991-08-01,4.9
1991-09-01,4.86
1991-10-01,4.95
1991-11-01,4.75
1991-12-01,4.57
1992-01-01,4.72
1992-02-01,4.99
1992-03-01,4.57
1992-04-01,4.89
1992-05-01,5.01
1992-06-01,5.14
1992-07-01,5.16
1992-08-01,5.14
1992-09-01,5.16
1992-10-01,5.07
1992-11-01,5.07
1992-12-01,5.18
1993-01-01,5.2
1993-02-01,5.15
1993-03-01,5.14
1993-04-01,5.22
1993-05-01,5.49
1993-06-01,7.8
1993-07-01,5.68
1993-08-01,5.68
1993-09-01,6.04
1993-10-01,5.63
1993-11-01,5.83
1993-12-01,5.75
1994-01-01,6.05
1994-02-01,6.05
1994-03-01,6.06
1994-04-01,6.17
1994-05-01,6.69
1994-06-01,6.39
1994-07-01,6.59
1994-08-01,6.63
1994-09-01,6.65
1994-10-01,6.48
1994-11-01,6.2
1994-12-01,5.95
1995-01-01,5.26
1995-02-01,5.18
1995-03-01,5.15
1995-04-01,5.31
1995-05-01,5.39
1995-06-01,5.64
1995-07-01,5.32
1995-08-01,5.86
1995-09-01,5.64
1995-10-01,5.38
1995-11-01,5.64
1995-12-01,4.97
1996-01-01,5.33
1996-02-01,5.34
1996-03-01,5.64
1996-04-01,5.52
1996-05-01,6.06
1996-06-01,6.82
1996-07-01,6.93
1996-08-01,6.88
1996-09-01,6.45
1996-10-01,6.39
1996-11-01,5.96
1996-12-01,6.19
1997-01-01,6.25
1997-02-01,6.46
1997-03-01,6.39
1997-04-01,6.53
1997-05-01,6.74
1997-06-01,7.3
1997-07-01,7.81
1997-08-01,8.54
1997-09-01,7.15
1997-10-01,7.46
1997-11-01,6.88
1997-12-01,6.6
1998-01-01,6.66
1998-02-01,6.68
1998-03-01,6.7
1998-04-01,6.85
1998-05-01,7.33
1998-06-01,7.81
1998-07-01,8.14
1998-08-01,8.4
1998-09-01,8.72
1998-10-01,8.05
1998-11-01,6.93
1998-12-01,6.89
1999-01-01,6.66
1999-02-01,6.58
1999-03-01,6.67
1999-04-01,6.8
1999-05-01,7.29
1999-06-01,7.87
1999-07-01,8.27
1999-08-01,8.76
1999-09-01,8.18
1999-10-01,7.49
1999-11-01,7.19
1999-12-01,6.92
2000-01-01,5.73
2000-02-01,6.51
2000-03-01,6.45
2000-04-01,6.63
2000-05-01,6.9
2000-06-01,6.94
2000-07-01,7.33
2000-08-01,7.56
2000-09-01,18.75
2000-10-01,7.92
2000-11-01,7.42
2000-12-01,8.16
2001-01-01,8.36
2001-02-01,12.02
2001-03-01,8.55
2001-04-01,10.85
2001-05-01,11.62
2001-06-01,11.43
2001-07-01,11.82
2001-08-01,12.09
2001-09-01,11.48
2001-10-01,10.99
2001-11-01,10.38
2001-12-01,10.3
2002-01-01,9.5
2002-02-01,9.35
2002-03-01,9.42
2002-04-01,9.71
2002-05-01,9.78
2002-06-01,10.68
2002-07-01,10.84
2002-08-01,10.74
2002-09-01,10.51
2002-10-01,10.08
2002-11-01,8.85
2002-12-01,8.16
2003-01-01,7.72
2003-02-01,8.38
2003-03-01,9.42
2003-04-01,9.25
2003-05-01,10.07
2003-06-01,10.42
2003-07-01,9.62
2003-08-01,9.76
2003-09-01,9.78
2003-10-01,10.3
2003-11-01,8.83
2003-12-01,9.97
2004-01-01,9.05
2004-02-01,11.1
2004-03-01,10.76
2004-04-01,11.69
2004-05-01,12.48
2004-06-01,12.56
2004-07-01,12.76
2004-08-01,11.71
2004-09-01,11.1
2004-10-01,10.16
2004-11-01,10.17
2004-12-01,9.85
2005-01-01,10.81
2005-02-01,12.83
2005-03-01,12.5
2005-04-01,15.61
2005-05-01,14.31
2005-06-01,15.4
2005-07-01,15.04
2005-08-01,14.9
2005-09-01,13.87
2005-10-01,12.77
2005-11-01,12.68
2005-12-01,13.18
2006-01-01,15.36
2006-02-01,14.12
2006-03-01,17.48
2006-04-01,18.04
2006-05-01,17.04
2006-06-01,16.52
2006-07-01,17.86
2006-08-01,16.66
2006-09-01,16.35
2006-10-01,14.73
2006-11-01,13.24
2006-12-01,12.62
2007-01-01,12.98
2007-02-01,13.66
2007-03-01,16.54
2007-04-01,16.57
2007-05-01,17.32
2007-06-01,15.95
2007-07-01,16.54
2007-08-01,16.59
2007-09-01,16.24
2007-10-01,16.14
2007-11-01,12.48
2007-12-01,12.25
2008-01-01,12.83
2008-02-01,13.59
2008-03-01,14.35
2008-04-01,15.71
2008-05-01,14.83
2008-06-01,15.15
2008-07-01,15.45
2008-08-01,17.01
2008-09-01,15.68
2008-10-01,14.7
2008-11-01,13.21
2008-12-01,14.72
2009-01-01,14.76
2009-02-01,15.17
2009-03-01,16.73
2009-04-01,18.04
2009-05-01,17.75
2009-06-01,17.74
2009-07-01,17.26
2009-08-01,18.1
2009-09-01,18.02
2009-10-01,19.13
2009-11-01,14.8
2009-12-01,13.47
2010-01-01,12.09
2010-02-01,12.42
2010-03-01,11.51
2010-04-01,12.09
2010-05-01,13.4
2010-06-01,14.81
2010-07-01,16.93
2010-08-01,15.91
2010-09-01,16.34
2010-10-01,17.2
2010-11-01,14.65
2010-12-01,13.48
2011-01-01,13.11
2011-02-01,13.07
2011-03-01,13.4
2011-04-01,13.2
2011-05-01,15.37
2011-06-01,15.23
2011-07-01,15.56
2011-08-01,15.29
2011-09-01,15.19
2011-10-01,15.23
2011-11-01,12.98
2011-12-01,13.1
2012-01-01,12.82
2012-02-01,12.86
2012-03-01,13.18
2012-04-01,13.77
2012-05-01,14.4
2012-06-01,15.35
2012-07-01,15.87
2012-08-01,16.01
2012-09-01,16.45
2012-10-01,15.12
2012-11-01,12.58
2012-12-01,11.39
2013-01-01,11.13
2013-02-01,11.11
2013-03-01,11.21
2013-04-01,11.6
2013-05-01,12.7
2013-06-01,13.67
2013-07-01,14.07
2013-08-01,14.64
2013-09-01,14.49
2013-10-01,13.9
2013-11-01,12.17
2013-12-01,11.02
2014-01-01,10.88
2014-02-01,10.86
2014-03-01,10.65
2014-04-01,11.24
2014-05-01,12.25
2014-06-01,13.56
2014-07-01,14.28
2014-08-01,14.6
2014-09-01,14.36
2014-10-01,13.94
2014-11-01,11.92
2014-12-01,10.54
2015-01-01,10.19
2015-02-01,10.11
2015-03-01,10.26
