Date,Value
1989-01-01,27838
1989-02-01,29591
1989-03-01,25963
1989-04-01,15899
1989-05-01,9308
1989-06-01,5975
1989-07-01,5445
1989-08-01,4862
1989-09-01,6177
1989-10-01,11093
1989-11-01,20173
1989-12-01,33847
1990-01-01,30713
1990-02-01,25802
1990-03-01,22068
1990-04-01,17635
1990-05-01,10676
1990-06-01,6785
1990-07-01,7008
1990-08-01,7341
1990-09-01,7970
1990-10-01,15118
1990-11-01,19910
1990-12-01,29245
1991-01-01,35376
1991-02-01,26327
1991-03-01,22768
1991-04-01,13059
1991-05-01,8214
1991-06-01,5162
1991-07-01,6031
1991-08-01,5693
1991-09-01,7979
1991-10-01,11574
1991-11-01,23098
1991-12-01,28563
1992-01-01,30506
1992-02-01,26501
1992-03-01,23400
1992-04-01,17598
1992-05-01,8872
1992-06-01,4907
1992-07-01,5811
1992-08-01,6025
1992-09-01,6618
1992-10-01,12394
1992-11-01,22757
1992-12-01,31575
1993-01-01,33166
1993-02-01,29686
1993-03-01,27677
1993-04-01,17598
1993-05-01,7744
1993-06-01,5101
1993-07-01,5879
1993-08-01,5644
1993-09-01,7362
1993-10-01,13064
1993-11-01,22147
1993-12-01,28088
1994-01-01,39478
1994-02-01,32675
1994-03-01,24021
1994-04-01,14447
1994-05-01,7714
1994-06-01,6150
1994-07-01,5803
1994-08-01,6226
1994-09-01,6544
1994-10-01,11431
1994-11-01,18158
1994-12-01,24912
1995-01-01,34345
1995-02-01,30538
1995-03-01,23332
1995-04-01,15643
1995-05-01,9135
1995-06-01,6157
1995-07-01,6035
1995-08-01,6612
1995-09-01,6984
1995-10-01,11880
1995-11-01,22408
1995-12-01,30734
1996-01-01,36723
1996-02-01,33140
1996-03-01,27306
1996-04-01,17937
1996-05-01,9659
1996-06-01,5695
1996-07-01,5426
1996-08-01,5314
1996-09-01,7125
1996-10-01,12090
1996-11-01,25216
1996-12-01,32425
1997-01-01,36666
1997-02-01,29596
1997-03-01,23084
1997-04-01,16531
1997-05-01,10471
1997-06-01,6052
1997-07-01,5970
1997-08-01,5809
1997-09-01,6425
1997-10-01,12291
1997-11-01,22861
1997-12-01,27094
1998-01-01,30391
1998-02-01,22336
1998-03-01,23767
1998-04-01,15152
1998-05-01,6893
1998-06-01,6242
1998-07-01,5203
1998-08-01,6399
1998-09-01,6521
1998-10-01,9948
1998-11-01,17109
1998-12-01,24727
1999-01-01,35733
1999-02-01,26362
1999-03-01,24683
1999-04-01,14117
1999-05-01,8306
1999-06-01,5976
1999-07-01,6186
1999-08-01,6152
1999-09-01,6918
1999-10-01,11929
1999-11-01,15089
1999-12-01,27069
2000-01-01,34670
2000-02-01,27474
2000-03-01,19510
2000-04-01,15395
2000-05-01,8281
2000-06-01,6325
2000-07-01,6246
2000-08-01,6704
2000-09-01,7544
2000-10-01,10550
2000-11-01,21467
2000-12-01,37604
2001-01-01,34687
2001-02-01,30186
2001-03-01,26259
2001-04-01,12190
2001-05-01,7784
2001-06-01,6206
2001-07-01,6161
2001-08-01,6333
2001-09-01,7631
2001-10-01,12120
2001-11-01,14372
2001-12-01,25230
2002-01-01,29952
2002-02-01,26156
2002-03-01,24832
2002-04-01,19118
2002-05-01,11204
2002-06-01,7082
2002-07-01,6736
2002-08-01,6722
2002-09-01,7809
2002-10-01,14279
2002-11-01,21703
2002-12-01,28977
2003-01-01,37747
2003-02-01,33540
2003-03-01,26285
2003-04-01,15577
2003-05-01,9138
2003-06-01,6234
2003-07-01,6817
2003-08-01,6368
2003-09-01,7876
2003-10-01,12670
2003-11-01,19454
2003-12-01,30005
2004-01-01,36022
2004-02-01,32461
2004-03-01,23798
2004-04-01,14937
2004-05-01,9030
2004-06-01,7453
2004-07-01,7277
2004-08-01,7256
2004-09-01,7754
2004-10-01,11416
2004-11-01,17347
2004-12-01,29289
2005-01-01,35200
2005-02-01,27427
2005-03-01,26904
2005-04-01,13751
2005-05-01,9820
2005-06-01,7005
2005-07-01,6449
2005-08-01,6558
2005-09-01,7234
2005-10-01,10717
2005-11-01,17770
2005-12-01,33048
2006-01-01,27915
2006-02-01,28307
2006-03-01,24390
2006-04-01,15690
2006-05-01,9521
2006-06-01,8929
2006-07-01,7232
2006-08-01,7757
2006-09-01,8063
2006-10-01,14140
2006-11-01,19817
2006-12-01,24601
2007-01-01,28960
2007-02-01,34989
2007-03-01,25990
2007-04-01,17730
2007-05-01,11100
2007-06-01,7553
2007-07-01,6860
2007-08-01,7103
2007-09-01,7340
2007-10-01,9913
2007-11-01,17612
2007-12-01,28218
2008-01-01,34218
2008-02-01,34484
2008-03-01,28749
2008-04-01,19497
2008-05-01,11478
2008-06-01,6909
2008-07-01,7547
2008-08-01,6674
2008-09-01,7247
2008-10-01,12062
2008-11-01,19638
2008-12-01,33878
2009-01-01,37962
2009-02-01,32189
2009-03-01,26653
2009-04-01,17833
2009-05-01,9629
2009-06-01,7756
2009-07-01,8353
2009-08-01,7817
2009-09-01,8181
2009-10-01,14584
2009-11-01,18108
2009-12-01,33705
2010-01-01,35072
2010-02-01,28323
2010-03-01,23327
2010-04-01,11881
2010-05-01,8445
2010-06-01,6570
2010-07-01,6196
2010-08-01,6448
2010-09-01,7447
2010-10-01,10884
2010-11-01,20568
2010-12-01,32874
2011-01-01,39942
2011-02-01,28569
2011-03-01,23708
2011-04-01,15684
2011-05-01,10296
2011-06-01,7105
2011-07-01,7804
2011-08-01,7918
2011-09-01,9618
2011-10-01,15813
2011-11-01,21756
2011-12-01,27393
2012-01-01,31992
