Date,Value
1990-01-01,95.7
1991-01-01,94.2
1992-01-01,96.8
1993-01-01,95.2
1994-01-01,92.3
1995-01-01,87.8
1996-01-01,96.3
1997-01-01,89.9
1998-01-01,79.2
1999-01-01,78.3
2000-01-01,78.0
2001-01-01,77.1
2002-01-01,78.4
2003-01-01,79.8
2004-01-01,78.2
2005-01-01,82.1
2006-01-01,79.4
2007-01-01,78.1
2008-01-01,77.9
2009-01-01,73.9
2010-01-01,72.5
2011-01-01,70.2
2012-01-01,67.4
2013-01-01,68.2
2014-01-01,67.6
2015-01-01,67.0
2016-01-01,66.3
2017-01-01,66.1
2018-01-01,66.6
2019-01-01,66.3
2020-01-01,64.9
2021-01-01,68.0
2022-01-01,69.4
2023-01-01,68.9
2024-01-01,68.5
2025-01-01,70.1
