Date,Value
1989-01-01,7394
1989-02-01,6984
1989-03-01,7234
1989-04-01,5392
1989-05-01,3703
1989-06-01,2150
1989-07-01,1726
1989-08-01,1894
1989-09-01,1799
1989-10-01,2720
1989-11-01,3647
1989-12-01,6864
1990-01-01,8247
1990-02-01,6548
1990-03-01,6367
1990-04-01,5235
1990-05-01,3381
1990-06-01,2491
1990-07-01,2009
1990-08-01,2040
1990-09-01,1906
1990-10-01,2416
1990-11-01,4275
1990-12-01,5704
1991-01-01,7617
1991-02-01,7579
1991-03-01,6948
1991-04-01,5504
1991-05-01,3772
1991-06-01,2466
1991-07-01,2435
1991-08-01,2188
1991-09-01,1939
1991-10-01,2666
1991-11-01,4048
1991-12-01,6027
1992-01-01,8184
1992-02-01,8736
1992-03-01,8217
1992-04-01,7049
1992-05-01,4450
1992-06-01,2768
1992-07-01,3072
1992-08-01,2884
1992-09-01,2753
1992-10-01,3776
1992-11-01,5530
1992-12-01,6933
1993-01-01,8556
1993-02-01,9118
1993-03-01,9026
1993-04-01,6491
1993-05-01,4195
1993-06-01,3184
1993-07-01,2692
1993-08-01,2802
1993-09-01,2766
1993-10-01,3878
1993-11-01,5622
1993-12-01,7098
1994-01-01,13386
1994-02-01,13090
1994-03-01,12019
1994-04-01,7582
1994-05-01,5003
1994-06-01,4950
1994-07-01,4016
1994-08-01,3557
1994-09-01,3239
1994-10-01,4029
1994-11-01,5534
1994-12-01,8131
1995-01-01,10442
1995-02-01,11385
1995-03-01,10005
1995-04-01,7717
1995-05-01,5319
1995-06-01,3930
1995-07-01,3386
1995-08-01,3344
1995-09-01,3525
1995-10-01,4026
1995-11-01,7597
1995-12-01,11594
1996-01-01,13018
1996-02-01,12641
1996-03-01,11148
1996-04-01,8955
1996-05-01,6555
1996-06-01,4176
1996-07-01,3751
1996-08-01,4274
1996-09-01,4767
1996-10-01,5432
1996-11-01,9718
1996-12-01,11752
1997-01-01,14376
1997-02-01,13958
1997-03-01,11697
1997-04-01,9132
1997-05-01,6215
1997-06-01,7023
1997-07-01,5442
1997-08-01,5635
1997-09-01,5364
1997-10-01,6898
1997-11-01,8546
1997-12-01,11528
1998-01-01,14136
1998-02-01,13826
1998-03-01,11907
1998-04-01,9039
1998-05-01,5846
1998-06-01,5336
1998-07-01,4264
1998-08-01,3606
1998-09-01,2359
1998-10-01,5698
1998-11-01,7440
1998-12-01,6635
1999-01-01,6013
1999-02-01,7931
1999-03-01,9984
1999-04-01,9484
1999-05-01,5215
1999-06-01,5006
1999-07-01,2243
1999-08-01,2622
1999-09-01,2443
1999-10-01,3315
1999-11-01,4813
1999-12-01,6067
2000-01-01,7625
2000-02-01,10477
2000-03-01,7378
2000-04-01,5889
2000-05-01,4325
2000-06-01,3060
2000-07-01,2503
2000-08-01,2318
2000-09-01,3414
2000-10-01,3243
2000-11-01,5170
2000-12-01,8390
2001-01-01,10123
2001-02-01,8942
2001-03-01,8810
2001-04-01,6323
2001-05-01,3897
2001-06-01,2651
2001-07-01,2264
2001-08-01,2290
2001-09-01,2668
2001-10-01,3061
2001-11-01,4369
2001-12-01,6278
2002-01-01,8554
2002-02-01,8733
2002-03-01,6764
2002-04-01,5778
2002-05-01,4332
2002-06-01,3632
2002-07-01,2663
2002-08-01,2311
2002-09-01,3293
2002-10-01,5366
2002-11-01,4825
2002-12-01,8514
2003-01-01,10615
2003-02-01,9578
2003-03-01,6993
2003-04-01,5454
2003-05-01,4044
2003-06-01,2751
2003-07-01,2229
2003-08-01,2308
2003-09-01,2267
2003-10-01,2881
2003-11-01,7354
2003-12-01,6116
2004-01-01,9040
2004-02-01,9797
2004-03-01,7000
2004-04-01,5509
2004-05-01,3416
2004-06-01,2304
2004-07-01,2296
2004-08-01,2032
2004-09-01,2206
2004-10-01,2651
2004-11-01,4343
2004-12-01,6285
2005-01-01,8459
2005-02-01,8690
2005-03-01,8045
2005-04-01,5301
2005-05-01,3403
2005-06-01,2696
2005-07-01,2272
2005-08-01,2059
2005-09-01,2035
2005-10-01,2362
2005-11-01,3932
2005-12-01,7410
2006-01-01,8162
2006-02-01,7452
2006-03-01,8342
2006-04-01,4634
2006-05-01,3099
2006-06-01,2514
2006-07-01,2104
2006-08-01,1908
2006-09-01,1904
2006-10-01,2792
2006-11-01,3911
2006-12-01,5462
2007-01-01,7549
2007-02-01,10385
2007-03-01,9097
2007-04-01,6027
2007-05-01,3278
2007-06-01,2858
2007-07-01,1890
2007-08-01,2260
2007-09-01,2225
2007-10-01,2549
2007-11-01,4592
2007-12-01,8793
2008-01-01,11389
2008-02-01,11285
2008-03-01,9915
2008-04-01,6320
2008-05-01,4065
2008-06-01,2754
2008-07-01,2275
2008-08-01,2330
2008-09-01,2211
2008-10-01,3493
2008-11-01,6267
2008-12-01,9999
2009-01-01,12948
2009-02-01,12350
2009-03-01,9112
2009-04-01,6148
2009-05-01,3731
2009-06-01,2213
2009-07-01,2198
2009-08-01,2055
2009-09-01,2238
2009-10-01,3776
2009-11-01,5319
2009-12-01,9458
2010-01-01,12429
2010-02-01,11571
2010-03-01,7820
2010-04-01,5121
2010-05-01,3510
2010-06-01,2359
2010-07-01,2035
2010-08-01,2815
2010-09-01,2279
2010-10-01,3603
2010-11-01,6571
2010-12-01,11940
2011-01-01,14998
2011-02-01,13123
2011-03-01,10964
2011-04-01,6428
2011-05-01,4079
2011-06-01,2569
2011-07-01,2451
2011-08-01,2939
2011-09-01,2955
2011-10-01,4899
2011-11-01,6207
2011-12-01,9457
2012-01-01,11531
2012-02-01,11548
2012-03-01,7627
2012-04-01,5743
2012-05-01,3589
2012-06-01,2915
2012-07-01,2007
2012-08-01,2675
2012-09-01,3165
2012-10-01,3932
2012-11-01,7301
2012-12-01,11007
2013-01-01,15685
2013-02-01,15724
2013-03-01,13093
2013-04-01,8208
2013-05-01,5051
2013-06-01,3422
2013-07-01,2537
2013-08-01,3109
2013-09-01,3585
2013-10-01,4995
2013-11-01,10392
2013-12-01,13980
2014-01-01,16401
2014-02-01,14772
2014-03-01,13503
2014-04-01,9986
2014-05-01,6139
2014-06-01,3456
2014-07-01,3600
2014-08-01,3790
2014-09-01,4179
2014-10-01,6331
2014-11-01,11187
2014-12-01,12458
2015-01-01,18175
2015-02-01,18213
2015-03-01,14506
2015-04-01,7663
2015-05-01,4407
2015-06-01,4033
2015-07-01,3883
2015-08-01,3869
2015-09-01,3972
2015-10-01,7299
2015-11-01,9161
2015-12-01,9988
2016-01-01,16338
2016-02-01,14235
2016-03-01,10864
2016-04-01,8886
2016-05-01,5675
2016-06-01,3735
2016-07-01,3804
2016-08-01,4040
2016-09-01,4249
2016-10-01,7159
2016-11-01,10251
2016-12-01,15614
2017-01-01,15472
2017-02-01,13235
2017-03-01,16132
2017-04-01,7377
2017-05-01,5899
2017-06-01,3992
2017-07-01,3872
2017-08-01,4121
2017-09-01,4291
2017-10-01,5511
2017-11-01,11715
2017-12-01,17852
2018-01-01,18782
2018-02-01,17003
2018-03-01,15258
2018-04-01,10388
2018-05-01,4347
2018-06-01,4043
2018-07-01,3705
2018-08-01,4100
2018-09-01,4439
2018-10-01,6862
2018-11-01,14351
2018-12-01,15503
2019-01-01,20316
2019-02-01,16787
2019-03-01,14714
2019-04-01,9082
2019-05-01,6268
2019-06-01,3951
2019-07-01,4133
2019-08-01,3907
2019-09-01,5015
2019-10-01,7099
2019-11-01,14040
2019-12-01,16205
2020-01-01,17217
2020-02-01,15701
2020-03-01,11912
2020-04-01,9775
2020-05-01,5410
2020-06-01,3547
2020-07-01,4499
2020-08-01,4527
2020-09-01,4390
2020-10-01,7069
2020-11-01,10097
2020-12-01,15481
2021-01-01,16496
2021-02-01,16241
2021-03-01,12096
2021-04-01,7971
2021-05-01,4758
2021-06-01,3271
2021-07-01,4781
2021-08-01,3523
2021-09-01,4289
2021-10-01,5750
2021-11-01,10744
2021-12-01,13335
2022-01-01,18512
2022-02-01,16622
2022-03-01,13192
2022-04-01,8715
2022-05-01,5649
2022-06-01,4273
2022-07-01,4024
2022-08-01,5001
2022-09-01,6268
2022-10-01,6906
2022-11-01,11202
2022-12-01,16360
2023-01-01,16201
2023-02-01,15245
2023-03-01,13971
2023-04-01,7335
2023-05-01,5467
2023-06-01,4499
2023-07-01,3787
2023-08-01,4305
2023-09-01,4443
2023-10-01,6203
2023-11-01,12465
2023-12-01,12939
2024-01-01,17522
2024-02-01,15040
2024-03-01,12444
2024-04-01,9142
2024-05-01,4915
2024-06-01,4860
2024-07-01,3648
2024-08-01,3767
2024-09-01,4069
