Date,Value
1989-01-01,229
1989-02-01,226
1989-03-01,221
1989-04-01,160
1989-05-01,106
1989-06-01,63
1989-07-01,51
1989-08-01,50
1989-09-01,60
1989-10-01,96
1989-11-01,128
1989-12-01,269
1990-01-01,268
1990-02-01,227
1990-03-01,211
1990-04-01,175
1990-05-01,108
1990-06-01,70
1990-07-01,52
1990-08-01,47
1990-09-01,62
1990-10-01,83
1990-11-01,157
1990-12-01,219
1991-01-01,282
1991-02-01,265
1991-03-01,236
1991-04-01,180
1991-05-01,101
1991-06-01,73
1991-07-01,65
1991-08-01,65
1991-09-01,59
1991-10-01,103
1991-11-01,152
1991-12-01,278
1992-01-01,322
1992-02-01,318
1992-03-01,315
1992-04-01,229
1992-05-01,157
1992-06-01,80
1992-07-01,79
1992-08-01,52
1992-09-01,67
1992-10-01,116
1992-11-01,188
1992-12-01,285
1993-01-01,356
1993-02-01,364
1993-03-01,291
1993-04-01,192
1993-05-01,107
1993-06-01,80
1993-07-01,71
1993-08-01,67
1993-09-01,77
1993-10-01,166
1993-11-01,224
1993-12-01,316
1994-01-01,458
1994-02-01,364
1994-03-01,302
1994-04-01,181
1994-05-01,128
1994-06-01,79
1994-07-01,63
1994-08-01,71
1994-09-01,84
1994-10-01,135
1994-11-01,207
1994-12-01,309
1995-01-01,350
1995-02-01,373
1995-03-01,288
1995-04-01,211
1995-05-01,128
1995-06-01,77
1995-07-01,70
1995-08-01,71
1995-09-01,86
1995-10-01,129
1995-11-01,254
1995-12-01,389
1996-01-01,413
1996-02-01,386
1996-03-01,356
1996-04-01,208
1996-05-01,132
1996-06-01,82
1996-07-01,74
1996-08-01,75
1996-09-01,78
1996-10-01,172
1996-11-01,280
1996-12-01,310
1997-01-01,433
1997-02-01,348
1997-03-01,378
1997-04-01,231
1997-05-01,152
1997-06-01,92
1997-07-01,72
1997-08-01,78
1997-09-01,91
1997-10-01,176
1997-11-01,289
1997-12-01,375
1998-01-01,422
1998-02-01,335
1998-03-01,316
1998-04-01,195
1998-05-01,122
1998-06-01,90
1998-07-01,75
1998-08-01,74
1998-09-01,78
1998-10-01,165
1998-11-01,247
1998-12-01,337
1999-01-01,454
1999-02-01,341
1999-03-01,357
1999-04-01,199
1999-05-01,112
1999-06-01,82
1999-07-01,77
1999-08-01,79
1999-09-01,84
1999-10-01,186
1999-11-01,223
1999-12-01,353
2000-01-01,522
2000-02-01,361
2000-03-01,341
2000-04-01,271
2000-05-01,107
2000-06-01,81
2000-07-01,85
2000-08-01,78
2000-09-01,81
2000-10-01,154
2000-11-01,249
2000-12-01,439
2001-01-01,483
2001-02-01,409
2001-03-01,359
2001-04-01,247
2001-05-01,130
2001-06-01,65
2001-07-01,68
2001-08-01,69
2001-09-01,85
2001-10-01,140
2001-11-01,257
2001-12-01,330
2002-01-01,708
2002-02-01,579
2002-03-01,747
2002-04-01,469
2002-05-01,284
2002-06-01,191
2002-07-01,300
2002-08-01,178
2002-09-01,306
2002-10-01,339
2002-11-01,434
2002-12-01,631
2003-01-01,750
2003-02-01,640
2003-03-01,616
2003-04-01,446
2003-05-01,219
2003-06-01,237
2003-07-01,160
2003-08-01,195
2003-09-01,213
2003-10-01,324
2003-11-01,292
2003-12-01,689
2004-01-01,785
2004-02-01,628
2004-03-01,564
2004-04-01,411
2004-05-01,275
2004-06-01,216
2004-07-01,187
2004-08-01,205
2004-09-01,203
2004-10-01,305
2004-11-01,406
2004-12-01,627
2005-01-01,733
2005-02-01,610
2005-03-01,613
2005-04-01,375
2005-05-01,318
2005-06-01,195
2005-07-01,208
2005-08-01,192
2005-09-01,180
2005-10-01,289
2005-11-01,416
2005-12-01,664
2006-01-01,605
2006-02-01,636
2006-03-01,620
2006-04-01,355
2006-05-01,231
2006-06-01,164
2006-07-01,194
2006-08-01,201
2006-09-01,278
2006-10-01,344
2006-11-01,444
2006-12-01,627
2007-01-01,763
2007-02-01,826
2007-03-01,726
2007-04-01,499
2007-05-01,302
2007-06-01,220
2007-07-01,230
2007-08-01,215
2007-09-01,232
2007-10-01,316
2007-11-01,556
2007-12-01,864
2008-01-01,841
2008-02-01,852
2008-03-01,813
2008-04-01,503
2008-05-01,317
2008-06-01,216
2008-07-01,224
2008-08-01,212
2008-09-01,253
2008-10-01,362
2008-11-01,597
2008-12-01,688
2009-01-01,904
2009-02-01,800
2009-03-01,754
2009-04-01,427
2009-05-01,273
2009-06-01,223
2009-07-01,197
2009-08-01,181
2009-09-01,212
2009-10-01,366
2009-11-01,483
2009-12-01,721
2010-01-01,878
