Date,Value
1967-01-01,1.36
1968-01-01,1.46
1969-01-01,1.4
1970-01-01,1.44
1971-01-01,1.5
1972-01-01,1.63
1973-01-01,1.7
1974-01-01,1.88
1975-01-01,2.12
1976-01-01,2.65
1977-01-01,3.23
1978-01-01,3.27
1979-01-01,3.61
1980-01-01,5.12
1981-01-01,6.13
1982-01-01,7.32
1983-01-01,8.9
1984-01-01,8.61
1985-01-01,8.0
1986-01-01,7.48
1987-01-01,6.98
1988-01-01,6.25
1989-01-01,6.3
1990-01-01,6.72
1991-01-01,6.02
1992-01-01,6.19
1993-01-01,6.76
1994-01-01,6.97
1995-01-01,6.51
1996-01-01,7.09
1997-01-01,7.7
1998-01-01,7.23
1999-01-01,6.65
2000-01-01,6.06
2001-01-01,10.77
2002-01-01,9.55
2003-01-01,11.39
2004-01-01,12.3
2005-01-01,14.38
2006-01-01,15.66
2007-01-01,14.82
2008-01-01,15.87
2009-01-01,13.94
2010-01-01,11.71
2011-01-01,11.69
2012-01-01,12.22
2013-01-01,12.79
2014-01-01,15.13
2015-01-01,14.16
2016-01-01,10.63
2017-01-01,11.33
2018-01-01,13.01
2019-01-01,12.62
2020-01-01,11.36
2021-01-01,12.77
2022-01-01,16.57
2023-01-01,15.3
2024-01-01,14.55
2025-01-01,
