Date,Value
1990-01-01,86.0
1991-01-01,85.9
1992-01-01,85.5
1993-01-01,84.6
1994-01-01,83.3
1995-01-01,83.3
1996-01-01,82.2
1997-01-01,79.9
1998-01-01,78.3
1999-01-01,78.6
2000-01-01,80.0
2001-01-01,80.8
2002-01-01,80.0
2003-01-01,80.5
2004-01-01,77.4
2005-01-01,77.1
2006-01-01,76.4
2007-01-01,76.9
2008-01-01,77.5
2009-01-01,76.7
2010-01-01,76.5
2011-01-01,73.1
2012-01-01,69.2
2013-01-01,72.3
2014-01-01,70.5
2015-01-01,71.2
2016-01-01,72.1
2017-01-01,71.7
2018-01-01,74.1
2019-01-01,73.6
2020-01-01,71.7
2021-01-01,72.0
2022-01-01,72.4
2023-01-01,71.0
2024-01-01,70.3
2025-01-01,
