Date,Value
1967-01-01,0.91
1968-01-01,0.9
1969-01-01,0.94
1970-01-01,0.96
1971-01-01,0.98
1972-01-01,1.07
1973-01-01,1.14
1974-01-01,1.28
1975-01-01,1.74
1976-01-01,2.04
1977-01-01,3.05
1978-01-01,2.79
1979-01-01,3.09
1980-01-01,3.71
1981-01-01,4.72
1982-01-01,5.24
1983-01-01,6.01
1984-01-01,6.07
1985-01-01,5.84
1986-01-01,5.56
1987-01-01,5.21
1988-01-01,4.94
1989-01-01,5.14
1990-01-01,4.63
1991-01-01,4.53
1992-01-01,4.79
1993-01-01,5.51
1994-01-01,5.56
1995-01-01,5.24
1996-01-01,6.18
1997-01-01,7.0
1998-01-01,6.63
1999-01-01,6.22
2000-01-01,7.61
2001-01-01,10.14
2002-01-01,7.25
2003-01-01,9.79
2004-01-01,10.45
2005-01-01,12.93
2006-01-01,14.06
2007-01-01,12.77
2008-01-01,14.19
2009-01-01,11.63
2010-01-01,10.18
2011-01-01,9.64
2012-01-01,8.62
2013-01-01,8.81
2014-01-01,9.12
2015-01-01,8.27
2016-01-01,7.71
2017-01-01,8.92
2018-01-01,8.48
2019-01-01,8.76
2020-01-01,9.01
2021-01-01,9.87
2022-01-01,12.35
2023-01-01,11.17
2024-01-01,8.23
2025-01-01,12.71
