Date,Value
1990-01-01,78.4
1991-01-01,77.3
1992-01-01,75.8
1993-01-01,77.4
1994-01-01,74.4
1995-01-01,68.4
1996-01-01,70.4
1997-01-01,63.6
1998-01-01,56.8
1999-01-01,56.9
2000-01-01,60.5
2001-01-01,63.0
2002-01-01,100.0
2003-01-01,100.0
2004-01-01,100.0
2005-01-01,100.0
2006-01-01,100.0
2007-01-01,100.0
2008-01-01,100.0
2009-01-01,100.0
2010-01-01,100.0
2011-01-01,48.5
2012-01-01,42.1
2013-01-01,40.2
2014-01-01,41.4
2015-01-01,40.2
2016-01-01,37.4
2017-01-01,37.4
2018-01-01,37.1
2019-01-01,36.4
2020-01-01,34.1
2021-01-01,35.7
2022-01-01,37.3
2023-01-01,36.2
2024-01-01,35.9
2025-01-01,36.4
