Date,Value
1967-01-01,1.47
1968-01-01,1.45
1969-01-01,1.46
1970-01-01,1.47
1971-01-01,1.62
1972-01-01,1.82
1973-01-01,1.89
1974-01-01,2.13
1975-01-01,2.75
1976-01-01,3.39
1977-01-01,3.46
1978-01-01,3.28
1979-01-01,3.09
1980-01-01,5.11
1981-01-01,5.83
1982-01-01,6.86
1983-01-01,7.1
1984-01-01,6.53
1985-01-01,6.67
1986-01-01,6.39
1987-01-01,5.53
1988-01-01,5.8
1989-01-01,6.41
1990-01-01,6.2
1991-01-01,6.03
1992-01-01,6.32
1993-01-01,7.1
1994-01-01,7.57
1995-01-01,6.41
1996-01-01,7.5
1997-01-01,8.21
1998-01-01,8.12
1999-01-01,8.03
2000-01-01,8.55
2001-01-01,10.69
2002-01-01,10.06
2003-01-01,10.34
2004-01-01,11.77
2005-01-01,13.32
2006-01-01,15.94
2007-01-01,14.91
2008-01-01,15.53
2009-01-01,15.14
2010-01-01,14.46
2011-01-01,13.33
2012-01-01,12.31
2013-01-01,12.37
2014-01-01,12.89
2015-01-01,11.99
2016-01-01,11.16
2017-01-01,11.3
2018-01-01,12.98
2019-01-01,12.87
2020-01-01,12.31
2021-01-01,13.21
2022-01-01,15.29
2023-01-01,17.37
2024-01-01,17.69
2025-01-01,
