Date,Value
1967-01-01,34380
1968-01-01,38325
1969-01-01,41069
1970-01-01,42720
1971-01-01,44062
1972-01-01,45704
1973-01-01,45974
1974-01-01,44651
1975-01-01,42488
1976-01-01,38244
1977-01-01,35127
1978-01-01,30917
1979-01-01,42714
1980-01-01,44048
1981-01-01,42686
1982-01-01,38697
1983-01-01,42903
1984-01-01,46544
1985-01-01,43399
1986-01-01,42589
1987-01-01,44144
1988-01-01,45852
1989-01-01,47513
1990-01-01,43552
1991-01-01,45953
1992-01-01,46532
1993-01-01,50754
1994-01-01,50760
1995-01-01,51235
1996-01-01,58497
1997-01-01,55117
1998-01-01,52394
1999-01-01,52572
2000-01-01,53365
2001-01-01,53010
2002-01-01,53710
2003-01-01,56576
2004-01-01,54201
2005-01-01,54264
2006-01-01,51537
2007-01-01,51056
2008-01-01,54094
2009-01-01,51879
2010-01-01,56194
2011-01-01,52156
2012-01-01,44928
2013-01-01,53888
2014-01-01,57435
2015-01-01,53049
2016-01-01,49809
2017-01-01,49042
2018-01-01,58669
2019-01-01,56916
2020-01-01,52565
2021-01-01,58564
2022-01-01,60487
2023-01-01,53555
2024-01-01,57209
2025-01-01,64577
