Date,Value
1989-01-01,4.31
1989-02-01,4.31
1989-03-01,4.3
1989-04-01,4.31
1989-05-01,4.35
1989-06-01,4.31
1989-07-01,4.4
1989-08-01,4.45
1989-09-01,4.45
1989-10-01,4.36
1989-11-01,4.36
1989-12-01,4.33
1990-01-01,4.4
1990-02-01,4.4
1990-03-01,4.4
1990-04-01,4.39
1990-05-01,4.4
1990-06-01,4.75
1990-07-01,5.2
1990-08-01,5.03
1990-09-01,4.65
1990-10-01,4.52
1990-11-01,4.43
1990-12-01,4.4
1991-01-01,4.33
1991-02-01,4.24
1991-03-01,4.26
1991-04-01,4.26
1991-05-01,4.23
1991-06-01,4.26
1991-07-01,4.41
1991-08-01,4.4
1991-09-01,4.81
1991-10-01,4.45
1991-11-01,4.42
1991-12-01,4.25
1992-01-01,4.26
1992-02-01,4.22
1992-03-01,4.22
1992-04-01,4.25
1992-05-01,4.23
1992-06-01,4.31
1992-07-01,4.31
1992-08-01,4.38
1992-09-01,4.36
1992-10-01,4.36
1992-11-01,4.28
1992-12-01,4.21
1993-01-01,4.1
1993-02-01,4.14
1993-03-01,4.15
1993-04-01,4.13
1993-05-01,4.14
1993-06-01,4.41
1993-07-01,4.24
1993-08-01,4.2
1993-09-01,4.38
1993-10-01,4.12
1993-11-01,4.53
1993-12-01,4.45
1994-01-01,4.5
1994-02-01,4.44
1994-03-01,4.47
1994-04-01,4.38
1994-05-01,4.41
1994-06-01,4.46
1994-07-01,4.61
1994-08-01,4.72
1994-09-01,4.61
1994-10-01,4.49
1994-11-01,4.44
1994-12-01,4.34
1995-01-01,4.47
1995-02-01,4.24
1995-03-01,4.28
1995-04-01,4.27
1995-05-01,4.27
1995-06-01,4.22
1995-07-01,4.28
1995-08-01,4.34
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,4.05
1996-02-01,3.8
1996-03-01,4.08
1996-04-01,4.03
1996-05-01,3.98
1996-06-01,4.11
1996-07-01,4.13
1996-08-01,3.9
1996-09-01,4.06
1996-10-01,3.73
1996-11-01,2.6
1996-12-01,3.08
1997-01-01,3.41
1997-02-01,3.53
1997-03-01,3.46
1997-04-01,3.59
1997-05-01,2.65
1997-06-01,3.93
1997-07-01,4.11
1997-08-01,4.43
1997-09-01,4.55
1997-10-01,5.08
1997-11-01,4.62
1997-12-01,5.52
1998-01-01,4.74
1998-02-01,4.79
1998-03-01,4.71
1998-04-01,4.73
1998-05-01,4.87
1998-06-01,5.12
1998-07-01,5.19
1998-08-01,5.95
1998-09-01,4.89
1998-10-01,4.81
1998-11-01,4.65
1998-12-01,2.85
1999-01-01,4.36
1999-02-01,4.29
1999-03-01,4.29
1999-04-01,4.34
1999-05-01,4.34
1999-06-01,4.43
1999-07-01,4.63
1999-08-01,4.99
1999-09-01,4.43
1999-10-01,4.49
1999-11-01,4.34
1999-12-01,4.44
2000-01-01,4.5
2000-02-01,4.57
2000-03-01,3.81
2000-04-01,4.85
2000-05-01,4.76
2000-06-01,5.06
2000-07-01,5.34
2000-08-01,5.64
2000-09-01,5.25
2000-10-01,5.84
2000-11-01,6.17
2000-12-01,7.48
2001-01-01,6.93
2001-02-01,7.97
2001-03-01,9.96
2001-04-01,11.67
2001-05-01,11.04
2001-06-01,8.63
2001-07-01,9.51
2001-08-01,8.94
2001-09-01,8.81
2001-10-01,8.08
2001-11-01,6.65
2001-12-01,4.9
2002-01-01,4.97
2002-02-01,5.11
2002-03-01,4.88
2002-04-01,4.86
2002-05-01,4.83
2002-06-01,5.02
2002-07-01,4.87
2002-08-01,5.55
2002-09-01,4.88
2002-10-01,4.2
2002-11-01,4.04
2002-12-01,3.56
2003-01-01,4.69
2003-02-01,4.49
2003-03-01,4.98
2003-04-01,4.75
2003-05-01,5.67
2003-06-01,6.75
2003-07-01,8.04
2003-08-01,7.86
2003-09-01,7.68
2003-10-01,7.13
2003-11-01,6.77
2003-12-01,6.82
2004-01-01,6.51
2004-02-01,6.62
2004-03-01,6.76
2004-04-01,6.8
2004-05-01,7.22
2004-06-01,7.47
2004-07-01,8.46
2004-08-01,7.76
2004-09-01,7.08
2004-10-01,8.29
2004-11-01,7.86
2004-12-01,8.15
2005-01-01,7.85
2005-02-01,8.21
2005-03-01,8.23
2005-04-01,8.16
2005-05-01,8.59
2005-06-01,9.0
2005-07-01,9.51
2005-08-01,9.52
2005-09-01,9.42
2005-10-01,10.09
2005-11-01,11.74
2005-12-01,11.4
2006-01-01,11.46
2006-02-01,11.55
2006-03-01,11.55
2006-04-01,11.23
2006-05-01,10.37
2006-06-01,9.5
2006-07-01,9.44
2006-08-01,9.56
2006-09-01,9.34
2006-10-01,9.01
2006-11-01,8.65
2006-12-01,8.64
2007-01-01,8.16
2007-02-01,8.04
2007-03-01,8.39
2007-04-01,7.74
2007-05-01,7.38
2007-06-01,7.57
2007-07-01,8.23
2007-08-01,7.64
2007-09-01,7.88
2007-10-01,7.47
2007-11-01,7.78
2007-12-01,7.76
2008-01-01,7.57
2008-02-01,7.93
2008-03-01,8.48
2008-04-01,8.84
2008-05-01,9.02
2008-06-01,10.35
2008-07-01,10.75
2008-08-01,11.91
2008-09-01,10.65
2008-10-01,9.77
2008-11-01,10.16
2008-12-01,8.88
2009-01-01,9.61
2009-02-01,8.84
2009-03-01,8.71
2009-04-01,7.12
2009-05-01,6.84
2009-06-01,7.22
2009-07-01,7.36
2009-08-01,8.06
2009-09-01,8.43
2009-10-01,7.89
2009-11-01,7.03
2009-12-01,6.99
2010-01-01,6.96
2010-02-01,7.11
2010-03-01,6.89
2010-04-01,6.64
2010-05-01,6.6
2010-06-01,7.13
2010-07-01,7.77
2010-08-01,7.96
2010-09-01,8.27
2010-10-01,8.14
2010-11-01,7.85
2010-12-01,6.9
2011-01-01,6.94
2011-02-01,7.1
2011-03-01,6.99
2011-04-01,7.08
2011-05-01,7.35
2011-06-01,7.4
2011-07-01,8.51
2011-08-01,8.97
2011-09-01,8.57
2011-10-01,7.78
2011-11-01,7.53
2011-12-01,7.16
2012-01-01,8.08
2012-02-01,6.65
2012-03-01,6.49
2012-04-01,6.3
2012-05-01,5.97
2012-06-01,6.43
2012-07-01,7.27
2012-08-01,7.4
2012-09-01,7.16
2012-10-01,6.31
2012-11-01,6.19
2012-12-01,6.23
2013-01-01,6.34
2013-02-01,6.4
2013-03-01,6.32
2013-04-01,6.14
2013-05-01,6.54
2013-06-01,7.4
2013-07-01,8.45
2013-08-01,8.05
2013-09-01,8.6
2013-10-01,7.64
2013-11-01,7.34
2013-12-01,7.11
2014-01-01,6.96
2014-02-01,7.03
2014-03-01,7.46
2014-04-01,7.79
2014-05-01,7.66
2014-06-01,8.26
2014-07-01,9.09
2014-08-01,9.3
2014-09-01,9.19
2014-10-01,8.38
2014-11-01,8.08
2014-12-01,7.95
2015-01-01,7.59
2015-02-01,8.06
2015-03-01,7.87
2015-04-01,7.61
2015-05-01,7.69
2015-06-01,7.92
2015-07-01,7.77
2015-08-01,7.58
2015-09-01,7.84
2015-10-01,7.18
2015-11-01,6.67
2015-12-01,6.22
2016-01-01,6.28
2016-02-01,6.37
2016-03-01,6.48
2016-04-01,6.47
2016-05-01,6.47
2016-06-01,7.02
2016-07-01,6.91
2016-08-01,6.82
2016-09-01,7.13
2016-10-01,6.85
2016-11-01,6.76
2016-12-01,6.52
2017-01-01,6.56
2017-02-01,6.97
2017-03-01,6.96
2017-04-01,7.1
2017-05-01,7.13
2017-06-01,7.41
2017-07-01,7.65
2017-08-01,7.45
2017-09-01,7.41
2017-10-01,6.96
2017-11-01,6.74
2017-12-01,6.61
2018-01-01,6.67
2018-02-01,6.76
2018-03-01,6.68
2018-04-01,6.93
2018-05-01,6.91
2018-06-01,7.02
2018-07-01,6.97
2018-08-01,7.16
2018-09-01,7.3
2018-10-01,6.73
2018-11-01,6.07
2018-12-01,5.74
2019-01-01,6.04
2019-02-01,6.09
2019-03-01,5.85
2019-04-01,6.04
2019-05-01,6.27
2019-06-01,6.64
2019-07-01,7.51
2019-08-01,7.95
2019-09-01,7.94
2019-10-01,6.89
2019-11-01,6.22
2019-12-01,6.21
2020-01-01,6.1
2020-02-01,6.12
2020-03-01,6.41
2020-04-01,6.58
2020-05-01,6.8
2020-06-01,7.27
2020-07-01,7.76
2020-08-01,8.46
2020-09-01,7.81
2020-10-01,7.19
2020-11-01,6.43
2020-12-01,6.47
2021-01-01,6.7
2021-02-01,6.64
2021-03-01,6.65
2021-04-01,6.99
2021-05-01,7.19
2021-06-01,7.85
2021-07-01,9.43
2021-08-01,9.84
2021-09-01,9.59
2021-10-01,9.66
2021-11-01,9.02
2021-12-01,9.5
2022-01-01,9.56
2022-02-01,9.54
2022-03-01,9.61
2022-04-01,10.07
2022-05-01,10.44
2022-06-01,11.83
2022-07-01,14.36
2022-08-01,15.28
2022-09-01,14.96
2022-10-01,14.43
2022-11-01,13.28
2022-12-01,12.29
2023-01-01,11.76
2023-02-01,11.7
2023-03-01,11.45
2023-04-01,11.56
2023-05-01,11.73
2023-06-01,12.19
2023-07-01,11.72
2023-08-01,12.07
2023-09-01,11.91
2023-10-01,10.64
2023-11-01,9.63
2023-12-01,9.36
2024-01-01,9.44
2024-02-01,9.21
2024-03-01,9.34
2024-04-01,9.41
2024-05-01,9.37
2024-06-01,9.52
2024-07-01,10.13
2024-08-01,10.53
2024-09-01,10.11
2024-10-01,8.48
2024-11-01,7.36
2024-12-01,6.7
2025-01-01,6.96
2025-02-01,6.93
2025-03-01,7.65
2025-04-01,8.55
2025-05-01,8.92
2025-06-01,9.53
2025-07-01,10.5
2025-08-01,10.71
2025-09-01,10.94
2025-10-01,9.77
2025-11-01,8.86
2025-12-01,8.39
2026-01-01,8.12
2026-02-01,7.9
