Date,Value
2001-01-01,10671
2001-02-01,9476
2001-03-01,11092
2001-04-01,10224
2001-05-01,9956
2001-06-01,8795
2001-07-01,8802
2001-08-01,9233
2001-09-01,9591
2001-10-01,11777
2001-11-01,11168
2001-12-01,11527
2002-01-01,11021
2002-02-01,11320
2002-03-01,9844
2002-04-01,9842
2002-05-01,9685
2002-06-01,9045
2002-07-01,7746
2002-08-01,9082
2002-09-01,9352
2002-10-01,10289
2002-11-01,10474
2002-12-01,10733
2003-01-01,11631
2003-02-01,10424
2003-03-01,9570
2003-04-01,9720
2003-05-01,9116
2003-06-01,8672
2003-07-01,7102
2003-08-01,7278
2003-09-01,7919
2003-10-01,9730
2003-11-01,9533
2003-12-01,10471
2004-01-01,10719
2004-02-01,10376
2004-03-01,9849
2004-04-01,8987
2004-05-01,8944
2004-06-01,6903
2004-07-01,6708
2004-08-01,7128
2004-09-01,7153
2004-10-01,7699
2004-11-01,7533
2004-12-01,8589
2005-01-01,9018
2005-02-01,7827
2005-03-01,8255
2005-04-01,7435
2005-05-01,6998
2005-06-01,6705
2005-07-01,6367
2005-08-01,6880
2005-09-01,6349
2005-10-01,7385
2005-11-01,7474
2005-12-01,8130
2006-01-01,8140
2006-02-01,7753
2006-03-01,7797
2006-04-01,6923
2006-05-01,7073
2006-06-01,6819
2006-07-01,6503
2006-08-01,6794
2006-09-01,6764
2006-10-01,7543
2006-11-01,7504
2006-12-01,7920
2007-01-01,8738
2007-02-01,7762
2007-03-01,7311
2007-04-01,7022
2007-05-01,6854
2007-06-01,6537
2007-07-01,6644
2007-08-01,6319
2007-09-01,6348
2007-10-01,7200
2007-11-01,7312
2007-12-01,7726
2008-01-01,8685
2008-02-01,8084
2008-03-01,7595
2008-04-01,7228
2008-05-01,6911
2008-06-01,6468
2008-07-01,6331
2008-08-01,6366
2008-09-01,6711
2008-10-01,6869
2008-11-01,6597
2008-12-01,7294
2009-01-01,7644
2009-02-01,6754
2009-03-01,6810
2009-04-01,6275
2009-05-01,5895
2009-06-01,5754
2009-07-01,5675
2009-08-01,5770
2009-09-01,5866
2009-10-01,6758
2009-11-01,6791
2009-12-01,7594
2010-01-01,8417
2010-02-01,7998
2010-03-01,7789
2010-04-01,6944
2010-05-01,6364
2010-06-01,6042
2010-07-01,5968
2010-08-01,6046
2010-09-01,6167
2010-10-01,6579
2010-11-01,6967
2010-12-01,7780
2011-01-01,8668
2011-02-01,7883
2011-03-01,7740
2011-04-01,6902
2011-05-01,6693
2011-06-01,6104
2011-07-01,5516
2011-08-01,6367
2011-09-01,6559
2011-10-01,7442
2011-11-01,7448
2011-12-01,8116
2012-01-01,8048
2012-02-01,7226
2012-03-01,6896
2012-04-01,6614
2012-05-01,6350
2012-06-01,6165
2012-07-01,6049
2012-08-01,6414
2012-09-01,6611
2012-10-01,6973
2012-11-01,6934
2012-12-01,7318
2013-01-01,8170
2013-02-01,7484
2013-03-01,7879
2013-04-01,7186
2013-05-01,6430
2013-06-01,6350
2013-07-01,6562
2013-08-01,6517
2013-09-01,6654
2013-10-01,7399
2013-11-01,7798
2013-12-01,8649
2014-01-01,8742
2014-02-01,7682
2014-03-01,7842
2014-04-01,6995
2014-05-01,6770
2014-06-01,6521
2014-07-01,6720
2014-08-01,6743
2014-09-01,6721
2014-10-01,7495
2014-11-01,8537
2014-12-01,8029
2015-01-01,8486
2015-02-01,8062
2015-03-01,7921
2015-04-01,7029
2015-05-01,6771
2015-06-01,6380
2015-07-01,6434
2015-08-01,6455
2015-09-01,6342
2015-10-01,6903
2015-11-01,7201
2015-12-01,7301
2016-01-01,8580
2016-02-01,7673
2016-03-01,7563
2016-04-01,7097
2016-05-01,7024
2016-06-01,6588
2016-07-01,6584
2016-08-01,7042
2016-09-01,6647
2016-10-01,7040
