Date,Value
1997-01-01,27864
1998-01-01,28157
1999-01-01,27032
2000-01-01,21220
2001-01-01,21228
2002-01-01,17155
2003-01-01,15277
2004-01-01,20713
2005-01-01,16975
2006-01-01,18447
2007-01-01,19355
2008-01-01,20184
2009-01-01,17948
2010-01-01,19245
2011-01-01,21724
2012-01-01,22657
2013-01-01,22153
2014-01-01,22489
2015-01-01,20402
2016-01-01,19765
2017-01-01,19250
2018-01-01,19169
2019-01-01,18625
2020-01-01,19079
2021-01-01,19941
2022-01-01,19489
2023-01-01,20802
2024-01-01,23097
2025-01-01,24763
