Date,Value
2001-01-01,10.11
2001-02-01,11.82
2001-03-01,8.37
2001-04-01,8.23
2001-05-01,7.19
2001-06-01,6.24
2001-07-01,3.13
2001-08-01,4.62
2001-09-01,5.22
2001-10-01,4.61
2001-11-01,5.15
2001-12-01,5.92
2002-01-01,5.31
2002-02-01,4.97
2002-03-01,4.95
2002-04-01,4.15
2002-05-01,4.88
2002-06-01,4.74
2002-07-01,4.08
2002-08-01,4.1
2002-09-01,4.89
2002-10-01,4.87
2002-11-01,5.56
2002-12-01,6.09
2003-01-01,7.67
2003-02-01,8.43
2003-03-01,9.08
2003-04-01,8.54
2003-05-01,7.03
2003-06-01,7.61
2003-07-01,7.1
2003-08-01,6.5
2003-09-01,6.83
2003-10-01,6.61
2003-11-01,6.56
2003-12-01,7.52
2004-01-01,12.7
2004-02-01,9.38
2004-03-01,9.03
2004-04-01,8.09
2004-05-01,8.0
2004-06-01,8.28
2004-07-01,7.8
2004-08-01,7.86
2004-09-01,7.77
2004-10-01,7.85
2004-11-01,11.27
2004-12-01,11.09
2005-01-01,9.85
2005-02-01,10.02
2005-03-01,10.36
2005-04-01,10.81
2005-05-01,9.51
2005-06-01,8.73
2005-07-01,9.55
2005-08-01,10.51
2005-09-01,13.43
2005-10-01,17.16
2005-11-01,16.27
2005-12-01,14.82
2006-01-01,14.82
2006-02-01,12.6
2006-03-01,11.64
2006-04-01,11.65
2006-05-01,10.34
2006-06-01,9.17
2006-07-01,9.34
2006-08-01,9.59
2006-09-01,9.78
2006-10-01,7.96
2006-11-01,11.48
2006-12-01,12.03
2007-01-01,11.09
2007-02-01,11.3
2007-03-01,11.32
2007-04-01,10.91
2007-05-01,10.47
2007-06-01,10.65
2007-07-01,10.21
2007-08-01,9.2
2007-09-01,8.52
2007-10-01,9.74
2007-11-01,10.41
2007-12-01,11.84
2008-01-01,11.65
2008-02-01,10.39
2008-03-01,12.33
2008-04-01,12.64
2008-05-01,14.47
2008-06-01,15.99
2008-07-01,17.68
2008-08-01,14.05
2008-09-01,14.02
2008-10-01,10.48
2008-11-01,11.1
2008-12-01,11.38
2009-01-01,9.76
2009-02-01,9.35
2009-03-01,8.4
2009-04-01,8.03
2009-05-01,7.49
2009-06-01,7.79
2009-07-01,7.67
2009-08-01,7.63
2009-09-01,7.52
2009-10-01,8.14
2009-11-01,8.72
2009-12-01,8.71
2010-01-01,10.4
2010-02-01,10.64
2010-03-01,10.53
2010-04-01,9.56
2010-05-01,9.02
2010-06-01,8.88
2010-07-01,9.47
2010-08-01,9.07
2010-09-01,8.44
2010-10-01,8.75
2010-11-01,8.81
2010-12-01,9.98
2011-01-01,9.78
2011-02-01,10.03
2011-03-01,9.2
2011-04-01,9.22
2011-05-01,8.92
2011-06-01,8.39
2011-07-01,8.61
2011-08-01,8.51
2011-09-01,8.5
2011-10-01,9.13
2011-11-01,8.98
2011-12-01,9.75
2012-01-01,9.86
2012-02-01,9.43
2012-03-01,8.18
2012-04-01,8.46
2012-05-01,8.62
2012-06-01,7.55
2012-07-01,7.86
2012-08-01,7.3
