Date,Value
1997-01-01,14805
1998-01-01,16287
1999-01-01,21075
2000-01-01,25325
2001-01-01,20059
2002-01-01,17634
2003-01-01,15172
2004-01-01,16025
2005-01-01,15257
2006-01-01,16398
2007-01-01,16014
2008-01-01,18216
2009-01-01,17402
2010-01-01,7983
2011-01-01,19760
2012-01-01,28737
2013-01-01,32154
2014-01-01,31004
2015-01-01,33126
2016-01-01,31457
2017-01-01,29860
2018-01-01,30783
2019-01-01,33865
2020-01-01,34896
2021-01-01,32826
2022-01-01,31367
2023-01-01,32648
2024-01-01,29115
2025-01-01,30646
