Date,Value
1997-01-01,107148.0
1998-01-01,105388.0
1999-01-01,101341.0
2000-01-01,100065.0
2001-01-01,92589.0
2002-01-01,92223.0
2003-01-01,93856.0
2004-01-01,93890.0
2005-01-01,96007.0
2006-01-01,101032.0
2007-01-01,140892.0
2008-01-01,162478.0
2009-01-01,164512.0
2010-01-01,167423.0
2011-01-01,167233.0
2012-01-01,168907.0
2013-01-01,173545.0
2014-01-01,172142.0
2015-01-01,178772.0
2016-01-01,189618.0
2017-01-01,241187.0
2018-01-01,256030.0
2019-01-01,249885.0
2020-01-01,234909.0
2021-01-01,227782.0
2022-01-01,246120.0
2023-01-01,253709.0
2024-01-01,257147.0
2025-01-01,
