Date,Value
2001-01-01,3350
2001-02-01,3088
2001-03-01,2887
2001-04-01,3230
2001-05-01,2646
2001-06-01,2637
2001-07-01,5283
2001-08-01,3782
2001-09-01,3414
2001-10-01,2746
2001-11-01,3947
2001-12-01,3135
2002-01-01,3374
2002-02-01,3222
2002-03-01,2416
2002-04-01,2786
2002-05-01,2840
2002-06-01,1919
2002-07-01,5602
2002-08-01,4879
2002-09-01,4369
2002-10-01,2846
2002-11-01,2950
2002-12-01,3224
2003-01-01,3384
2003-02-01,3125
2003-03-01,2517
2003-04-01,2548
2003-05-01,2640
2003-06-01,1816
2003-07-01,4392
2003-08-01,4190
2003-09-01,4005
2003-10-01,3644
2003-11-01,2863
2003-12-01,2991
2004-01-01,3428
2004-02-01,3291
2004-03-01,2458
2004-04-01,2973
2004-05-01,2584
2004-06-01,3188
2004-07-01,4366
2004-08-01,4402
2004-09-01,2170
2004-10-01,2830
2004-11-01,3472
2004-12-01,3704
2005-01-01,3450
2005-02-01,3453
2005-03-01,2623
2005-04-01,2975
2005-05-01,2545
2005-06-01,2597
2005-07-01,4393
2005-08-01,4914
2005-09-01,3613
2005-10-01,3175
2005-11-01,3696
2005-12-01,3514
2006-01-01,4851
2006-02-01,4406
2006-03-01,3758
2006-04-01,4299
2006-05-01,3657
2006-06-01,4541
2006-07-01,5326
2006-08-01,5689
2006-09-01,4415
2006-10-01,3465
2006-11-01,4750
2006-12-01,4252
2007-01-01,5509
2007-02-01,5500
2007-03-01,4866
2007-04-01,4325
2007-05-01,5068
2007-06-01,4818
2007-07-01,5904
2007-08-01,6830
2007-09-01,5963
2007-10-01,4809
2007-11-01,6067
2007-12-01,5998
2008-01-01,6503
2008-02-01,6659
2008-03-01,6021
2008-04-01,5359
2008-05-01,4947
2008-06-01,6164
2008-07-01,6233
2008-08-01,7278
2008-09-01,5661
2008-10-01,7457
2008-11-01,7426
2008-12-01,6550
2009-01-01,7272
2009-02-01,6763
2009-03-01,6677
2009-04-01,6264
2009-05-01,5823
2009-06-01,5862
2009-07-01,7049
2009-08-01,7661
2009-09-01,5972
2009-10-01,6717
2009-11-01,6987
2009-12-01,7826
2010-01-01,7791
2010-02-01,7484
2010-03-01,7166
2010-04-01,7000
2010-05-01,6678
2010-06-01,6220
2010-07-01,6704
2010-08-01,7347
2010-09-01,6378
2010-10-01,7128
2010-11-01,6995
2010-12-01,8288
2011-01-01,7380
2011-02-01,6589
2011-03-01,7081
2011-04-01,6402
2011-05-01,6517
2011-06-01,6669
2011-07-01,6939
2011-08-01,7934
2011-09-01,7325
2011-10-01,7820
2011-11-01,7826
2011-12-01,7646
2012-01-01,7985
2012-02-01,7147
2012-03-01,6595
2012-04-01,6571
2012-05-01,6759
2012-06-01,6843
2012-07-01,8145
2012-08-01,7511
2012-09-01,6739
2012-10-01,7444
2012-11-01,6641
2012-12-01,7058
2013-01-01,6922
2013-02-01,5929
2013-03-01,6934
2013-04-01,6466
2013-05-01,6682
2013-06-01,6262
2013-07-01,8230
2013-08-01,8250
2013-09-01,7411
2013-10-01,8094
2013-11-01,8513
2013-12-01,8446
2014-01-01,7888
2014-02-01,7185
2014-03-01,7210
2014-04-01,6431
2014-05-01,6736
2014-06-01,6523
2014-07-01,7145
2014-08-01,6786
2014-09-01,7105
2014-10-01,7581
2014-11-01,8652
2014-12-01,7637
2015-01-01,7930
2015-02-01,7715
2015-03-01,6395
2015-04-01,6626
2015-05-01,6797
2015-06-01,6459
2015-07-01,7738
2015-08-01,7106
2015-09-01,6508
2015-10-01,7320
2015-11-01,7848
2015-12-01,7161
2016-01-01,7251
2016-02-01,6541
2016-03-01,6730
2016-04-01,6588
2016-05-01,6787
2016-06-01,7125
2016-07-01,8443
2016-08-01,9161
2016-09-01,7636
2016-10-01,8066
2016-11-01,8304
2016-12-01,8388
2017-01-01,8517
2017-02-01,7666
2017-03-01,7412
2017-04-01,7074
2017-05-01,6929
2017-06-01,6271
2017-07-01,7654
2017-08-01,7278
2017-09-01,6726
2017-10-01,7873
2017-11-01,7796
2017-12-01,8326
2018-01-01,7834
2018-02-01,7544
2018-03-01,7519
2018-04-01,7705
2018-05-01,6795
2018-06-01,6776
2018-07-01,7631
2018-08-01,6779
2018-09-01,7063
2018-10-01,8000
2018-11-01,8184
2018-12-01,7686
2019-01-01,7817
2019-02-01,7306
2019-03-01,6610
2019-04-01,6280
2019-05-01,7164
2019-06-01,6598
2019-07-01,7235
2019-08-01,7521
2019-09-01,6798
2019-10-01,8144
2019-11-01,10252
2019-12-01,7972
2020-01-01,8286
2020-02-01,8170
2020-03-01,7675
2020-04-01,6563
2020-05-01,5870
2020-06-01,6692
2020-07-01,8438
2020-08-01,8353
2020-09-01,7956
2020-10-01,9447
2020-11-01,8463
2020-12-01,8967
2021-01-01,9068
2021-02-01,8229
2021-03-01,7717
2021-04-01,6731
2021-05-01,6577
2021-06-01,7743
2021-07-01,8745
2021-08-01,8606
2021-09-01,7579
2021-10-01,8727
2021-11-01,8249
2021-12-01,8393
2022-01-01,9210
2022-02-01,7987
2022-03-01,7258
2022-04-01,6928
2022-05-01,7438
2022-06-01,7192
2022-07-01,8543
2022-08-01,9312
2022-09-01,9007
2022-10-01,8219
2022-11-01,8735
2022-12-01,8326
2023-01-01,8531
2023-02-01,7530
2023-03-01,8361
2023-04-01,7259
2023-05-01,7491
2023-06-01,8181
2023-07-01,9714
2023-08-01,10337
2023-09-01,8955
2023-10-01,9509
2023-11-01,9057
2023-12-01,9378
2024-01-01,9650
2024-02-01,7877
2024-03-01,8521
2024-04-01,7530
2024-05-01,7898
2024-06-01,8280
2024-07-01,9287
2024-08-01,10547
2024-09-01,9420
2024-10-01,9208
2024-11-01,9890
2024-12-01,9853
2025-01-01,9579
2025-02-01,8436
2025-03-01,7949
2025-04-01,7545
2025-05-01,8309
2025-06-01,8122
2025-07-01,8708
2025-08-01,10535
2025-09-01,8822
2025-10-01,9542
2025-11-01,9768
2025-12-01,9892
2026-01-01,10208
2026-02-01,7684
