Date,Value
1997-01-01,192955.0
1998-01-01,198872.0
1999-01-01,197205.0
2000-01-01,88368.0
2001-01-01,86097.0
2002-01-01,80483.0
2003-01-01,77451.0
2004-01-01,77024.0
2005-01-01,74857.0
2006-01-01,65632.0
2007-01-01,63075.0
2008-01-01,53981.0
2009-01-01,48465.0
2010-01-01,49269.0
2011-01-01,49865.0
2012-01-01,54785.0
2013-01-01,61468.0
2014-01-01,61494.0
2015-01-01,55368.0
2016-01-01,60910.0
2017-01-01,54298.0
2018-01-01,64167.0
2019-01-01,65061.0
2020-01-01,58710.0
2021-01-01,60186.0
2022-01-01,76610.0
2023-01-01,79509.0
2024-01-01,61317.0
2025-01-01,
