Date,Value
2001-01-01,7509.0
2001-02-01,7665.0
2001-03-01,7736.0
2001-04-01,7686.0
2001-05-01,6581.0
2001-06-01,7031.0
2001-07-01,6881.0
2001-08-01,6928.0
2001-09-01,6221.0
2001-10-01,7283.0
2001-11-01,7205.0
2001-12-01,7371.0
2002-01-01,8346.0
2002-02-01,7648.0
2002-03-01,7106.0
2002-04-01,6467.0
2002-05-01,6301.0
2002-06-01,6029.0
2002-07-01,5538.0
2002-08-01,6845.0
2002-09-01,5773.0
2002-10-01,6139.0
2002-11-01,6794.0
2002-12-01,7496.0
2003-01-01,7645.0
2003-02-01,7276.0
2003-03-01,7078.0
2003-04-01,6438.0
2003-05-01,6258.0
2003-06-01,5611.0
2003-07-01,6007.0
2003-08-01,5690.0
2003-09-01,5565.0
2003-10-01,6033.0
2003-11-01,6742.0
2003-12-01,7108.0
2004-01-01,7355.0
2004-02-01,7436.0
2004-03-01,7395.0
2004-04-01,6914.0
2004-05-01,5860.0
2004-06-01,5823.0
2004-07-01,5549.0
2004-08-01,5364.0
2004-09-01,5593.0
2004-10-01,6090.0
2004-11-01,6613.0
2004-12-01,7031.0
2005-01-01,7592.0
2005-02-01,7304.0
2005-03-01,7920.0
2005-04-01,6823.0
2005-05-01,5879.0
2005-06-01,5654.0
2005-07-01,5437.0
2005-08-01,5475.0
2005-09-01,5332.0
2005-10-01,5373.0
2005-11-01,5738.0
2005-12-01,6330.0
2006-01-01,6502.0
2006-02-01,6043.0
2006-03-01,6382.0
2006-04-01,5651.0
2006-05-01,5115.0
2006-06-01,5040.0
2006-07-01,5078.0
2006-08-01,4906.0
2006-09-01,4606.0
2006-10-01,5107.0
2006-11-01,5607.0
2006-12-01,5595.0
2007-01-01,6346.0
2007-02-01,5934.0
2007-03-01,6116.0
2007-04-01,5392.0
2007-05-01,4765.0
2007-06-01,4689.0
2007-07-01,4495.0
2007-08-01,4667.0
2007-09-01,4404.0
2007-10-01,4529.0
2007-11-01,5651.0
2007-12-01,6088.0
2008-01-01,5778.0
2008-02-01,5831.0
2008-03-01,5384.0
2008-04-01,4424.0
2008-05-01,4191.0
2008-06-01,3928.0
2008-07-01,3493.0
2008-08-01,3619.0
2008-09-01,3548.0
2008-10-01,4402.0
2008-11-01,4545.0
