Date,Value
2001-01-01,9.06
2001-02-01,8.02
2001-03-01,7.44
2001-04-01,7.27
2001-05-01,7.13
2001-06-01,6.24
2001-07-01,5.24
2001-08-01,5.91
2001-09-01,5.76
2001-10-01,4.85
2001-11-01,5.65
2001-12-01,6.48
2002-01-01,4.76
2002-02-01,4.46
2002-03-01,4.16
2002-04-01,4.65
2002-05-01,4.75
2002-06-01,4.09
2002-07-01,4.55
2002-08-01,4.44
2002-09-01,4.31
2002-10-01,5.33
2002-11-01,5.39
2002-12-01,6.62
2003-01-01,7.22
2003-02-01,7.3
2003-03-01,7.18
2003-04-01,8.7
2003-05-01,7.88
2003-06-01,8.59
2003-07-01,7.8
2003-08-01,8.62
2003-09-01,8.64
2003-10-01,9.1
2003-11-01,8.92
2003-12-01,9.18
2004-01-01,9.08
2004-02-01,9.01
2004-03-01,9.15
2004-04-01,9.19
2004-05-01,9.31
2004-06-01,9.92
2004-07-01,10.11
2004-08-01,10.32
2004-09-01,9.93
2004-10-01,9.97
2004-11-01,10.23
2004-12-01,10.38
2005-01-01,10.29
2005-02-01,10.34
2005-03-01,10.29
2005-04-01,10.43
2005-05-01,10.86
2005-06-01,11.24
2005-07-01,11.49
2005-08-01,12.26
2005-09-01,11.38
2005-10-01,11.18
2005-11-01,12.25
2005-12-01,13.32
2006-01-01,13.48
2006-02-01,13.31
2006-03-01,13.34
2006-04-01,13.64
2006-05-01,13.61
2006-06-01,13.21
2006-07-01,13.76
2006-08-01,13.31
2006-09-01,13.51
2006-10-01,13.52
2006-11-01,12.95
2006-12-01,12.38
2007-01-01,12.42
2007-02-01,12.43
2007-03-01,12.33
2007-04-01,12.45
2007-05-01,12.53
2007-06-01,12.64
2007-07-01,12.96
2007-08-01,12.95
2007-09-01,12.72
2007-10-01,12.81
2007-11-01,12.7
2007-12-01,12.65
2008-01-01,12.62
2008-02-01,12.5
2008-03-01,12.49
2008-04-01,12.75
2008-05-01,12.99
2008-06-01,13.09
2008-07-01,13.23
2008-08-01,14.14
2008-09-01,14.05
2008-10-01,14.14
2008-11-01,14.45
2008-12-01,13.37
2009-01-01,12.38
2009-02-01,12.68
2009-03-01,12.47
2009-04-01,11.64
2009-05-01,11.44
2009-06-01,12.39
2009-07-01,13.4
2009-08-01,12.89
2009-09-01,13.09
2009-10-01,13.94
2009-11-01,13.3
2009-12-01,12.96
2010-01-01,11.34
2010-02-01,12.34
2010-03-01,11.82
2010-04-01,11.53
2010-05-01,12.24
2010-06-01,11.95
2010-07-01,12.51
2010-08-01,13.27
2010-09-01,13.0
2010-10-01,12.88
2010-11-01,12.15
