Date,Value
1997-01-01,11835
1998-01-01,27660
1999-01-01,25326
2000-01-01,42215
2001-01-01,68868
2002-01-01,112403
2003-01-01,86129
2004-01-01,117056
2005-01-01,104786
2006-01-01,145528
2007-01-01,175736
2008-01-01,164266
2009-01-01,227015
2010-01-01,281722
2011-01-01,342841
2012-01-01,401306
2013-01-01,333897
2014-01-01,346065
2015-01-01,397498
2016-01-01,412913
2017-01-01,380038
2018-01-01,430906
2019-01-01,418932
2020-01-01,396165
2021-01-01,390239
2022-01-01,453995
2023-01-01,447377
2024-01-01,459107
2025-01-01,462067
