Date,Value
1997-01-01,117259
1998-01-01,101682
1999-01-01,93126
2000-01-01,88089
2001-01-01,96294
2002-01-01,128852
2003-01-01,169252
2004-01-01,157400
2005-01-01,152429
2006-01-01,168970
2007-01-01,183231
2008-01-01,154984
2009-01-01,150161
2010-01-01,185842
2011-01-01,185903
2012-01-01,179598
2013-01-01,154217
2014-01-01,134858
2015-01-01,156795
2016-01-01,156433
2017-01-01,162967
2018-01-01,133711
2019-01-01,112746
2020-01-01,104718
2021-01-01,111512
2022-01-01,115431
2023-01-01,108006
2024-01-01,118112
2025-01-01,131818
