Date,Value
2001-01-01,16162
2001-02-01,16176
2001-03-01,17930
2001-04-01,17686
2001-05-01,27910
2001-06-01,36706
2001-07-01,41800
2001-08-01,52220
2001-09-01,39717
2001-10-01,35309
2001-11-01,26679
2001-12-01,29115
2002-01-01,26059
2002-02-01,23831
2002-03-01,24629
2002-04-01,24408
2002-05-01,23869
2002-06-01,33762
2002-07-01,47533
2002-08-01,48900
2002-09-01,37923
2002-10-01,30298
2002-11-01,23132
2002-12-01,21361
2003-01-01,18688
2003-02-01,16711
2003-03-01,19294
2003-04-01,18315
2003-05-01,17100
2003-06-01,21724
2003-07-01,33099
2003-08-01,37688
2003-09-01,28053
2003-10-01,19738
2003-11-01,15746
2003-12-01,14577
2004-01-01,14733
2004-02-01,15958
2004-03-01,16095
2004-04-01,15431
2004-05-01,24268
2004-06-01,25128
2004-07-01,26901
2004-08-01,29436
2004-09-01,31803
2004-10-01,20491
2004-11-01,20010
2004-12-01,18395
2005-01-01,18089
2005-02-01,16484
2005-03-01,21312
2005-04-01,19399
2005-05-01,22143
2005-06-01,35084
2005-07-01,45765
2005-08-01,44111
2005-09-01,30741
2005-10-01,18807
2005-11-01,15476
2005-12-01,16648
2006-01-01,17720
2006-02-01,18504
2006-03-01,28892
2006-04-01,25894
2006-05-01,31902
2006-06-01,40392
2006-07-01,57219
2006-08-01,51234
2006-09-01,35235
2006-10-01,33766
2006-11-01,23831
2006-12-01,23450
2007-01-01,24166
2007-02-01,21800
2007-03-01,31645
2007-04-01,27406
2007-05-01,32276
2007-06-01,40258
2007-07-01,46857
2007-08-01,53252
2007-09-01,39549
2007-10-01,34763
2007-11-01,26803
2007-12-01,29485
2008-01-01,27409
2008-02-01,25293
2008-03-01,29131
2008-04-01,27391
2008-05-01,28709
2008-06-01,44133
2008-07-01,51834
2008-08-01,40875
2008-09-01,36839
2008-10-01,33147
2008-11-01,28179
2008-12-01,26446
2009-01-01,25678
2009-02-01,25850
2009-03-01,30183
2009-04-01,29187
2009-05-01,28571
2009-06-01,30721
2009-07-01,38456
2009-08-01,47597
2009-09-01,30599
2009-10-01,26759
2009-11-01,27336
2009-12-01,27415
2010-01-01,27311
2010-02-01,25493
2010-03-01,26200
2010-04-01,28073
2010-05-01,31856
2010-06-01,41211
2010-07-01,57123
2010-08-01,51302
2010-09-01,43251
2010-10-01,31458
2010-11-01,32672
2010-12-01,29538
2011-01-01,29397
2011-02-01,27122
2011-03-01,32716
2011-04-01,29690
2011-05-01,32463
2011-06-01,39657
2011-07-01,57410
2011-08-01,48539
2011-09-01,37955
2011-10-01,35001
2011-11-01,30698
2011-12-01,33370
2012-01-01,33216
2012-02-01,31880
2012-03-01,31742
2012-04-01,34351
2012-05-01,41947
2012-06-01,48943
2012-07-01,65796
2012-08-01,57285
2012-09-01,41513
2012-10-01,38655
2012-11-01,39241
2012-12-01,34505
2013-01-01,34417
2013-02-01,35839
2013-03-01,35118
2013-04-01,30861
2013-05-01,36121
2013-06-01,42340
2013-07-01,63375
2013-08-01,44786
2013-09-01,34729
2013-10-01,29088
2013-11-01,31999
2013-12-01,37174
2014-01-01,33604
2014-02-01,34274
2014-03-01,36044
2014-04-01,29045
2014-05-01,31762
2014-06-01,43321
2014-07-01,51020
2014-08-01,46926
2014-09-01,42923
2014-10-01,35619
2014-11-01,32781
2014-12-01,35477
2015-01-01,35055
2015-02-01,29201
2015-03-01,39614
2015-04-01,28508
2015-05-01,39074
2015-06-01,39800
2015-07-01,54257
2015-08-01,54490
2015-09-01,49295
2015-10-01,39583
2015-11-01,32318
2015-12-01,30391
2016-01-01,33634
2016-02-01,29327
2016-03-01,31526
2016-04-01,33122
2016-05-01,39014
2016-06-01,43633
2016-07-01,59387
2016-08-01,64632
2016-09-01,44875
2016-10-01,32031
2016-11-01,27930
2016-12-01,33317
2017-01-01,30182
2017-02-01,25846
2017-03-01,30828
2017-04-01,24266
2017-05-01,26888
2017-06-01,37181
2017-07-01,46794
2017-08-01,43154
2017-09-01,36218
2017-10-01,28819
2017-11-01,25286
2017-12-01,30028
2018-01-01,27781
2018-02-01,23914
2018-03-01,26336
2018-04-01,26174
2018-05-01,30309
2018-06-01,35538
2018-07-01,53471
2018-08-01,56497
2018-09-01,41507
2018-10-01,34837
2018-11-01,29531
2018-12-01,29602
2019-01-01,30637
2019-02-01,27605
2019-03-01,26744
2019-04-01,23264
2019-05-01,22551
2019-06-01,30967
2019-07-01,54647
2019-08-01,45729
2019-09-01,31647
2019-10-01,25922
2019-11-01,28034
2019-12-01,30821
2020-01-01,31081
2020-02-01,28623
2020-03-01,27838
2020-04-01,21071
2020-05-01,23837
2020-06-01,39889
2020-07-01,61731
2020-08-01,53369
2020-09-01,39594
2020-10-01,30882
2020-11-01,31693
2020-12-01,33770
2021-01-01,35627
2021-02-01,31155
2021-03-01,29200
2021-04-01,23769
2021-05-01,31393
2021-06-01,46714
2021-07-01,51676
2021-08-01,57023
2021-09-01,36757
2021-10-01,35604
2021-11-01,33723
2021-12-01,34704
2022-01-01,36752
2022-02-01,34346
2022-03-01,31901
2022-04-01,32139
2022-05-01,39239
2022-06-01,41306
2022-07-01,60783
2022-08-01,59049
2022-09-01,36664
2022-10-01,33946
2022-11-01,34508
2022-12-01,34855
2023-01-01,35544
2023-02-01,31556
2023-03-01,30920
2023-04-01,28310
2023-05-01,31340
2023-06-01,42130
2023-07-01,65398
2023-08-01,49691
2023-09-01,45353
2023-10-01,35194
2023-11-01,39428
2023-12-01,37189
2024-01-01,40769
2024-02-01,36471
2024-03-01,34249
2024-04-01,30947
2024-05-01,36489
2024-06-01,48733
2024-07-01,64529
2024-08-01,55412
2024-09-01,42850
2024-10-01,36719
2024-11-01,37221
2024-12-01,45257
2025-01-01,42273
2025-02-01,37875
2025-03-01,32698
2025-04-01,31044
2025-05-01,32877
2025-06-01,47524
2025-07-01,68454
2025-08-01,53309
2025-09-01,40550
2025-10-01,36407
2025-11-01,38697
2025-12-01,45792
2026-01-01,42521
2026-02-01,41477
