Date,Value
1997-01-01,24171
1998-01-01,52846
1999-01-01,49661
2000-01-01,69451
2001-01-01,82542
2002-01-01,55854
2003-01-01,74400
2004-01-01,88734
2005-01-01,87998
2006-01-01,75186
2007-01-01,101503
2008-01-01,116637
2009-01-01,108705
2010-01-01,108827
2011-01-01,60252
2012-01-01,81444
2013-01-01,101930
2014-01-01,90098
2015-01-01,113519
2016-01-01,107003
2017-01-01,104362
2018-01-01,123365
2019-01-01,143791
2020-01-01,130669
2021-01-01,147815
2022-01-01,132257
2023-01-01,163398
2024-01-01,174445
2025-01-01,158296
