Date,Value
2001-01-01,5971
2001-02-01,7343
2001-03-01,5742
2001-04-01,5695
2001-05-01,5456
2001-06-01,6550
2001-07-01,6621
2001-08-01,8791
2001-09-01,7952
2001-10-01,8062
2001-11-01,6832
2001-12-01,7527
2002-01-01,7332
2002-02-01,5748
2002-03-01,6225
2002-04-01,2355
2002-05-01,2073
2002-06-01,3093
2002-07-01,2066
2002-08-01,4899
2002-09-01,5614
2002-10-01,5579
2002-11-01,5330
2002-12-01,5541
2003-01-01,7862
2003-02-01,5409
2003-03-01,4352
2003-04-01,1994
2003-05-01,1537
2003-06-01,3203
2003-07-01,9285
2003-08-01,9064
2003-09-01,9436
2003-10-01,8083
2003-11-01,7783
2003-12-01,6392
2004-01-01,8070
2004-02-01,7672
2004-03-01,5888
2004-04-01,5633
2004-05-01,4756
2004-06-01,4199
2004-07-01,8724
2004-08-01,9401
2004-09-01,8320
2004-10-01,8314
2004-11-01,9292
2004-12-01,8464
2005-01-01,8480
2005-02-01,8335
2005-03-01,8641
2005-04-01,7944
2005-05-01,1561
2005-06-01,2690
2005-07-01,6970
2005-08-01,9097
2005-09-01,8251
2005-10-01,8661
2005-11-01,8210
2005-12-01,9159
2006-01-01,3510
2006-02-01,5417
2006-03-01,6304
2006-04-01,588
2006-05-01,711
2006-06-01,2700
2006-07-01,9740
2006-08-01,9646
2006-09-01,9542
2006-10-01,10105
2006-11-01,7221
2006-12-01,9701
2007-01-01,8621
2007-02-01,8162
2007-03-01,3229
2007-04-01,4181
2007-05-01,3044
2007-06-01,7634
2007-07-01,9811
2007-08-01,11709
2007-09-01,11136
2007-10-01,10764
2007-11-01,10857
2007-12-01,12357
2008-01-01,12547
2008-02-01,11694
2008-03-01,11408
2008-04-01,10898
2008-05-01,5223
2008-06-01,1311
2008-07-01,7423
2008-08-01,11630
2008-09-01,11046
2008-10-01,11390
2008-11-01,10298
2008-12-01,11769
2009-01-01,9263
2009-02-01,10599
2009-03-01,10584
2009-04-01,4698
2009-05-01,1536
2009-06-01,2235
2009-07-01,11065
2009-08-01,13027
2009-09-01,13473
2009-10-01,11712
2009-11-01,11012
2009-12-01,9503
2010-01-01,11061
2010-02-01,10336
2010-03-01,11107
2010-04-01,9553
2010-05-01,3601
2010-06-01,621
2010-07-01,8245
2010-08-01,12010
2010-09-01,11428
2010-10-01,10111
2010-11-01,10535
2010-12-01,10219
2011-01-01,6264
2011-02-01,3628
2011-03-01,2711
2011-04-01,2712
2011-05-01,1368
2011-06-01,936
2011-07-01,2148
2011-08-01,5120
2011-09-01,8021
2011-10-01,6517
2011-11-01,9240
2011-12-01,11590
2012-01-01,11175
2012-02-01,10620
2012-03-01,7402
2012-04-01,3321
2012-05-01,1492
2012-06-01,1156
2012-07-01,3981
2012-08-01,7219
2012-09-01,10546
2012-10-01,10565
2012-11-01,8185
2012-12-01,5782
2013-01-01,10257
2013-02-01,9182
2013-03-01,10233
2013-04-01,4955
2013-05-01,2888
2013-06-01,3658
2013-07-01,8602
2013-08-01,11092
2013-09-01,9035
2013-10-01,9176
2013-11-01,10279
2013-12-01,12574
2014-01-01,11675
2014-02-01,10414
2014-03-01,2874
2014-04-01,2313
2014-05-01,2766
2014-06-01,2521
2014-07-01,8115
2014-08-01,10633
2014-09-01,11064
2014-10-01,9801
2014-11-01,9306
2014-12-01,8616
2015-01-01,8153
2015-02-01,4342
2015-03-01,6250
2015-04-01,7467
2015-05-01,7174
2015-06-01,10384
2015-07-01,12432
2015-08-01,11706
2015-09-01,11743
2015-10-01,10949
2015-11-01,11133
2015-12-01,11787
2016-01-01,10372
2016-02-01,9347
2016-03-01,7267
2016-04-01,3049
2016-05-01,3311
2016-06-01,7931
2016-07-01,10409
2016-08-01,14200
2016-09-01,13161
2016-10-01,7778
2016-11-01,7806
2016-12-01,12372
2017-01-01,13640
2017-02-01,7117
2017-03-01,2970
2017-04-01,1666
2017-05-01,1436
2017-06-01,2162
2017-07-01,11462
2017-08-01,14579
2017-09-01,11970
2017-10-01,12075
2017-11-01,10802
2017-12-01,14483
2018-01-01,10389
2018-02-01,7733
2018-03-01,11243
2018-04-01,6282
2018-05-01,2024
2018-06-01,4921
2018-07-01,14300
2018-08-01,15492
2018-09-01,14148
2018-10-01,11349
2018-11-01,12460
2018-12-01,13025
2019-01-01,13906
2019-02-01,12480
2019-03-01,13344
2019-04-01,8150
2019-05-01,2337
2019-06-01,8277
2019-07-01,14326
2019-08-01,16107
2019-09-01,14937
2019-10-01,12708
2019-11-01,12046
2019-12-01,15175
2020-01-01,13995
2020-02-01,11135
2020-03-01,15375
2020-04-01,12426
