Date,Value
2002-01-01,3.38
2002-02-01,3.14
2002-03-01,3.47
2002-04-01,3.88
2002-05-01,4.33
2002-06-01,3.84
2002-07-01,3.68
2002-08-01,3.71
2002-09-01,4.06
2002-10-01,4.75
2002-11-01,5.01
2002-12-01,5.92
2003-01-01,6.97
2003-02-01,8.53
2003-03-01,8.26
2003-04-01,6.96
2003-05-01,
2003-06-01,6.63
2003-07-01,5.93
2003-08-01,6.05
2003-09-01,5.17
2003-10-01,6.25
2003-11-01,6.38
2003-12-01,8.56
2004-01-01,9.86
2004-02-01,7.01
2004-03-01,7.02
2004-04-01,7.32
2004-05-01,7.63
2004-06-01,7.69
2004-07-01,7.19
2004-08-01,6.6
2004-09-01,6.25
2004-10-01,
2004-11-01,7.82
2004-12-01,9.46
2005-01-01,8.79
2005-02-01,7.77
2005-03-01,8.27
2005-04-01,8.45
2005-05-01,7.63
2005-06-01,8.26
2005-07-01,8.62
2005-08-01,10.36
2005-09-01,13.74
2005-10-01,15.56
2005-11-01,10.96
2005-12-01,15.65
2006-01-01,11.34
2006-02-01,9.74
2006-03-01,8.35
2006-04-01,8.06
2006-05-01,7.31
2006-06-01,7.55
2006-07-01,7.26
2006-08-01,8.55
2006-09-01,5.45
2006-10-01,5.93
2006-11-01,7.99
2006-12-01,8.34
2007-01-01,8.29
2007-02-01,10.63
2007-03-01,9.0
2007-04-01,9.18
2007-05-01,9.16
2007-06-01,8.4
2007-07-01,7.06
2007-08-01,7.19
2007-09-01,6.67
2007-10-01,7.51
2007-11-01,8.42
2007-12-01,9.38
2008-01-01,12.61
2008-02-01,10.98
2008-03-01,10.75
2008-04-01,12.2
2008-05-01,12.97
2008-06-01,14.08
2008-07-01,12.43
2008-08-01,9.32
2008-09-01,8.48
2008-10-01,7.58
2008-11-01,7.79
2008-12-01,7.86
2009-01-01,8.08
2009-02-01,5.97
2009-03-01,5.05
2009-04-01,4.33
2009-05-01,4.33
2009-06-01,4.44
2009-07-01,4.05
2009-08-01,3.76
2009-09-01,3.35
2009-10-01,4.32
2009-11-01,4.11
2009-12-01,6.46
2010-01-01,8.16
2010-02-01,6.78
2010-03-01,4.96
2010-04-01,4.62
2010-05-01,4.76
2010-06-01,5.3
2010-07-01,5.34
2010-08-01,4.99
2010-09-01,4.4
2010-10-01,4.08
2010-11-01,4.33
2010-12-01,7.44
2011-01-01,7.13
2011-02-01,5.4
2011-03-01,4.77
2011-04-01,4.88
2011-05-01,4.96
2011-06-01,5.18
2011-07-01,5.1
2011-08-01,4.77
2011-09-01,4.44
2011-10-01,4.19
2011-11-01,4.09
2011-12-01,4.01
2012-01-01,3.36
2012-02-01,3.01
2012-03-01,2.5
2012-04-01,2.26
2012-05-01,2.69
2012-06-01,2.76
2012-07-01,3.27
2012-08-01,3.16
2012-09-01,3.12
2012-10-01,3.56
2012-11-01,3.98
2012-12-01,4.03
2013-01-01,4.54
2013-02-01,4.02
2013-03-01,4.26
2013-04-01,4.98
2013-05-01,4.43
2013-06-01,4.15
2013-07-01,3.93
2013-08-01,3.64
2013-09-01,3.83
2013-10-01,3.86
2013-11-01,3.92
2013-12-01,4.75
2014-01-01,21.06
2014-02-01,8.72
2014-03-01,6.16
2014-04-01,4.49
2014-05-01,3.87
2014-06-01,3.39
2014-07-01,2.94
2014-08-01,2.55
2014-09-01,2.45
2014-10-01,2.27
2014-11-01,3.8
2014-12-01,3.21
2015-01-01,4.28
2015-02-01,8.29
2015-03-01,3.06
2015-04-01,2.02
2015-05-01,2.01
2015-06-01,1.83
2015-07-01,2.02
2015-08-01,1.8
2015-09-01,2.0
2015-10-01,1.71
2015-11-01,1.59
2015-12-01,1.55
2016-01-01,2.6
2016-02-01,2.33
2016-03-01,1.43
2016-04-01,1.61
2016-05-01,1.65
2016-06-01,1.9
2016-07-01,1.86
2016-08-01,1.68
2016-09-01,1.51
2016-10-01,1.29
2016-11-01,2.1
2016-12-01,3.52
2017-01-01,4.16
2017-02-01,3.24
2017-03-01,2.91
2017-04-01,3.03
2017-05-01,3.04
2017-06-01,2.45
2017-07-01,2.35
2017-08-01,2.08
2017-09-01,1.76
2017-10-01,1.51
2017-11-01,2.41
2017-12-01,3.88
2018-01-01,6.0
2018-02-01,3.41
2018-03-01,2.7
2018-04-01,2.69
2018-05-01,2.48
2018-06-01,2.56
2018-07-01,2.66
2018-08-01,2.83
2018-09-01,2.58
2018-10-01,2.78
2018-11-01,3.87
2018-12-01,3.96
2019-01-01,3.68
2019-02-01,3.02
2019-03-01,2.89
2019-04-01,2.51
2019-05-01,2.41
2019-06-01,2.28
2019-07-01,2.27
2019-08-01,2.02
2019-09-01,1.89
2019-10-01,1.69
2019-11-01,2.47
2019-12-01,2.37
2020-01-01,2.11
2020-02-01,1.94
2020-03-01,1.65
2020-04-01,1.61
2020-05-01,1.55
2020-06-01,1.55
2020-07-01,1.67
2020-08-01,1.54
2020-09-01,1.35
2020-10-01,1.36
2020-11-01,1.64
2020-12-01,2.35
2021-01-01,2.6
2021-02-01,3.9
2021-03-01,2.44
2021-04-01,2.23
2021-05-01,2.37
2021-06-01,2.58
2021-07-01,3.19
2021-08-01,3.78
2021-09-01,4.24
2021-10-01,4.67
2021-11-01,4.98
2021-12-01,3.65
2022-01-01,5.72
2022-02-01,5.29
2022-03-01,4.33
2022-04-01,5.87
2022-05-01,7.17
2022-06-01,7.23
2022-07-01,6.67
2022-08-01,8.15
2022-09-01,7.21
2022-10-01,4.87
2022-11-01,4.75
2022-12-01,7.84
2023-01-01,3.99
2023-02-01,3.14
2023-03-01,2.42
2023-04-01,1.96
2023-05-01,1.71
2023-06-01,1.6
2023-07-01,1.87
2023-08-01,1.48
2023-09-01,1.64
2023-10-01,1.67
2023-11-01,2.41
2023-12-01,2.26
2024-01-01,4.22
2024-02-01,1.91
2024-03-01,1.56
2024-04-01,1.63
2024-05-01,1.74
2024-06-01,1.93
2024-07-01,1.81
2024-08-01,1.76
2024-09-01,1.74
2024-10-01,1.84
2024-11-01,2.11
2024-12-01,3.31
2025-01-01,6.41
2025-02-01,4.52
2025-03-01,3.5
2025-04-01,3.06
2025-05-01,2.54
2025-06-01,2.54
2025-07-01,3.05
2025-08-01,2.39
2025-09-01,2.0
2025-10-01,2.24
2025-11-01,3.51
2025-12-01,4.87
2026-01-01,12.74
2026-02-01,6.19
