Date,Value
1984-01-01,3.78
1985-01-01,3.55
1986-01-01,2.95
1987-01-01,2.38
1988-01-01,3.09
1989-01-01,2.98
1990-01-01,2.97
1991-01-01,2.56
1992-01-01,2.48
1993-01-01,2.72
1994-01-01,2.54
1995-01-01,2.21
1996-01-01,3.13
1997-01-01,3.04
1998-01-01,2.33
1999-01-01,2.7
2000-01-01,4.61
2001-01-01,5.55
2002-01-01,4.07
2003-01-01,5.78
2004-01-01,6.56
2005-01-01,8.56
2006-01-01,7.67
2007-01-01,7.22
2008-01-01,9.58
2009-01-01,5.96
2010-01-01,5.43
2011-01-01,5.67
2012-01-01,3.48
2013-01-01,4.12
2014-01-01,4.9
2015-01-01,3.32
2016-01-01,3.65
2017-01-01,4.02
2018-01-01,4.0
2019-01-01,3.59
2020-01-01,2.75
2021-01-01,3.95
2022-01-01,5.62
2023-01-01,4.15
2024-01-01,3.91
2025-01-01,4.81
