Date,Value
1984-01-01,3.91
1985-01-01,3.43
1986-01-01,2.55
1987-01-01,2.52
1988-01-01,3.05
1989-01-01,3.33
1990-01-01,3.14
1991-01-01,2.88
1992-01-01,3.06
1993-01-01,3.32
1994-01-01,3.0
1995-01-01,2.95
1996-01-01,3.22
1997-01-01,3.66
1998-01-01,2.63
1999-01-01,2.84
2000-01-01,4.39
2001-01-01,5.13
2002-01-01,3.86
2003-01-01,5.53
2004-01-01,6.03
2005-01-01,8.09
2006-01-01,7.6
2007-01-01,7.84
2008-01-01,9.2
2009-01-01,5.59
2010-01-01,5.89
2011-01-01,5.39
2012-01-01,4.3
2013-01-01,4.89
2014-01-01,5.77
2015-01-01,4.19
2016-01-01,4.09
2017-01-01,4.8
2018-01-01,5.04
2019-01-01,3.02
2020-01-01,2.7
2021-01-01,10.76
2022-01-01,6.82
2023-01-01,4.27
2024-01-01,3.25
2025-01-01,3.94
