Date,Value
1997-01-01,142216
1998-01-01,130664
1999-01-01,149294
2000-01-01,156692
2001-01-01,143330
2002-01-01,175072
2003-01-01,150692
2004-01-01,159259
2005-01-01,164740
2006-01-01,169504
2007-01-01,175820
2008-01-01,162576
2009-01-01,179225
2010-01-01,192687
2011-01-01,223734
2012-01-01,224409
2013-01-01,230094
2014-01-01,231163
2015-01-01,248963
2016-01-01,243618
2017-01-01,234404
2018-01-01,272139
2019-01-01,278042
2020-01-01,281975
2021-01-01,289649
2022-01-01,292355
2023-01-01,290277
2024-01-01,299410
2025-01-01,300691
