Date,Value
2001-01-01,253.0
2001-02-01,237.0
2001-03-01,247.0
2001-04-01,243.0
2001-05-01,237.0
2001-06-01,244.0
2001-07-01,242.0
2001-08-01,227.0
2001-09-01,226.0
2001-10-01,220.0
2001-11-01,217.0
2001-12-01,225.0
2002-01-01,236.0
2002-02-01,226.0
2002-03-01,225.0
2002-04-01,234.0
2002-05-01,226.0
2002-06-01,224.0
2002-07-01,239.0
2002-08-01,222.0
2002-09-01,224.0
2002-10-01,215.0
2002-11-01,227.0
2002-12-01,236.0
2003-01-01,251.0
2003-02-01,236.0
2003-03-01,234.0
2003-04-01,229.0
2003-05-01,226.0
2003-06-01,218.0
2003-07-01,224.0
2003-08-01,218.0
2003-09-01,223.0
2003-10-01,218.0
2003-11-01,216.0
2003-12-01,239.0
2004-01-01,243.0
2004-02-01,230.0
2004-03-01,239.0
2004-04-01,240.0
2004-05-01,221.0
2004-06-01,235.0
2004-07-01,229.0
2004-08-01,222.0
2004-09-01,226.0
2004-10-01,221.0
2004-11-01,230.0
2004-12-01,236.0
2005-01-01,242.0
2005-02-01,225.0
2005-03-01,240.0
2005-04-01,240.0
2005-05-01,245.0
2005-06-01,238.0
2005-07-01,224.0
2005-08-01,225.0
2005-09-01,226.0
2005-10-01,218.0
2005-11-01,229.0
2005-12-01,240.0
2006-01-01,241.0
2006-02-01,226.0
2006-03-01,242.0
2006-04-01,237.0
2006-05-01,239.0
2006-06-01,235.0
2006-07-01,229.0
2006-08-01,222.0
2006-09-01,233.0
2006-10-01,223.0
2006-11-01,223.0
2006-12-01,231.0
2007-01-01,259.0
2007-02-01,226.0
2007-03-01,229.0
2007-04-01,232.0
2007-05-01,234.0
2007-06-01,244.0
2007-07-01,241.0
2007-08-01,218.0
2007-09-01,223.0
2007-10-01,244.0
2007-11-01,256.0
2007-12-01,244.0
2008-01-01,245.0
2008-02-01,237.0
2008-03-01,235.0
2008-04-01,238.0
2008-05-01,225.0
2008-06-01,233.0
2008-07-01,238.0
2008-08-01,211.0
2008-09-01,211.0
2008-10-01,206.0
2008-11-01,204.0
2008-12-01,216.0
2009-01-01,229.0
2009-02-01,216.0
2009-03-01,223.0
2009-04-01,236.0
2009-05-01,216.0
2009-06-01,222.0
2009-07-01,212.0
2009-08-01,208.0
2009-09-01,213.0
2009-10-01,200.0
2009-11-01,203.0
2009-12-01,227.0
2010-01-01,242.0
2010-02-01,213.0
2010-03-01,218.0
2010-04-01,240.0
2010-05-01,205.0
2010-06-01,220.0
2010-07-01,234.0
2010-08-01,225.0
2010-09-01,196.0
2010-10-01,208.0
2010-11-01,208.0
2010-12-01,216.0
2011-01-01,235.0
2011-02-01,213.0
2011-03-01,220.0
2011-04-01,232.0
2011-05-01,226.0
2011-06-01,218.0
2011-07-01,210.0
2011-08-01,208.0
2011-09-01,231.0
2011-10-01,201.0
2011-11-01,205.0
2011-12-01,217.0
2012-01-01,239.0
2012-02-01,218.0
2012-03-01,238.0
2012-04-01,242.0
2012-05-01,235.0
2012-06-01,225.0
2012-07-01,221.0
2012-08-01,214.0
2012-09-01,207.0
2012-10-01,208.0
2012-11-01,223.0
2012-12-01,216.0
2013-01-01,232.0
2013-02-01,230.0
2013-03-01,218.0
2013-04-01,244.0
2013-05-01,252.0
2013-06-01,243.0
2013-07-01,238.0
2013-08-01,246.0
2013-09-01,235.0
2013-10-01,230.0
2013-11-01,234.0
2013-12-01,252.0
2014-01-01,271.0
2014-02-01,242.0
2014-03-01,244.0
2014-04-01,251.0
2014-05-01,239.0
2014-06-01,240.0
2014-07-01,245.0
2014-08-01,240.0
2014-09-01,232.0
2014-10-01,233.0
2014-11-01,227.0
2014-12-01,251.0
2015-01-01,278.0
2015-02-01,237.0
2015-03-01,252.0
2015-04-01,254.0
2015-05-01,228.0
2015-06-01,244.0
2015-07-01,242.0
2015-08-01,239.0
2015-09-01,232.0
2015-10-01,239.0
2015-11-01,227.0
2015-12-01,250.0
2016-01-01,257.0
2016-02-01,246.0
2016-03-01,250.0
2016-04-01,258.0
2016-05-01,239.0
2016-06-01,242.0
2016-07-01,246.0
2016-08-01,256.0
2016-09-01,267.0
2016-10-01,252.0
2016-11-01,258.0
2016-12-01,268.0
2017-01-01,292.0
2017-02-01,259.0
2017-03-01,271.0
2017-04-01,256.0
2017-05-01,244.0
2017-06-01,270.0
2017-07-01,244.0
2017-08-01,253.0
2017-09-01,250.0
2017-10-01,249.0
2017-11-01,257.0
2017-12-01,259.0
2018-01-01,309.0
2018-02-01,261.0
2018-03-01,273.0
2018-04-01,276.0
2018-05-01,266.0
2018-06-01,270.0
2018-07-01,277.0
2018-08-01,281.0
2018-09-01,257.0
2018-10-01,272.0
2018-11-01,266.0
2018-12-01,273.0
2019-01-01,302.0
2019-02-01,268.0
2019-03-01,278.0
2019-04-01,279.0
2019-05-01,279.0
2019-06-01,253.0
2019-07-01,290.0
2019-08-01,282.0
2019-09-01,265.0
2019-10-01,269.0
2019-11-01,243.0
2019-12-01,268.0
2020-01-01,280.0
2020-02-01,252.0
2020-03-01,251.0
2020-04-01,180.0
2020-05-01,160.0
2020-06-01,174.0
2020-07-01,188.0
2020-08-01,181.0
2020-09-01,169.0
2020-10-01,182.0
2020-11-01,177.0
2020-12-01,216.0
2021-01-01,212.0
2021-02-01,200.0
2021-03-01,221.0
2021-04-01,247.0
2021-05-01,216.0
2021-06-01,244.0
2021-07-01,239.0
2021-08-01,255.0
2021-09-01,242.0
2021-10-01,230.0
2021-11-01,231.0
2021-12-01,245.0
2022-01-01,263.0
2022-02-01,227.0
2022-03-01,243.0
2022-04-01,257.0
2022-05-01,249.0
2022-06-01,262.0
2022-07-01,245.0
2022-08-01,241.0
2022-09-01,255.0
2022-10-01,241.0
2022-11-01,256.0
2022-12-01,254.0
2023-01-01,287.0
2023-02-01,222.0
2023-03-01,262.0
2023-04-01,238.0
2023-05-01,240.0
2023-06-01,265.0
2023-07-01,243.0
2023-08-01,245.0
2023-09-01,251.0
2023-10-01,248.0
2023-11-01,234.0
2023-12-01,248.0
2024-01-01,278.0
2024-02-01,253.0
2024-03-01,255.0
2024-04-01,262.0
2024-05-01,263.0
2024-06-01,240.0
2024-07-01,252.0
2024-08-01,246.0
2024-09-01,234.0
2024-10-01,235.0
2024-11-01,228.0
2024-12-01,247.0
2025-01-01,258.0
2025-02-01,237.0
2025-03-01,247.0
2025-04-01,243.0
2025-05-01,243.0
2025-06-01,239.0
2025-07-01,241.0
2025-08-01,226.0
2025-09-01,240.0
2025-10-01,237.0
2025-11-01,227.0
2025-12-01,254.0
2026-01-01,263.0
2026-02-01,
