Date,Value
1997-01-01,208890.0
1998-01-01,185583.0
1999-01-01,193142.0
2000-01-01,208894.0
2001-01-01,175611.0
2002-01-01,193766.0
2003-01-01,194280.0
2004-01-01,192242.0
2005-01-01,200336.0
2006-01-01,179949.0
2007-01-01,198715.0
2008-01-01,193613.0
2009-01-01,193988.0
2010-01-01,205688.0
2011-01-01,187921.0
2012-01-01,201550.0
2013-01-01,193232.0
2014-01-01,200758.0
2015-01-01,207816.0
2016-01-01,211579.0
2017-01-01,214914.0
2018-01-01,277976.0
2019-01-01,273493.0
2020-01-01,257666.0
2021-01-01,260728.0
2022-01-01,269896.0
2023-01-01,266364.0
2024-01-01,261334.0
2025-01-01,
