Date,Value
1997-01-01,131463.0
1998-01-01,147747.0
1999-01-01,153880.0
2000-01-01,188288.0
2001-01-01,175966.0
2002-01-01,175739.0
2003-01-01,184152.0
2004-01-01,212723.0
2005-01-01,224919.0
2006-01-01,246865.0
2007-01-01,251425.0
2008-01-01,261579.0
2009-01-01,272543.0
2010-01-01,256256.0
2011-01-01,245807.0
2012-01-01,267242.0
2013-01-01,268008.0
2014-01-01,248375.0
2015-01-01,295435.0
2016-01-01,300323.0
2017-01-01,290066.0
2018-01-01,295836.0
2019-01-01,298245.0
2020-01-01,295429.0
2021-01-01,290285.0
2022-01-01,286622.0
2023-01-01,284787.0
2024-01-01,280391.0
2025-01-01,
