Date,Value
1990-01-01,21300
1990-02-01,21300
1990-03-01,21300
1990-04-01,21300
1990-05-01,0
1990-06-01,21300
1990-07-01,21300
1990-08-01,21300
1990-09-01,21300
1990-10-01,21300
1990-11-01,21300
1991-01-01,21300
1991-02-01,21300
1991-03-01,21300
1991-04-01,21300
1991-05-01,21300
1991-06-01,21300
1991-07-01,21300
1991-08-01,21300
1991-09-01,21300
1991-10-01,18800
1991-11-01,18800
1991-12-01,18800
1992-01-01,18800
1992-02-01,18800
1992-03-01,18800
1992-04-01,18800
1992-05-01,18800
1992-06-01,18800
1992-07-01,18800
1992-08-01,18800
1992-09-01,18800
1992-10-01,18800
1992-11-01,18800
1992-12-01,18800
1993-01-01,18800
1993-02-01,18800
1993-03-01,18800
1993-04-01,18800
1993-05-01,18800
1993-06-01,18800
1993-07-01,18800
1993-08-01,18800
1993-09-01,18800
1993-10-01,18800
1993-11-01,18800
1993-12-01,18800
1994-01-01,18800
1994-02-01,18800
1994-03-01,18800
1994-04-01,18800
1994-05-01,18800
1994-06-01,18800
1994-07-01,18800
1994-08-01,18800
1994-09-01,18800
1994-10-01,18800
1994-11-01,18800
1994-12-01,18800
1995-01-01,18800
1995-02-01,18800
1995-03-01,18800
1995-04-01,18800
1995-05-01,18800
1995-06-01,18800
1995-07-01,18800
1995-08-01,18800
1995-09-01,18800
1995-10-01,18800
1995-11-01,18800
1995-12-01,21123
1996-01-01,21413
1996-02-01,21683
1996-03-01,21963
1996-04-01,22200
1996-05-01,22200
1996-06-01,22200
1996-07-01,21852
1996-08-01,20062
1996-09-01,21518
1996-10-01,21728
1996-11-01,22029
1996-12-01,22200
1997-01-01,22096
1997-02-01,22096
1997-03-01,22096
1997-04-01,22096
1997-05-01,22096
1997-06-01,22096
1997-07-01,22096
1997-08-01,22096
1997-09-01,22096
1997-10-01,22096
1997-11-01,22096
1997-12-01,22096
1998-01-01,22096
1998-02-01,22096
1998-03-01,22096
1998-04-01,22096
1998-05-01,22096
1998-06-01,22096
1998-07-01,22096
1998-08-01,22096
1998-09-01,22096
1998-10-01,22096
1998-11-01,22096
1998-12-01,22096
1999-01-01,22096
1999-02-01,21200
1999-03-01,21496
1999-04-01,21596
1999-05-01,21825
1999-06-01,22133
1999-07-01,22201
1999-08-01,19000
1999-09-01,19000
1999-10-01,19000
1999-11-01,19000
1999-12-01,19000
2000-01-01,19000
2000-02-01,19000
2000-03-01,19000
2000-04-01,19000
2000-05-01,19000
2000-06-01,19000
2000-07-01,19000
2000-08-01,19000
2000-09-01,19000
2000-10-01,19000
2000-11-01,19000
2000-12-01,19000
2001-01-01,19000
2001-02-01,19000
2001-03-01,19000
2001-04-01,19000
2001-05-01,19000
2001-06-01,19000
2001-07-01,19000
2001-08-01,19000
2001-09-01,19000
2001-10-01,19000
2001-11-01,19000
2001-12-01,19000
2002-01-01,19000
2002-02-01,19000
2002-03-01,19000
2002-04-01,19000
2002-05-01,19000
2002-06-01,19000
2002-07-01,19000
2002-08-01,19000
2002-09-01,19168
2002-10-01,19244
2002-11-01,19328
2002-12-01,19425
2003-01-01,19490
2003-02-01,19547
2003-03-01,19597
2003-04-01,19626
2003-05-01,19668
2003-06-01,19745
2003-07-01,19821
2003-08-01,19886
2003-09-01,19931
2003-10-01,19981
2003-11-01,20037
2003-12-01,20097
2004-01-01,20142
2004-02-01,20179
