Date,Value
1990-01-01,74086
1990-02-01,66477
1990-03-01,61296
1990-04-01,61444
1990-05-01,65918
1990-06-01,70653
1990-07-01,76309
1990-08-01,82236
1990-09-01,85955
1990-10-01,89866
1990-11-01,87913
1990-12-01,73603
1991-01-01,71390
1991-02-01,60921
1991-03-01,57278
1991-04-01,59014
1991-05-01,63510
1991-06-01,74146
1991-07-01,79723
1991-08-01,86294
1991-09-01,97761
1991-10-01,109281
1991-11-01,101166
1991-12-01,86996
1992-01-01,67167
1992-02-01,54513
1992-03-01,50974
1992-04-01,53944
1992-05-01,62448
1992-06-01,70662
1992-07-01,82259
1992-08-01,93130
1992-09-01,103798
1992-10-01,112898
1992-11-01,103734
1992-12-01,83223
1993-01-01,18126
1993-02-01,8099
1993-03-01,5896
1993-04-01,10189
1993-05-01,16993
1993-06-01,25093
1993-07-01,35988
1993-08-01,46332
1993-09-01,58949
1993-10-01,64538
1993-11-01,57880
1993-12-01,40257
1994-01-01,21994
1994-02-01,12505
1994-03-01,9508
1994-04-01,11414
1994-05-01,16978
1994-06-01,23485
1994-07-01,33733
1994-08-01,44726
1994-09-01,56420
1994-10-01,65515
1994-11-01,60945
1994-12-01,43175
1995-01-01,22656
1995-02-01,11780
1995-03-01,7447
1995-04-01,6865
1995-05-01,10632
1995-06-01,18717
1995-07-01,28858
1995-08-01,43748
1995-09-01,55435
1995-10-01,62560
1995-11-01,51890
1995-12-01,36857
1996-01-01,20060
1996-02-01,11347
1996-03-01,5465
1996-04-01,4660
1996-05-01,5023
1996-06-01,12040
1996-07-01,24568
1996-08-01,37836
1996-09-01,50452
1996-10-01,61354
1996-11-01,55533
1996-12-01,37008
1997-01-01,21082
1997-02-01,12613
1997-03-01,9659
1997-04-01,8032
1997-05-01,11505
1997-06-01,19866
1997-07-01,28643
1997-08-01,39582
1997-09-01,52343
1997-10-01,60701
1997-11-01,60147
1997-12-01,43215
1998-01-01,24295
1998-02-01,17855
1998-03-01,11163
1998-04-01,10815
1998-05-01,14415
1998-06-01,22820
1998-07-01,42526
1998-08-01,46463
1998-09-01,58612
1998-10-01,65720
1998-11-01,65788
1998-12-01,45242
1999-01-01,24664
1999-02-01,12850
1999-03-01,8073
1999-04-01,7987
1999-05-01,12586
1999-06-01,19422
1999-07-01,30186
1999-08-01,41502
1999-09-01,54610
1999-10-01,65150
1999-11-01,64053
1999-12-01,42768
2000-01-01,21617
2000-02-01,10232
2000-03-01,9026
2000-04-01,7305
2000-05-01,11704
2000-06-01,17560
2000-07-01,28473
2000-08-01,40142
2000-09-01,52978
2000-10-01,66469
2000-11-01,55722
2000-12-01,31185
