Date,Value
1990-01-01,22371
1990-02-01,18661
1990-03-01,17042
1990-04-01,17387
1990-06-01,20796
1990-07-01,23060
1990-08-01,26751
1990-09-01,30924
1990-10-01,33456
1990-11-01,34200
1990-12-01,30588
1991-01-01,24821
1991-02-01,19663
1991-03-01,16425
1991-04-01,15850
1991-05-01,17767
1991-06-01,18744
1991-07-01,22065
1991-08-01,26710
1991-09-01,31199
1991-10-01,37933
1991-11-01,35015
1991-12-01,30071
1992-01-01,23328
1992-02-01,18843
1992-03-01,14762
1992-04-01,14340
1992-05-01,15414
1992-06-01,17948
1992-07-01,23103
1992-08-01,27216
1992-09-01,32427
1992-10-01,35283
1992-11-01,32732
1992-12-01,29149
1993-01-01,23702
1993-02-01,18626
1993-03-01,15991
1993-04-01,17160
1993-05-01,18050
1993-06-01,20109
1993-07-01,24565
1993-08-01,29110
1993-09-01,33303
1993-10-01,34605
1993-11-01,32707
1993-12-01,30052
1994-01-01,23623
1994-02-01,20052
1994-03-01,18102
1994-04-01,17396
1994-05-01,17194
1994-06-01,19647
1994-07-01,24780
1994-08-01,29088
1994-09-01,33077
1994-10-01,35877
1994-11-01,36408
1994-12-01,33424
1995-01-01,27732
1995-02-01,21973
1995-03-01,19542
1995-04-01,18899
1995-05-01,19227
1995-06-01,21026
1995-07-01,23933
1995-08-01,27541
1995-09-01,31972
1995-10-01,36182
1995-11-01,36647
1995-12-01,31830
1996-01-01,24922
1996-02-01,21042
1996-03-01,17482
1996-04-01,16603
1996-05-01,16619
1996-06-01,19016
1996-07-01,23425
1996-08-01,29557
1996-09-01,33471
1996-10-01,36173
1996-11-01,36930
1996-12-01,33636
1997-01-01,26195
1997-02-01,22300
1997-03-01,19804
1997-04-01,16920
1997-05-01,16980
1997-06-01,18895
1997-07-01,22001
1997-08-01,25906
1997-09-01,30496
1997-10-01,33629
1997-11-01,34542
1997-12-01,30506
1998-01-01,26363
1998-02-01,23040
1998-03-01,18802
1998-04-01,17951
1998-05-01,18387
1998-06-01,18830
1998-07-01,21798
1998-08-01,25855
1998-09-01,30388
1998-10-01,33367
1998-11-01,35559
1998-12-01,31531
1999-01-01,25969
1999-02-01,23039
1999-03-01,21894
1999-04-01,18577
1999-05-01,19335
1999-06-01,20960
1999-07-01,22642
1999-08-01,25365
1999-09-01,29589
1999-10-01,33342
1999-11-01,35526
1999-12-01,31142
2000-01-01,24095
2000-02-01,22647
2000-03-01,20617
2000-04-01,19267
2000-05-01,19525
2000-06-01,21265
2000-07-01,23505
2000-08-01,26241
2000-09-01,29606
2000-10-01,33943
2000-11-01,34555
2000-12-01,27660
2001-01-01,23532
2001-02-01,19988
2001-03-01,17435
2001-04-01,16090
2001-05-01,17413
2001-06-01,20551
2001-07-01,24222
2001-08-01,27138
2001-09-01,29508
2001-10-01,32257
2001-11-01,35156
2001-12-01,31377
2002-01-01,26525
2002-02-01,20505
2002-03-01,16813
2002-04-01,14969
2002-05-01,16401
2002-06-01,19252
2002-07-01,22760
2002-08-01,25453
2002-09-01,28445
2002-10-01,31644
2002-11-01,31672
2002-12-01,27894
2003-01-01,19858
2003-02-01,14558
2003-03-01,12725
2003-04-01,12693
2003-05-01,14192
2003-06-01,17022
2003-07-01,19919
2003-08-01,22816
2003-09-01,26626
2003-10-01,30297
2003-11-01,31492
2003-12-01,27582
2004-01-01,20312
2004-02-01,15608
2004-03-01,12971
2004-04-01,13714
2004-05-01,15998
2004-06-01,18886
2004-07-01,22620
2004-08-01,26607
2004-09-01,30191
2004-10-01,32345
2004-11-01,32527
2004-12-01,27470
2005-01-01,21778
2005-02-01,18101
2005-03-01,15023
2005-04-01,15645
2005-05-01,16950
2005-06-01,19869
2005-07-01,22961
2005-08-01,26020
2005-09-01,29236
2005-10-01,32023
2005-11-01,31396
2005-12-01,26053
2006-01-01,22992
2006-02-01,17268
2006-03-01,13494
2006-04-01,15163
2006-05-01,17310
2006-06-01,19268
2006-07-01,22378
2006-08-01,26020
2006-09-01,29761
2006-10-01,31711
2006-11-01,32265
2006-12-01,28852
2007-01-01,21840
2007-02-01,15761
2007-03-01,14696
2007-04-01,14095
2007-05-01,15778
2007-06-01,18334
2007-07-01,22944
2007-08-01,26296
2007-09-01,29212
2007-10-01,31729
2007-11-01,31857
2007-12-01,26418
2008-01-01,19671
2008-02-01,14565
2008-03-01,12526
2008-04-01,13161
2008-05-01,14783
2008-06-01,18413
2008-07-01,22381
2008-08-01,26124
2008-09-01,29465
2008-10-01,31945
2008-11-01,31652
2008-12-01,25848
2009-01-01,14541
2009-02-01,10069
2009-03-01,8404
2009-04-01,7711
2009-05-01,10783
2009-06-01,13898
2009-07-01,17083
2009-08-01,20721
2009-09-01,24498
2009-10-01,26696
2009-11-01,28481
2009-12-01,23520
2010-01-01,16641
2010-02-01,11014
2010-03-01,9021
2010-04-01,10242
2010-05-01,13574
2010-06-01,16387
2010-07-01,18508
2010-08-01,20994
2010-09-01,24859
2010-10-01,28413
2010-11-01,28253
2010-12-01,23739
2011-01-01,16885
2011-02-01,12607
2011-03-01,8863
2011-04-01,8631
2011-05-01,9628
2011-06-01,12774
2011-07-01,15266
2011-08-01,17669
2011-09-01,22448
2011-10-01,26714
2011-11-01,28254
2011-12-01,26058
2012-01-01,20625
2012-02-01,15097
2012-03-01,15229
2012-04-01,13091
2012-05-01,13903
2012-06-01,16460
2012-07-01,18723
2012-08-01,20647
2012-09-01,23029
2012-10-01,27141
2012-11-01,28606
2012-12-01,25108
2013-01-01,18402
2013-02-01,12676
2013-03-01,9083
2013-04-01,8965
2013-05-01,10955
2013-06-01,13533
2013-07-01,15951
2013-08-01,19622
2013-09-01,22817
2013-10-01,25719
2013-11-01,26571
2013-12-01,21930
2014-01-01,14067
2014-02-01,8543
2014-03-01,6434
2014-04-01,6731
2014-05-01,9469
2014-06-01,12640
2014-07-01,15765
2014-08-01,19418
2014-09-01,22867
2014-10-01,25426
2014-11-01,25207
2014-12-01,22657
2015-01-01,16817
2015-02-01,11324
2015-03-01,8673
2015-04-01,9006
2015-05-01,11902
2015-06-01,14841
2015-07-01,17526
2015-08-01,21022
2015-09-01,24897
2015-10-01,26944
2015-11-01,28208
2015-12-01,26638
2016-01-01,20553
2016-02-01,15277
2016-03-01,13584
2016-04-01,13057
2016-05-01,15957
2016-06-01,18274
2016-07-01,20124
2016-08-01,21973
2016-09-01,24066
2016-10-01,26564
2016-11-01,27726
2016-12-01,23087
2017-01-01,16440
2017-02-01,13369
2017-03-01,11811
2017-04-01,11818
2017-05-01,13473
2017-06-01,16250
2017-07-01,18720
2017-08-01,20897
2017-09-01,23243
2017-10-01,25708
2017-11-01,27163
2017-12-01,22285
2018-01-01,16920
2018-02-01,12800
2018-03-01,9298
2018-04-01,8756
2018-05-01,9993
2018-06-01,12993
2018-07-01,15796
2018-08-01,19947
2018-09-01,23649
2018-10-01,26055
2018-11-01,25541
2018-12-01,22926
2019-01-01,16711
2019-02-01,12714
2019-03-01,9913
2019-04-01,10011
2019-05-01,12091
2019-06-01,14342
2019-07-01,17065
2019-08-01,21418
2019-09-01,24849
2019-10-01,27504
2019-11-01,28171
2019-12-01,25204
2020-01-01,20177
2020-02-01,14602
2020-03-01,13107
2020-04-01,13009
2020-05-01,14152
2020-06-01,16192
2020-07-01,18241
2020-08-01,20755
2020-09-01,24811
2020-10-01,27703
2020-11-01,28533
2020-12-01,23958
2021-01-01,17452
2021-02-01,11814
2021-03-01,9649
2021-04-01,9239
2021-05-01,10287
2021-06-01,12054
2021-07-01,14643
2021-08-01,18624
2021-09-01,22959
2021-10-01,26678
2021-11-01,28254
2021-12-01,26867
2022-01-01,19258
2022-02-01,13393
2022-03-01,10169
2022-04-01,9857
2022-05-01,11129
2022-06-01,13161
2022-07-01,15975
2022-08-01,19733
2022-09-01,23845
2022-10-01,26936
2022-11-01,27930
2022-12-01,22837
2023-01-01,18696
2023-02-01,14893
2023-03-01,12221
2023-04-01,12575
2023-05-01,13397
2023-06-01,14189
2023-07-01,15400
2023-08-01,18832
2023-09-01,22881
2023-10-01,26652
2023-11-01,27994
2023-12-01,25310
2024-01-01,18544
2024-02-01,14521
2024-03-01,13400
2024-04-01,14252
2024-05-01,15052
2024-06-01,16016
2024-07-01,17613
2024-08-01,20825
2024-09-01,24766
2024-10-01,28235
2024-11-01,28998
2024-12-01,24377
2025-01-01,16707
2025-02-01,11361
2025-03-01,9627
2025-04-01,10110
2025-05-01,12165
2025-06-01,14231
2025-07-01,16693
2025-08-01,20639
2025-09-01,24941
2025-10-01,27990
2025-11-01,28496
2025-12-01,24660
2026-01-01,17878
2026-02-01,13564
