Date,Value
1990-01-01,293785
1990-02-01,290491
1990-03-01,289197
1990-04-01,288193
1990-05-01,293815
1990-06-01,288808
1990-07-01,290947
1990-08-01,293015
1990-09-01,295663
1990-10-01,296921
1990-11-01,295421
1990-12-01,290602
1991-01-01,289270
1991-02-01,287858
1991-03-01,286548
1991-04-01,286491
1991-05-01,287718
1991-06-01,288959
1991-07-01,290667
1991-08-01,292107
1991-09-01,292226
1991-10-01,290844
1991-11-01,288112
1991-12-01,284559
1992-01-01,281148
1992-02-01,279325
1992-03-01,278909
1992-04-01,279042
1992-05-01,280038
1992-06-01,280751
1992-07-01,281777
1992-08-01,282543
1992-09-01,282117
1992-10-01,280760
1992-11-01,277412
1992-12-01,271811
1993-01-01,266711
1993-02-01,262291
1993-03-01,259532
1993-04-01,257822
1993-05-01,256665
1993-06-01,255940
1993-07-01,257149
1993-08-01,257450
1993-09-01,257904
1993-10-01,257816
1993-11-01,253710
1993-12-01,250503
1994-01-01,246679
1994-02-01,239940
1994-03-01,238777
1994-04-01,237993
1994-05-01,238931
1994-06-01,240738
1994-07-01,242090
1994-08-01,243176
1994-09-01,244948
1994-10-01,245981
1994-11-01,244275
1994-12-01,241603
1995-01-01,238103
1995-02-01,236109
1995-03-01,235420
1995-04-01,236218
1995-05-01,237498
1995-06-01,239637
1995-07-01,242554
1995-08-01,245760
1995-09-01,246856
1995-10-01,246301
1995-11-01,243255
1995-12-01,238004
1996-01-01,231752
1996-02-01,228315
1996-03-01,224438
1996-04-01,223794
1996-05-01,223014
1996-06-01,225717
1996-07-01,228978
1996-08-01,232480
1996-09-01,235999
1996-10-01,235664
1996-11-01,230909
1996-12-01,225405
1997-01-01,219754
1997-02-01,215770
1997-03-01,213180
1997-04-01,211370
1997-05-01,212216
1997-06-01,213848
1997-07-01,216558
1997-08-01,218897
1997-09-01,220386
1997-10-01,219372
1997-11-01,216611
1997-12-01,213443
1998-01-01,209021
1998-02-01,206467
1998-03-01,203450
1998-04-01,203226
1998-05-01,205797
1998-06-01,207821
1998-07-01,210115
1998-08-01,214639
1998-09-01,218878
1998-10-01,220410
1998-11-01,217805
1998-12-01,213891
1999-01-01,208983
1999-02-01,205609
1999-03-01,203199
1999-04-01,201870
1999-05-01,202438
1999-06-01,204223
1999-07-01,206017
1999-08-01,208559
