Date,Value
1990-01-01,439384
1990-02-01,418280
1990-03-01,409494
1990-04-01,412498
1990-05-01,435089
1990-06-01,454844
1990-07-01,474266
1990-08-01,493301
1990-09-01,510714
1990-10-01,521774
1990-11-01,518006
1990-12-01,489515
1991-01-01,477781
1991-02-01,454923
1991-03-01,439191
1991-04-01,448258
1991-05-01,461362
1991-06-01,490259
1991-07-01,505168
1991-08-01,523544
1991-09-01,538399
1991-10-01,546343
1991-11-01,533483
1991-12-01,506672
1992-01-01,463200
1992-02-01,428363
1992-03-01,392474
1992-04-01,394514
1992-05-01,420383
1992-06-01,452412
1992-07-01,478259
1992-08-01,500938
1992-09-01,516378
1992-10-01,527568
1992-11-01,522419
1992-12-01,491542
1993-01-01,452510
1993-02-01,407121
1993-03-01,368376
1993-04-01,371641
1993-05-01,401431
1993-06-01,433291
1993-07-01,462741
1993-08-01,490248
1993-09-01,515994
1993-10-01,522961
1993-11-01,510471
1993-12-01,470120
1994-01-01,413475
1994-02-01,378216
1994-03-01,361279
1994-04-01,377103
1994-05-01,406526
1994-06-01,438293
1994-07-01,471603
1994-08-01,498156
1994-09-01,519996
1994-10-01,530505
1994-11-01,526490
1994-12-01,498597
1995-01-01,448479
1995-02-01,410867
1995-03-01,391082
1995-04-01,385953
1995-05-01,413796
1995-06-01,445322
1995-07-01,472162
1995-08-01,495448
1995-09-01,513913
1995-10-01,522766
1995-11-01,498715
1995-12-01,455782
1996-01-01,411753
1996-02-01,378091
1996-03-01,349529
1996-04-01,358183
1996-05-01,388130
1996-06-01,430919
1996-07-01,466759
1996-08-01,496174
1996-09-01,520007
1996-10-01,533633
1996-11-01,508051
1996-12-01,473112
1997-01-01,414985
1997-02-01,386866
1997-03-01,365308
1997-04-01,366458
1997-05-01,400539
1997-06-01,437874
1997-07-01,471967
1997-08-01,504060
1997-09-01,527479
1997-10-01,536278
1997-11-01,520726
1997-12-01,480235
1998-01-01,445045
1998-02-01,410984
1998-03-01,382311
1998-04-01,397010
1998-05-01,433287
1998-06-01,459179
1998-07-01,490480
1998-08-01,517736
1998-09-01,537189
1998-10-01,549822
1998-11-01,541857
1998-12-01,506559
1999-01-01,452931
1999-02-01,419568
1999-03-01,385493
1999-04-01,390507
1999-05-01,424412
1999-06-01,452366
1999-07-01,480380
1999-08-01,508413
1999-09-01,533559
1999-10-01,542970
1999-11-01,534405
1999-12-01,490917
2000-01-01,431933
2000-02-01,395364
2000-03-01,371064
2000-04-01,376098
2000-05-01,405289
2000-06-01,435869
2000-07-01,469042
2000-08-01,494015
2000-09-01,517643
2000-10-01,527855
2000-11-01,503974
2000-12-01,443203
2001-01-01,401426
