Date,Value
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,43.0
1999-02-01,55.3
1999-03-01,41.7
1999-04-01,61.2
1999-05-01,59.6
1999-06-01,131.5
1999-07-01,70.6
1999-08-01,38.1
1999-09-01,29.2
1999-10-01,25.1
1999-11-01,16.0
1999-12-01,8.6
2000-01-01,5.3
2000-02-01,-3.2
2000-03-01,12.8
2000-04-01,21.0
2000-05-01,16.7
2000-06-01,-19.5
2000-07-01,-34.7
2000-08-01,-42.4
2000-09-01,-50.4
2000-10-01,-50.8
2000-11-01,-41.4
2000-12-01,-27.6
2001-01-01,-9.8
2001-02-01,9.3
2001-03-01,8.4
2001-04-01,8.3
2001-05-01,41.3
2001-06-01,71.7
2001-07-01,80.1
2001-08-01,97.0
2001-09-01,109.6
2001-10-01,99.9
2001-11-01,12.1
2001-12-01,-3.5
2002-01-01,3.9
2002-02-01,15.1
2002-03-01,32.5
2002-04-01,54.2
2002-05-01,19.0
2002-06-01,-2.5
2002-07-01,-9.0
2002-08-01,-17.3
2002-09-01,-22.6
2002-10-01,-28.6
2002-11-01,-14.4
2002-12-01,-14.2
2003-01-01,-37.6
2003-02-01,-54.6
2003-03-01,-65.2
2003-04-01,-72.4
2003-05-01,-65.7
2003-06-01,-53.4
2003-07-01,-40.1
2003-08-01,-24.0
2003-09-01,-23.2
2003-10-01,-15.3
2003-11-01,-0.8
2003-12-01,-12.8
2004-01-01,-15.0
2004-02-01,-0.5
2004-03-01,24.1
2004-04-01,74.4
2004-05-01,61.1
2004-06-01,82.6
2004-07-01,24.4
2004-08-01,10.6
2004-09-01,11.2
2004-10-01,6.1
2004-11-01,3.7
2004-12-01,8.9
2005-01-01,29.2
