Date,Value
1997-01-01,0
1997-02-01,0
1997-03-01,0
1997-04-01,0
1997-05-01,0
1997-06-01,0
1997-07-01,0
1997-08-01,0
1997-09-01,0
1997-10-01,0
1997-11-01,0
1997-12-01,0
1998-01-01,0
1998-02-01,0
1998-03-01,0
1998-04-01,0
1998-05-01,0
1998-06-01,0
1998-07-01,0
1998-08-01,0
1998-09-01,0
1998-10-01,0
1998-11-01,0
1998-12-01,1533
1999-01-01,210
1999-02-01,227
1999-03-01,211
1999-04-01,187
1999-05-01,147
1999-06-01,49
1999-07-01,88
1999-08-01,-64
1999-09-01,30
1999-10-01,8
1999-11-01,-80
1999-12-01,-189
2000-01-01,-521
2000-02-01,-228
2000-03-01,69
2000-04-01,134
2000-05-01,440
2000-06-01,435
2000-07-01,425
2000-08-01,385
2000-09-01,-24
2000-10-01,236
2000-11-01,67
2000-12-01,-179
2001-01-01,-7
2001-02-01,-19
2001-03-01,-282
2001-04-01,-100
2001-05-01,-165
2001-06-01,21
2001-07-01,46
2001-08-01,202
2001-09-01,453
2001-10-01,58
2001-11-01,469
2001-12-01,975
2002-01-01,1038
2002-02-01,533
2002-03-01,436
2002-04-01,127
2002-05-01,151
2002-06-01,30
2002-07-01,68
2002-08-01,-94
2002-09-01,-46
2002-10-01,187
2002-11-01,-153
2002-12-01,-439
2003-01-01,-987
2003-02-01,-810
2003-03-01,-600
2003-04-01,-430
2003-05-01,-520
2003-06-01,-317
2003-07-01,-187
2003-08-01,388
2003-09-01,616
2003-10-01,443
2003-11-01,608
2003-12-01,557
2004-01-01,528
2004-02-01,649
2004-03-01,498
2004-04-01,364
2004-05-01,599
2004-06-01,408
2004-07-01,194
2004-08-01,216
2004-09-01,6
2004-10-01,834
2004-11-01,916
2004-12-01,456
2005-01-01,201
2005-02-01,391
2005-03-01,-60
2005-04-01,22
2005-05-01,-116
2005-06-01,-186
2005-07-01,-62
2005-08-01,-780
2005-09-01,-679
2005-10-01,-910
2005-11-01,1097
2005-12-01,1608
2006-01-01,3081
2006-02-01,2559
2006-03-01,3389
2006-04-01,3163
2006-05-01,2744
2006-06-01,2220
2006-07-01,2009
2006-08-01,2014
2006-09-01,2869
2006-10-01,2415
2006-11-01,531
2006-12-01,784
2007-01-01,-292
2007-02-01,-1670
2007-03-01,-1121
2007-04-01,-880
2007-05-01,-94
2007-06-01,490
2007-07-01,811
2007-08-01,-351
2007-09-01,-518
2007-10-01,158
2007-11-01,-649
2007-12-01,-1057
2008-01-01,-1700
2008-02-01,487
2008-03-01,-421
2008-04-01,-271
2008-05-01,-593
2008-06-01,-826
2008-07-01,-932
2008-08-01,857
2008-09-01,85
2008-10-01,-317
2008-11-01,-472
2008-12-01,427
2009-01-01,92
2009-02-01,-363
2009-03-01,547
2009-04-01,545
2009-05-01,315
2009-06-01,108
2009-07-01,27
2009-08-01,-25
2009-09-01,-395
2009-10-01,-42
2009-11-01,663
2009-12-01,-420
2010-01-01,16
2010-02-01,-152
2010-03-01,-319
2010-04-01,-13
2010-05-01,41
2010-06-01,-120
2010-07-01,-589
2010-08-01,-210
2010-09-01,418
2010-10-01,182
2010-11-01,-57
2010-12-01,-1263
2011-01-01,-56
2011-02-01,400
2011-03-01,267
2011-04-01,-1026
2011-05-01,-1697
2011-06-01,-243
2011-07-01,-166
2011-08-01,-244
2011-09-01,-284
2011-10-01,-1183
2011-11-01,339
2011-12-01,2089
2012-01-01,905
2012-02-01,290
2012-03-01,137
2012-04-01,344
2012-05-01,788
2012-06-01,-452
2012-07-01,-85
2012-08-01,-1289
2012-09-01,-500
2012-10-01,662
2012-11-01,-541
2012-12-01,-822
2013-01-01,-637
2013-02-01,-1118
2013-03-01,-719
2013-04-01,330
2013-05-01,585
2013-06-01,728
2013-07-01,809
2013-08-01,775
2013-09-01,421
2013-10-01,37
2013-11-01,-389
2013-12-01,317
2014-01-01,-986
2014-02-01,504
2014-03-01,-217
2014-04-01,-451
2014-05-01,-168
2014-06-01,-226
2014-07-01,-246
2014-08-01,-89
2014-09-01,-239
2014-10-01,-48
2014-11-01,288
2014-12-01,-6
2015-01-01,933
2015-02-01,-1180
2015-03-01,275
2015-04-01,-967
2015-05-01,-940
2015-06-01,-265
2015-07-01,-460
2015-08-01,231
2015-09-01,6
2015-10-01,-88
2015-11-01,358
2015-12-01,468
2016-01-01,124
2016-02-01,1928
2016-03-01,536
2016-04-01,1838
2016-05-01,1479
2016-06-01,1017
2016-07-01,858
2016-08-01,853
2016-09-01,415
2016-10-01,33
2016-11-01,-26
2016-12-01,-189
2017-01-01,1243
2017-02-01,575
2017-03-01,22
2017-04-01,-177
2017-05-01,95
2017-06-01,4
2017-07-01,-272
2017-08-01,-459
2017-09-01,118
2017-10-01,-5
2017-11-01,-72
2017-12-01,-1136
2018-01-01,-714
2018-02-01,165
2018-03-01,-631
2018-04-01,-315
2018-05-01,-221
2018-06-01,-99
2018-07-01,176
2018-08-01,-356
2018-09-01,-941
2018-10-01,112
2018-11-01,-489
2018-12-01,973
2019-01-01,-250
2019-02-01,-388
2019-03-01,749
2019-04-01,655
2019-05-01,-116
2019-06-01,322
2019-07-01,121
2019-08-01,345
2019-09-01,802
2019-10-01,-279
2019-11-01,237
2019-12-01,38
2020-01-01,545
2020-02-01,-104
2020-03-01,-168
2020-04-01,-989
2020-05-01,-870
2020-06-01,-577
2020-07-01,-194
2020-08-01,68
2020-09-01,-505
2020-10-01,-334
2020-11-01,-18
2020-12-01,-559
2021-01-01,-368
2021-02-01,-1301
2021-03-01,-692
2021-04-01,-484
2021-05-01,-314
2021-06-01,-771
2021-07-01,-2
2021-08-01,-583
2021-09-01,-208
2021-10-01,-336
2021-11-01,-890
2021-12-01,64
2022-01-01,-661
2022-02-01,816
2022-03-01,409
2022-04-01,-560
2022-05-01,-776
2022-06-01,-261
2022-07-01,-1175
2022-08-01,-809
2022-09-01,-48
2022-10-01,399
2022-11-01,117
2022-12-01,-660
2023-01-01,701
2023-02-01,297
2023-03-01,-315
2023-04-01,758
2023-05-01,1312
2023-06-01,941
2023-07-01,-23
2023-08-01,482
2023-09-01,256
2023-10-01,191
2023-11-01,73
2023-12-01,683
2024-01-01,-473
2024-02-01,42
2024-03-01,549
2024-04-01,571
2024-05-01,366
2024-06-01,-658
2024-07-01,1084
2024-08-01,402
2024-09-01,-127
2024-10-01,-328
2024-11-01,527
2024-12-01,328
2025-01-01,330
2025-02-01,-108
2025-03-01,188
2025-04-01,466
2025-05-01,476
2025-06-01,1210
2025-07-01,617
2025-08-01,515
2025-09-01,282
2025-10-01,-77
2025-11-01,152
2025-12-01,-173
2026-01-01,-582
2026-02-01,-91
