Date,Value
1994-01-01,8
1994-02-01,12
1994-03-01,26
1994-04-01,71
1994-05-01,106
1994-06-01,95
1994-07-01,103
1994-08-01,93
1994-09-01,85
1994-10-01,55
1994-11-01,25
1994-12-01,14
1995-01-01,0
1995-02-01,122
1995-03-01,0
1995-04-01,0
1995-05-01,44
1995-06-01,42
1995-07-01,41
1995-08-01,252
1995-09-01,592
1995-10-01,156
1995-11-01,24
1995-12-01,101
1996-01-01,231
1996-02-01,185
1996-03-01,141
1996-04-01,192
1996-05-01,390
1996-06-01,670
1996-07-01,318
1996-08-01,395
1996-09-01,440
1996-10-01,166
1996-11-01,63
1996-12-01,160
1997-01-01,297
1997-02-01,101
1997-03-01,63
1997-04-01,168
1997-05-01,271
1997-06-01,161
1997-07-01,108
1997-08-01,286
1997-09-01,262
1997-10-01,251
1997-11-01,27
1997-12-01,27
1998-01-01,26
1998-02-01,0
1998-03-01,81
1998-04-01,245
1998-05-01,188
1998-06-01,623
1998-07-01,25
1998-08-01,203
1998-09-01,139
1998-10-01,613
1998-11-01,76
1998-12-01,0
1999-01-01,0
1999-02-01,0
1999-03-01,14
1999-04-01,645
1999-05-01,547
1999-06-01,213
1999-07-01,333
1999-08-01,202
1999-09-01,459
1999-10-01,0
1999-11-01,166
1999-12-01,67
2000-01-01,48
2000-02-01,534
2000-03-01,44
2000-04-01,51
2000-05-01,232
2000-06-01,606
2000-07-01,166
2000-08-01,0
2000-09-01,0
2000-10-01,42
2000-11-01,12
2000-12-01,286
2001-01-01,411
2001-02-01,304
2001-03-01,85
2001-04-01,323
2001-05-01,207
2001-06-01,618
2001-07-01,250
2001-08-01,293
2001-09-01,370
2001-10-01,414
2001-11-01,529
2001-12-01,109
2002-01-01,711
2002-02-01,278
2002-03-01,182
2002-04-01,349
2002-05-01,240
2002-06-01,54
2002-07-01,357
2002-08-01,139
2002-09-01,106
2002-10-01,318
2002-11-01,515
2002-12-01,536
2003-01-01,242
2003-02-01,818
2003-03-01,564
2003-04-01,938
2003-05-01,1089
2003-06-01,821
2003-07-01,970
2003-08-01,633
2003-09-01,1283
2003-10-01,1128
2003-11-01,606
2003-12-01,1098
2004-01-01,201
2004-02-01,619
2004-03-01,736
2004-04-01,845
2004-05-01,1429
2004-06-01,1595
2004-07-01,571
2004-08-01,894
2004-09-01,1718
2004-10-01,3022
2004-11-01,636
2004-12-01,468
2005-01-01,976
2005-02-01,1778
2005-03-01,917
2005-04-01,855
2005-05-01,1230
2005-06-01,797
2005-07-01,1687
2005-08-01,804
2005-09-01,2301
2005-10-01,2019
2005-11-01,1364
2005-12-01,845
2006-01-01,1350
2006-02-01,404
2006-03-01,1004
2006-04-01,1418
2006-05-01,1005
2006-06-01,2035
2006-07-01,2697
2006-08-01,2444
2006-09-01,2795
2006-10-01,2397
2006-11-01,1266
2006-12-01,1790
2007-01-01,580
2007-02-01,357
2007-03-01,1958
2007-04-01,1587
2007-05-01,2255
2007-06-01,815
2007-07-01,2282
2007-08-01,904
2007-09-01,3657
2007-10-01,2081
2007-11-01,2177
2007-12-01,1354
2008-01-01,1663
2008-02-01,1428
2008-03-01,3831
2008-04-01,5280
2008-05-01,2367
2008-06-01,4912
2008-07-01,1672
2008-08-01,1434
2008-09-01,2140
2008-10-01,3900
2008-11-01,1505
2008-12-01,1075
2009-01-01,963
2009-02-01,1365
2009-03-01,3743
2009-04-01,3297
2009-05-01,2863
2009-06-01,1720
2009-07-01,1127
2009-08-01,1044
2009-09-01,1360
2009-10-01,1387
2009-11-01,2050
2009-12-01,101
2010-01-01,1559
2010-02-01,594
2010-03-01,3843
2010-04-01,3691
2010-05-01,1928
2010-06-01,1727
2010-07-01,1225
2010-08-01,1050
2010-09-01,919
2010-10-01,2812
2010-11-01,2182
2010-12-01,1496
2011-01-01,1480
2011-02-01,1412
2011-03-01,1140
2011-04-01,876
2011-05-01,2487
2011-06-01,2981
2011-07-01,1023
2011-08-01,1373
2011-09-01,2676
2011-10-01,3881
2011-11-01,2419
2011-12-01,1017
2012-01-01,598
2012-02-01,708
2012-03-01,2812
2012-04-01,1940
2012-05-01,1999
2012-06-01,2110
2012-07-01,1498
2012-08-01,972
2012-09-01,1358
2012-10-01,5425
2012-11-01,643
2012-12-01,1133
2013-01-01,1002
2013-02-01,539
2013-03-01,1549
2013-04-01,2934
2013-05-01,2058
2013-06-01,1226
2013-07-01,2542
2013-08-01,1142
2013-09-01,1743
2013-10-01,896
2013-11-01,1336
2013-12-01,1000
2014-01-01,985
2014-02-01,1957
2014-03-01,3111
2014-04-01,7399
2014-05-01,5887
2014-06-01,1346
2014-07-01,1688
2014-08-01,1373
2014-09-01,1786
2014-10-01,4634
2014-11-01,2213
2014-12-01,1906
2015-01-01,449
2015-02-01,111
2015-03-01,2917
2015-04-01,6289
2015-05-01,6473
2015-06-01,2599
2015-07-01,2339
2015-08-01,1330
2015-09-01,3800
2015-10-01,1746
2015-11-01,3084
2015-12-01,1867
2016-01-01,1260
2016-02-01,3081
2016-03-01,2222
2016-04-01,3807
2016-05-01,3036
2016-06-01,1576
2016-07-01,556
2016-08-01,970
2016-09-01,1630
2016-10-01,6070
2016-11-01,2468
2016-12-01,517
2017-01-01,2745
2017-02-01,2411
2017-03-01,1178
2017-04-01,2864
2017-05-01,2704
2017-06-01,1899
2017-07-01,658
2017-08-01,722
2017-09-01,2880
2017-10-01,5201
2017-11-01,3044
2017-12-01,1430
2018-01-01,4452
2018-02-01,802
2018-03-01,3380
2018-04-01,3837
2018-05-01,4401
2018-06-01,1484
2018-07-01,1045
2018-08-01,894
2018-09-01,1196
2018-10-01,4636
2018-11-01,3212
2018-12-01,6092
2019-01-01,3340
2019-02-01,952
2019-03-01,2607
2019-04-01,4910
2019-05-01,2064
2019-06-01,2021
2019-07-01,2061
2019-08-01,1145
2019-09-01,2860
2019-10-01,5339
2019-11-01,3877
2019-12-01,2787
2020-01-01,1690
2020-02-01,320
2020-03-01,2110
2020-04-01,5073
2020-05-01,2324
2020-06-01,2233
2020-07-01,1839
2020-08-01,1632
2020-09-01,3935
2020-10-01,1401
2020-11-01,1456
2020-12-01,1014
2021-01-01,888
2021-02-01,1761
2021-03-01,7410
2021-04-01,2481
2021-05-01,2569
2021-06-01,1132
2021-07-01,707
2021-08-01,1094
2021-09-01,2359
2021-10-01,4542
2021-11-01,2243
2021-12-01,1666
2022-01-01,556
2022-02-01,1449
2022-03-01,1889
2022-04-01,3341
2022-05-01,1661
2022-06-01,890
2022-07-01,1965
2022-08-01,1806
2022-09-01,4554
2022-10-01,5861
2022-11-01,2455
2022-12-01,2487
2023-01-01,3588
2023-02-01,2528
2023-03-01,2770
2023-04-01,4538
2023-05-01,3064
2023-06-01,2223
2023-07-01,1253
2023-08-01,714
2023-09-01,4453
2023-10-01,5224
2023-11-01,3317
2023-12-01,1259
2024-01-01,1115
2024-02-01,6545
2024-03-01,4208
2024-04-01,1576
2024-05-01,1979
2024-06-01,1346
2024-07-01,1420
2024-08-01,2346
2024-09-01,1658
2024-10-01,6676
2024-11-01,3127
2024-12-01,2263
2025-01-01,1608
2025-02-01,2216
2025-03-01,7895
2025-04-01,4782
2025-05-01,4022
2025-06-01,1915
2025-07-01,669
2025-08-01,5000
2025-09-01,4423
2025-10-01,5483
2025-11-01,2450
2025-12-01,2738
2026-01-01,1597
2026-02-01,4001
