Date,Value
1967-01-01,6391
1968-01-01,6849
1969-01-01,8663
1970-01-01,8757
1971-01-01,5839
1972-01-01,8502
1973-01-01,10673
1974-01-01,11444
1975-01-01,13420
1976-01-01,16987
1977-01-01,21717
1978-01-01,20630
1979-01-01,25334
1980-01-01,32974
1981-01-01,25291
1982-01-01,32861
1983-01-01,26361
1984-01-01,26228
1985-01-01,26722
1986-01-01,24313
1987-01-01,24083
1988-01-01,25898
1989-01-01,28165
1990-01-01,27674
1991-01-01,30584
1992-01-01,23061
1993-01-01,51132
1994-01-01,31185
1995-01-01,39717
1996-01-01,37808
1997-01-01,39389
1998-01-01,39789
1999-01-01,37828
2000-01-01,31601
2001-01-01,36951
2002-01-01,37980
2003-01-01,40146
2004-01-01,38320
2005-01-01,38588
2006-01-01,35836
2007-01-01,38619
2008-01-01,39034
2009-01-01,45861
2010-01-01,43250
2011-01-01,51469
2012-01-01,59096
2013-01-01,66935
2014-01-01,72510
2015-01-01,69983
2016-01-01,66285
2017-01-01,66841
2018-01-01,65866
2019-01-01,74897
2020-01-01,67332
2021-01-01,62575
2022-01-01,63453
2023-01-01,59573
2024-01-01,55110
2025-01-01,61094
